S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Prabhu Bank Debenture 2084,8,1065.00,1041.00,1065.00,780.00,819210.00,1050.00,15.00
2,10% Sanima Bank Limited Debenture,7,1041.00,1021.00,1041.00,250.00,258825.00,1025.00,16.00
3,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,1,1050.00,1050.00,1050.00,25.00,26250.00,1070.00,-20.00
4,10.25% Sunrise Bank Debenture 2083,1,1050.00,1050.00,1050.00,25.00,26250.00,1052.00,-2.00
5,10.5 % NEPAL INVESTMENT DEBENTURE 2082,1,1070.00,1070.00,1070.00,10.00,10700.00,1075.00,-5.00
6,11% NIC Asia Debenture 082/83,5,1140.00,1118.00,1118.00,275.00,312550.00,1127.00,-9.00
7,12% ICFC Finance Limited Debenture 2083,2,1185.00,1180.00,1185.00,75.00,88625.00,1180.00,5.00
8,9% NIC Asia Debenture 2081/82,2,996.00,995.00,996.00,75.00,74650.00,986.00,10.00
9,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,199,1750.00,1690.00,1713.00,7176.00,12269692.00,1750.00,-37.00
10,Agricultural Development Bank Limited,501,469.00,456.00,467.00,119712.00,55252002.00,462.00,5.00
11,Ajod Insurance Limited,324,780.00,750.00,759.00,16037.00,12150464.00,774.00,-15.00
12,Ankhu Khola Jalvidhyut Company Ltd,96,145.00,140.00,141.00,4788.00,681072.00,145.00,-4.00
13,Api Power Company Ltd.,359,287.00,283.00,286.00,70824.00,20176803.00,288.00,-2.00
14,Arun Kabeli Power Ltd.,351,340.00,330.00,333.00,185035.00,61443928.00,336.00,-3.00
15,Arun Valley Hydropower Development Co. Ltd.,775,330.00,307.00,314.00,246275.00,77274750.00,315.00,-1.00
16,Asha Laghubitta Bittiya Sanstha Ltd,91,1575.00,1504.00,1506.00,6555.00,9950410.00,1546.00,-40.00
17,Asian Life Insurance Co. Limited,399,1460.00,1412.00,1434.00,61601.00,88096810.00,1451.00,-17.00
18,Bank of Kathmandu Ltd.,553,327.00,314.00,320.00,180283.00,57374358.00,317.00,3.00
19,Barun Hydropower Co. Ltd.,244,258.00,243.00,246.00,55699.00,13917767.00,255.00,-9.00
20,Best Finance Company Ltd.,60,163.00,157.00,162.00,11325.00,1809920.00,163.00,-1.00
21,Bottlers Nepal (Terai) Limited,17,9431.00,9010.00,9100.00,220.00,2014570.00,9248.00,-148.00
22,Butwal Power Company Limited,183,407.00,402.00,404.00,47675.00,19239513.00,404.00,0.00
23,Central Finance Co. Ltd.,68,209.00,204.00,208.00,11995.00,2475245.00,209.00,-1.00
24,Century Commercial Bank Ltd.,408,256.00,251.00,256.00,156810.00,39713376.00,255.00,1.00
25,Chandragiri Hills Limited,8,225.00,217.00,225.00,65.00,14285.00,220.00,5.00
26,Chhimek Laghubitta Bittiya Sanstha Limited,541,1709.00,1653.00,1693.00,49868.00,83507342.00,1705.00,-12.00
27,Chhyangdi Hydropower Ltd.,135,210.00,198.00,199.00,16728.00,3363676.00,200.00,-1.00
28,Chilime Hydropower Company Limited,168,590.00,575.00,582.00,31524.00,18404284.00,586.00,-4.00
29,Citizen Investment Trust,275,4620.00,4570.00,4600.00,11673.00,53666704.00,4619.00,-19.00
30,Citizens Bank International Limited,640,324.00,317.00,322.00,166826.00,53423562.00,322.00,0.00
31,Citizens Mutual Fund -1,22,10.20,10.05,10.05,53780.00,542981.80,10.01,0.04
32,CITIZENS MUTUAL FUND 2,29,10.22,10.00,10.22,30200.00,307972.00,10.10,0.12
33,Civil Bank Ltd,562,225.00,221.00,223.00,173664.00,38733175.00,223.00,0.00
34,Civil Laghubitta Bittiya Sanstha Ltd.,126,1140.00,1108.00,1140.00,8300.00,9298752.00,1137.00,3.00
35,Corporate Development Bank Limited,40,722.00,689.00,722.00,4200.00,3021910.00,657.00,65.00
36,Deprosc Laghubitta Bittiya Sanstha Limited,538,2165.00,1999.00,2030.00,40204.00,81780533.00,2062.00,-32.00
37,Dibyashwori Hydropower Ltd.,39,114.00,112.00,114.00,6738.00,757770.00,114.00,0.00
38,Everest Bank Limited,774,830.00,789.00,814.00,185645.00,149859972.00,791.00,23.00
39,Everest Insurance Co. Ltd.,155,747.00,721.00,731.00,18298.00,13376793.00,747.00,-16.00
40,Everest Insurance Co. Ltd. Promoter Share,50,459.00,422.00,450.00,12118.00,5431917.00,444.00,6.00
41,Excel Development Bank Ltd.,84,430.00,422.00,424.00,14840.00,6315585.00,422.00,2.00
42,First Micro Finance Laghubitta Bittiya Sanstha Limited,456,877.00,850.00,855.00,48517.00,41564419.00,875.00,-20.00
43,Forward Microfinance Laghubitta Bittiya Sanstha Limited,634,2811.00,2700.00,2730.00,26039.00,71423785.00,2678.00,52.00
44,Ganapati Laghubitta Bittiya Sanstha Limited,75,1822.00,1760.00,1773.00,3603.00,6419821.00,1819.00,-46.00
45,Garima Bikas Bank Limited,268,324.00,317.00,320.00,56050.00,17959988.00,320.00,0.00
46,General Insurance Company Nepal Ltd,466,709.00,690.00,700.00,14726.00,10276110.00,710.00,-10.00
47,Ghalemdi Hydro Limited,54,136.00,128.00,132.00,1605.00,209310.00,134.00,-2.00
48,Global IME Bank Limited,2338,506.00,485.00,500.00,734565.00,360999751.00,498.00,2.00
49,Global IME Bank Ltd. Promoter Share,6,150.00,150.00,150.00,18000.00,2700000.00,150.00,0.00
50,Global IME Laghubitta Bittiya Sanstha Ltd.,64,2071.00,2025.00,2046.00,4992.00,10209957.00,2110.00,-64.00
51,Global IME Samunnat Scheme-1,51,14.35,13.82,14.10,280580.00,3964567.03,14.10,0.00
52,Goodwill Finance Limited,95,293.00,280.00,289.00,14154.00,4058179.00,298.00,-9.00
53,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,675,1150.00,1090.00,1110.00,55050.00,61154141.00,1140.00,-30.00
54,Green Development Bank Ltd.,58,175.00,172.00,173.00,7147.00,1240549.00,173.00,0.00
55,Guheshowori Merchant Bank & Finance Co. Ltd.,26,240.00,230.00,233.00,6229.00,1448220.00,236.00,-3.00
56,Gurans Laghubitta Bittiya Sanstha Limited,31,1550.00,1500.00,1515.00,973.00,1484830.00,1549.00,-34.00
57,Gurans Life Insurance Company Ltd.,344,822.00,802.00,808.00,42831.00,34569682.00,823.00,-15.00
58,Gurkhas Finance Ltd.,165,446.00,429.00,439.00,78023.00,34293607.00,435.00,4.00
59,Himal Dolakha Hydropower Company Limited,133,136.00,132.00,134.00,30423.00,4048351.00,133.00,1.00
60,Himalaya Urja Bikas Company Limited,369,324.00,285.00,324.00,56703.00,17969104.00,295.00,29.00
61,Himalayan Bank Limited,133,560.00,551.00,553.00,14946.00,8280208.00,553.00,0.00
62,Himalayan Distillery Limited,481,4500.00,4380.00,4418.00,31899.00,140964630.00,4450.00,-32.00
63,Himalayan General Insurance Co. Ltd,400,710.00,687.00,697.00,51723.00,36041458.00,714.00,-17.00
64,Himalayan Power Partner Ltd.,110,330.00,321.00,325.00,8777.00,2867239.00,330.00,-5.00
65,Hydorelectricity Investment and Development Company Ltd,996,330.00,320.00,325.00,270761.00,87719108.00,329.00,-4.00
66,ICFC Finance Limited,190,327.00,318.00,322.00,40291.00,13012842.00,326.00,-4.00
67,IME General Insurance Ltd.,292,1100.00,1068.00,1073.00,44568.00,48103533.00,1100.00,-27.00
68,Infinity Laghubitta Bittiya Sanstha Limited,117,1580.00,1526.00,1550.00,8000.00,12377313.00,1610.00,-60.00
69,Janaki Finance Company Limited,62,269.00,265.00,269.00,22156.00,5938754.00,265.00,4.00
70,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,139,4079.00,3933.00,4015.00,5282.00,21189863.00,3988.00,27.00
71,Joshi Hydropower Development Company Ltd,83,119.00,116.00,119.00,5898.00,694029.00,118.00,1.00
72,Jyoti Bikas Bank Limited,264,246.00,232.00,233.00,50368.00,11752935.00,235.00,-2.00
73,Kalika Laghubitta Bittiya Sanstha Ltd,137,1397.00,1340.00,1340.00,9081.00,12194454.00,1370.00,-30.00
74,Kalika power Company Ltd,129,264.00,254.00,256.00,12752.00,3296840.00,259.00,-3.00
75,Kamana Sewa Bikas Bank Limited,241,330.00,320.00,326.00,66884.00,21608397.00,325.00,1.00
76,Karnali Development Bank Limited,140,176.00,169.00,171.00,32567.00,5576299.00,167.00,4.00
77,Khanikhola Hydropower Co. Ltd.,78,113.00,111.00,113.00,11226.00,1253949.00,113.00,0.00
78,Kisan Lagubitta Bittiya Sanstha Limited,100,1769.00,1654.00,1679.00,5804.00,9737890.00,1735.00,-56.00
79,Kumari Bank Limited,1206,320.00,313.00,320.00,647964.00,204704314.00,316.00,4.00
80,Laxmi Bank Limited,917,318.00,299.00,316.00,300711.00,93093797.00,301.00,15.00
81,Laxmi Equity Fund,26,10.72,10.16,10.65,61974.00,652927.54,10.35,0.30
82,Laxmi Laghubitta Bittiya Sanstha Ltd.,35,1700.00,1615.00,1681.00,3329.00,5585113.00,1699.00,-18.00
83,Laxmi Unnati Kosh,26,9.99,9.63,9.99,14200.00,140979.00,9.77,0.22
84,Liberty Energy Company Limited,187,247.00,241.00,247.00,17475.00,4265455.00,248.00,-1.00
85,Life Insurance Corporation (Nepal) Limited,187,2800.00,2725.00,2762.00,24545.00,67881643.00,2760.00,2.00
86,Lumbini Bikas Bank Ltd.,261,267.00,261.00,266.00,84103.00,22163914.00,264.00,2.00
87,Lumbini General Insurance Co. Ltd.,289,830.00,803.00,815.00,79245.00,64274962.00,815.00,0.00
88,Machhapuchhre Bank Limited,672,323.00,313.00,322.00,307769.00,98752958.00,315.00,7.00
89,Mahalaxmi Bikas Bank Ltd.,298,320.00,315.00,320.00,70463.00,22368466.00,315.00,5.00
90,Mahuli Laghubitta Bittiya Sanstha Limited,62,2710.00,2640.00,2660.00,2026.00,5390152.00,2670.00,-10.00
91,Manjushree Finance Ltd.,89,535.00,519.00,520.00,24018.00,12580736.00,536.00,-16.00
92,Mega  Bank Nepal Ltd.,1357,320.00,303.00,317.00,452969.00,140978849.00,306.00,11.00
93,Mero Microfinance Bittiya Sanstha Ltd.,182,1150.00,1127.00,1134.00,14972.00,17001144.00,1156.00,-22.00
94,Mirmire Microfinance Development Bank Ltd.,287,1851.00,1701.00,1730.00,23626.00,41417666.00,1763.00,-33.00
95,Miteri Development Bank Limited,73,356.00,349.00,353.00,7267.00,2557119.00,351.00,2.00
96,Mithila LaghuBitta Bittiya Sanstha Limited,48,1969.00,1880.00,1899.00,3323.00,6283474.00,1932.00,-33.00
97,Mountain Energy Nepal Limited,425,648.00,629.00,635.00,34932.00,22081999.00,650.00,-15.00
98,Mountain Hydro Nepal Limited,101,235.00,227.00,232.00,11987.00,2771932.00,231.00,1.00
99,Muktinath Bikas Bank Ltd.,348,420.00,404.00,410.00,64059.00,26258539.00,413.00,-3.00
100,Multipurpose Finance Company  Limited,58,193.00,185.00,192.00,16982.00,3216115.00,188.00,4.00
101,NABIL BALANCED FUND-2,70,10.72,10.47,10.60,212950.00,2252426.80,10.70,-0.10
102,Nabil Bank Limited,1848,1433.00,1350.00,1391.00,295552.00,411625285.00,1365.00,26.00
103,Nabil Equity Fund,73,11.80,11.50,11.72,113614.00,1330335.89,11.64,0.08
104,Narayani Development Bank Limited,37,616.00,590.00,602.00,2175.00,1314210.00,603.00,-1.00
105,National Hydro Power Company Limited,149,137.00,133.00,135.00,65741.00,8840629.00,136.00,-1.00
106,National Life Insurance Co. Ltd.,355,1310.00,1295.00,1298.00,53329.00,69417509.00,1314.00,-16.00
107,National Microfinance Laghubitta Bittiya Sanstha Limited,274,3592.00,3340.00,3457.00,10954.00,37445612.00,3355.00,102.00
108,Naya Sarathi Laghubitta Bittiya Sanstha Limited,87,1755.00,1685.00,1685.00,5675.00,9685234.00,1735.00,-50.00
109,Neco Insurance Limited,1289,1850.00,1780.00,1791.00,145950.00,263571658.00,1824.00,-33.00
110,Nepal Bangladesh Bank Limited,1153,329.00,312.00,327.00,372291.00,118899629.00,314.00,13.00
111,Nepal Bank Limited,2095,450.00,426.00,443.00,816723.00,357314264.00,428.00,15.00
112,Nepal Credit And Commercial Bank Limited,1080,339.00,320.00,334.00,401682.00,132136953.00,320.00,14.00
113,Nepal Doorsanchar Company Limited,628,1390.00,1287.00,1331.00,69598.00,93425153.00,1354.00,-23.00
114,Nepal Finance Ltd.,85,300.00,289.00,292.00,25689.00,7476590.00,295.00,-3.00
115,Nepal Hydro Developers Ltd.,43,256.00,246.00,250.00,3514.00,882106.00,251.00,-1.00
116,Nepal Infrastructure Bank Limited,16724,497.00,474.00,497.00,1397128.00,694361119.00,452.00,45.00
117,Nepal Insurance Co. Ltd.,252,880.00,852.00,853.00,47922.00,41217395.00,880.00,-27.00
118,Nepal Investment Bank Limited,434,475.00,468.00,472.00,70352.00,33233899.00,471.00,1.00
119,Nepal Investment Bank Ltd. Promoter Share,31,410.00,399.00,399.00,13682.00,5483576.00,400.00,-1.00
120,Nepal Life Insurance Co. Ltd.,972,2400.00,2280.00,2282.00,67264.00,153633612.00,2299.00,-17.00
121,Nepal Reinsurance Company Limited,829,1599.00,1557.00,1565.00,74205.00,116341798.00,1579.00,-14.00
122,Nepal SBI Bank Limited,414,465.00,429.00,448.00,138431.00,60899510.00,435.00,13.00
