S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agricultural Development Bank Limited,43,314.00,309.00,312.00,5309.00,1648950.00,316.00,-4.00
2,Api Power Company Ltd.,9,301.00,298.00,298.00,328.00,98485.00,307.00,-9.00
3,Arun Kabeli Power Ltd.,10,285.00,282.00,282.00,596.00,168878.00,286.00,-4.00
4,Arun Valley Hydropower Development Co. Ltd.,3,165.00,160.00,160.00,115.00,18695.00,162.00,-2.00
5,Asian Life Insurance Co. Limited,3,680.00,670.00,670.00,110.00,73900.00,680.00,-10.00
6,Bank of Kathmandu Ltd.,31,315.00,303.00,311.00,5674.00,1734557.00,310.00,1.00
7,Barun Hydropower Co. Ltd.,15,159.00,155.00,155.00,4930.00,774575.00,156.00,-1.00
8,Best Finance Company Ltd.,1,122.00,122.00,122.00,10.00,1220.00,124.00,-2.00
9,Bottlers Nepal (Terai) Limited,8,5815.00,5750.00,5750.00,140.00,810340.00,5800.00,-50.00
10,Butwal Power Company Limited,81,445.00,437.00,443.00,3582.00,1584059.00,443.00,0.00
11,Central Finance Co. Ltd.,2,114.00,113.00,113.00,246.00,27998.00,114.00,-1.00
12,Century Commercial Bank Ltd.,41,170.00,166.00,170.00,6013.00,1011959.00,167.00,3.00
13,Chhimek Laghubitta Bittiya Sanstha Limited,11,900.00,885.00,896.00,12619.00,11194640.00,900.00,-4.00
14,Chhyangdi Hydropower Ltd.,1,147.00,147.00,147.00,34.00,4998.00,147.00,0.00
15,Chilime Hydropower Company Limited,24,764.00,760.00,761.00,3290.00,2502712.00,770.00,-9.00
16,Citizen Investment Trust,42,2530.00,2480.00,2480.00,2403.00,5988322.00,2517.00,-37.00
17,Citizens Bank International Limited,32,242.00,239.00,240.00,4734.00,1135875.00,240.00,0.00
18,Civil Bank Ltd,82,154.00,151.00,152.00,29029.00,4418504.00,151.00,1.00
19,Civil Laghubitta Bittiya Sanstha Ltd.,11,750.00,741.00,743.00,839.00,626779.00,758.00,-15.00
20,Corporate Development Bank Limited,4,110.00,108.00,110.00,220.00,23960.00,110.00,0.00
21,Deprosc Laghubitta Bittiya Sanstha Limited,24,754.00,744.00,750.00,3871.00,2896608.00,751.00,-1.00
22,Dev BikasBank Ltd. Promoter Share,1,105.00,105.00,105.00,1267.00,133035.00,105.00,0.00
23,Deva Bikas Bank Limited,97,137.00,130.00,131.00,29225.00,3922793.00,132.00,-1.00
24,Dibyashwori Hydropower Ltd.,1,112.00,112.00,112.00,200.00,22400.00,110.00,2.00
25,Everest Bank Limited,72,675.00,665.00,670.00,6266.00,4191463.00,672.00,-2.00
26,Everest Bank Limited Con. Pref.,2,625.00,613.00,625.00,30.00,18570.00,601.00,24.00
27,Everest Insurance Co. Ltd.,15,1385.00,1371.00,1371.00,588.00,810904.00,1385.00,-14.00
28,Excel Development Bank Ltd.,10,331.00,323.00,327.00,6090.00,2005772.00,317.00,10.00
29,First Micro Finance Laghubitta Bittiya Sanstha Limited,6,550.00,547.00,550.00,910.00,499640.00,555.00,-5.00
30,Forward Microfinance Laghubitta Bittiya Sanstha Limited,6,2266.00,2222.00,2266.00,168.00,374126.00,2250.00,16.00
31,Gandaki Bikas Bank Limited,13,194.00,191.00,192.00,1890.00,363352.00,193.00,-1.00
32,Garima Bikas Bank Limited,11,181.00,177.00,178.00,2073.00,370648.00,180.00,-2.00
33,Global IME Bank Limited,27,293.00,289.00,291.00,1963.00,570353.00,290.00,1.00
34,Global IME Laghubitta Bittiya Sanstha Ltd.,4,1165.00,1159.00,1165.00,41.00,47675.00,1181.00,-16.00
35,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,65,635.00,615.00,623.00,8990.00,5605390.00,628.00,-5.00
36,Green Development Bank Ltd.,1,138.00,138.00,138.00,10.00,1380.00,140.00,-2.00
37,Gurans Life Insurance Company Ltd.,7,890.00,882.00,882.00,600.00,530400.00,900.00,-18.00
38,Gurkhas Finance Ltd.,1,109.00,109.00,109.00,100.00,10900.00,109.00,0.00
39,Hathway Finance Company Limited,3,135.00,133.00,133.00,730.00,97820.00,134.00,-1.00
40,Himalayan Bank Limited,10,566.00,556.00,556.00,555.00,312585.00,566.00,-10.00
41,Himalayan Distillery Limited,2,1269.00,1245.00,1269.00,30.00,37590.00,1270.00,-1.00
42,Himalayan General Insurance Co. Ltd,23,453.00,450.00,450.00,3195.00,1442445.00,452.00,-2.00
43,Himalayan Power Partner Ltd.,12,301.00,296.00,297.00,567.00,170019.00,306.00,-9.00
44,Hydorelectricity Investment and Development Company Ltd,40,160.00,156.00,156.00,5612.00,886957.00,157.00,-1.00
45,ICFC Finance Limited,2,172.00,170.00,172.00,700.00,119400.00,173.00,-1.00
46,ICFC Finance Limited Promotor Share,1,113.00,113.00,113.00,16917.00,1911621.00,111.00,2.00
47,IME General Insurance Ltd.,15,915.00,900.00,910.00,875.00,793470.00,895.00,15.00
48,Janaki Finance Company Limited,2,165.00,162.00,162.00,800.00,131100.00,168.00,-6.00
49,Janata Bank Nepal Ltd.,60,154.00,150.00,153.00,26736.00,4046046.00,153.00,0.00
50,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,2,3020.00,3003.00,3020.00,22.00,66270.00,2945.00,75.00
51,Jebils Finance Ltd.,10,108.00,102.00,102.00,426.00,44932.00,100.00,2.00
52,Jyoti Bikas Bank Limited,29,137.00,135.00,135.00,3454.00,468283.00,137.00,-2.00
53,Kabeli Bikas Bank Limited,1,223.00,223.00,223.00,10.00,2230.00,222.00,1.00
54,Kailash Bikas Bank Ltd.,1,220.00,220.00,220.00,408.00,89760.00,222.00,-2.00
55,Kalika Laghubitta Bittiya Sanstha Ltd,4,1340.00,1314.00,1314.00,147.00,195400.00,1361.00,-47.00
56,Kamana Sewa Bikas Bank Limited,10,156.00,153.00,153.00,3319.00,510178.00,154.00,-1.00
57,Kanchan Development Bank Limited,2,183.00,180.00,183.00,900.00,163200.00,183.00,0.00
58,Kankai Bikas Bank Ltd.,2,126.00,126.00,126.00,23.00,2884.00,125.00,1.00
59,Karnali Development Bank Limited,11,114.00,109.00,114.00,538.00,60005.00,112.00,2.00
60,Kisan Lagubitta Bittiya Sanstha Limited,11,1660.00,1625.00,1625.00,666.00,1087986.00,1656.00,-31.00
61,Kumari Bank Limited,24,212.00,209.00,210.00,5483.00,1155245.00,211.00,-1.00
