S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agricultural Development Bank Limited,5,440.00,432.00,438.00,880.00,381800.00,448.00,-10.00
2,Apex Development Bank Ltd.,19,129.00,125.00,126.00,3898.00,493092.00,129.00,-3.00
3,Arun Valley Hydropower Development Co. Ltd.,11,360.00,340.00,340.00,1489.00,510610.00,353.00,-13.00
4,Asian Life Insurance Co. Limited,11,971.00,916.00,960.00,3074.00,2907767.00,932.00,28.00
5,Bank of Kathmandu Ltd.,108,596.00,579.00,583.00,18619.00,10927852.00,600.00,-17.00
6,Bhargav Bikash Bank Ltd.,3,278.00,275.00,278.00,920.00,254260.00,280.00,-2.00
7,Biratlaxmi Bikas Bank Limited,6,341.00,330.00,341.00,769.00,257665.00,338.00,3.00
8,Bishal Bazar Company Limited,1,2303.00,2303.00,2303.00,100.00,230300.00,2350.00,-47.00
9,Butwal Power Company Limited,8,650.00,614.00,640.00,1580.00,992980.00,602.00,38.00
10,Central Finance Co. Ltd.,6,168.00,165.00,168.00,1266.00,211056.00,167.00,1.00
11,Century Commercial Bank Ltd.,78,328.00,315.00,321.00,12043.00,3872463.00,323.00,-2.00
12,Chhimek Laghubitta Bittiya Sanstha Limited,11,1580.00,1550.00,1575.00,1321.00,2070090.00,1550.00,25.00
13,Chilime Hydropower Company Limited,87,1629.00,1580.00,1580.00,10793.00,17276198.00,1625.00,-45.00
14,Citizens Bank International Limited,44,473.00,464.00,466.00,9675.00,4521896.00,480.00,-14.00
15,Civil Bank Ltd,62,300.00,282.00,285.00,16453.00,4738816.00,295.00,-10.00
16,Deprosc Laghubitta Bittiya Sanstha Limited,6,1155.00,1147.00,1150.00,565.00,649827.00,1170.00,-20.00
17,Ekata Bikas Bank Ltd.,7,293.00,290.00,290.00,1749.00,508750.00,297.00,-7.00
18,Everest Bank Limited,62,2125.00,2083.00,2100.00,10851.00,22743851.00,2115.00,-15.00
19,First Micro Finance Laghubitta Bittiya Sanstha Limited,3,591.00,590.00,590.00,549.00,324210.00,599.00,-9.00
20,Gandaki Bikas BankLimited,5,337.00,331.00,331.00,1029.00,342993.00,340.00,-9.00
21,Global IME Bank Limited,25,490.00,480.00,484.00,5732.00,2780828.00,484.00,0.00
22,Gurans Life Insurance Company Ltd.,2,535.00,525.00,525.00,180.00,95400.00,545.00,-20.00
23,Hama Merchant & Finance Ltd.,3,157.00,154.00,154.00,1020.00,160020.00,160.00,-6.00
24,Himalayan Bank Limited,12,835.00,815.00,835.00,1080.00,889695.00,825.00,10.00
25,Himalayan Distillery Limited,1,630.00,630.00,630.00,30.00,18900.00,637.00,-7.00
26,ICFC Finance Limited,7,272.00,260.00,263.00,3091.00,810871.00,277.00,-14.00
27,Infrastructure Development Bank Ltd.,14,184.00,177.00,184.00,6710.00,1191761.00,181.00,3.00
28,International Development Bank Ltd,10,211.00,198.00,199.00,5110.00,1042820.00,215.00,-16.00
29,International Leasing & Finance Co. Ltd.,24,161.00,150.00,159.00,13514.00,2123601.00,158.00,1.00
30,Janaki Finance Company Limited,4,420.00,412.00,420.00,496.00,207920.00,420.00,0.00
31,Janata Bank Nepal Ltd.,26,289.00,275.00,276.00,9495.00,2646570.00,284.00,-8.00
32,Jebils Finance Ltd.,2,131.00,130.00,130.00,650.00,85000.00,133.00,-3.00
33,Jyoti Bikas Bank Limited,13,181.00,176.00,178.00,1295.00,231577.00,178.00,0.00
34,Kalika Laghubitta Bittiya Sanstha Ltd,6,1045.00,1044.00,1044.00,650.00,678764.00,1065.00,-21.00
35,Kalinchowk Development Bank Ltd.,10,227.00,217.00,217.00,507.00,111269.00,221.00,-4.00
36,Kamana Sewa Bikas Bank Limited,7,331.00,320.00,320.00,330.00,107530.00,337.00,-17.00
37,Karnali Development Bank Limited,2,278.00,278.00,278.00,660.00,183480.00,283.00,-5.00
38,Kaski Finance Limited,2,243.00,239.00,239.00,389.00,93327.00,239.00,0.00
39,Kasthamandap Development Bank Limited,15,153.00,148.00,148.00,8241.00,1231049.00,150.00,-2.00
40,Kumari Bank Limited,37,395.00,377.00,388.00,7544.00,2929939.00,399.00,-11.00
41,Laxmi Bank Limited,9,467.00,440.00,440.00,1139.00,515614.00,458.00,-18.00
42,Laxmi Laghubitta Bittiya Sanstha Ltd.,21,821.00,789.00,804.00,1523.00,1214027.00,829.00,-25.00
43,Life Insurance Corporation (Nepal) Limited,8,2330.00,2285.00,2295.00,1060.00,2438700.00,2301.00,-6.00
44,Lumbini Bank Limited,36,363.00,351.00,352.00,10865.00,3889254.00,364.00,-12.00
45,Lumbini Finance Ltd.,1,205.00,205.00,205.00,100.00,20500.00,203.00,2.00
46,Lumbini General Insurance Co. Ltd.,3,290.00,285.00,290.00,69.00,19940.00,295.00,-5.00
47,Machhapuchhre Bank Limited,59,584.00,560.00,578.00,16498.00,9502339.00,582.00,-4.00
