S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,4,124.00,123.00,124.00,15764.00,1939736.00,122.00,2.00
2,Agricultural Development Bank Limited,18,137.00,135.00,136.00,1170.00,159205.00,134.00,2.00
3,Apex Development Bank Ltd.,5,87.00,83.00,87.00,100.00,8500.00,82.00,5.00
4,Arun Valley Hydropower Development Co. Ltd.,6,282.00,277.00,282.00,278.00,78192.00,277.00,5.00
5,Asian Life Insurance Co. Limited,2,202.00,202.00,202.00,90.00,18180.00,206.00,-4.00
6,Bank of Asia Nepal Limited,10,228.00,224.00,224.00,1734.00,391085.00,224.00,0.00
7,Bank of Kathmandu Ltd.,46,583.00,572.00,581.00,7436.00,4282968.00,569.00,12.00
8,Butwal Power Company Limited,2,481.00,472.00,472.00,10280.00,4898060.00,490.00,-18.00
9,Chilime Hydropower Company Limited,76,810.00,775.00,810.00,4500.00,3601008.00,788.00,22.00
10,Citizens Bank International Limited,20,224.00,218.00,224.00,2844.00,629962.00,214.00,10.00
11,Clean Energy Development Bank Limited,6,140.00,136.00,140.00,2048.00,282576.00,138.00,2.00
12,Corporate Development Bank Limited,9,106.00,105.00,106.00,380.00,40120.00,105.00,1.00
13,Country Development Bank Ltd.,21,74.00,71.00,73.00,730.00,53220.00,73.00,0.00
14,Deprosc Laghubitta Bittiya Sanstha Limited,1,275.00,275.00,275.00,500.00,137500.00,273.00,2.00
15,Deva Bikas Bank Limited,3,82.00,81.00,82.00,500.00,40600.00,80.00,2.00
16,Everest Bank Limited,1556,918.00,900.00,918.00,96949.00,87255200.00,916.00,2.00
17,Everest Finance Ltd.,4,106.00,104.00,104.00,304.00,31724.00,104.00,0.00
18,First Micro Finance Laghubitta Bittiya Sanstha Limited,5,138.00,136.00,136.00,2405.00,329590.00,140.00,-4.00
19,Gandaki Bikas Bank Limited,10,124.00,120.00,124.00,270.00,32790.00,121.00,3.00
20,Gandaki Bikas BankLimited,1,131.00,131.00,131.00,2000.00,262000.00,133.00,-2.00
21,Garima Bikas Bank Limited,7,140.00,138.00,140.00,370.00,51560.00,138.00,2.00
22,Gaurishankar Development Bank Ltd.,14,79.00,77.00,78.00,154.00,12001.00,79.00,-1.00
23,Grand Bank Nepal Limited,13,210.00,199.00,202.00,3699.00,747258.00,203.00,-1.00
24,Gurans Life Insurance Company Ltd.,1,94.00,94.00,94.00,20.00,1880.00,95.00,-1.00
25,Himalayan Bank Limited,6,590.00,579.00,590.00,849.00,492875.00,579.00,11.00
26,ICFC Finance Limited,1,143.00,143.00,143.00,100.00,14300.00,145.00,-2.00
27,Jyoti Bikas Bank Limited,16,88.00,87.00,87.00,460.00,40270.00,87.00,0.00
28,Kamana Sewa Bikas Bank Limited,17,107.00,103.00,105.00,2540.00,262830.00,106.00,-1.00
29,Karnali Development Bank Limited,6,50.00,50.00,50.00,120.00,6000.00,50.00,0.00
