S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,19,223.00,214.00,223.00,20817.00,4512334.00,220.00,3.00
2,Agricultural Development Bank Limited,171,484.00,451.00,469.00,30153.00,14137999.00,469.00,0.00
3,Alpine Development Bank Limited,5,139.00,137.00,139.00,150.00,20650.00,135.00,4.00
4,Apex Development Bank Ltd.,13,133.00,123.00,133.00,954.00,124390.00,121.00,12.00
5,Araniko Development Bank Limited,63,144.00,136.00,136.00,5030.00,707490.00,140.00,-4.00
6,Arun Valley Hydropower Development Co. Ltd.,15,550.00,531.00,550.00,2421.00,1304110.00,540.00,10.00
7,Asian Life Insurance Co. Limited,34,646.00,626.00,640.00,11929.00,7558017.00,650.00,-10.00
8,Bank of Kathmandu Ltd.,76,682.00,618.00,650.00,23272.00,14994777.00,642.00,8.00
9,Business Universal Development Bank Ltd.,3,138.00,136.00,136.00,727.00,99272.00,134.00,2.00
10,Butwal Power Company Limited,10,1150.00,1110.00,1145.00,4841.00,5496940.00,1150.00,-5.00
11,Chhimek Laghubitta Bittiya Sanstha Limited,3,715.00,700.00,715.00,481.00,340650.00,714.00,1.00
12,Chilime Hydropower Company Limited,64,1611.00,1535.00,1583.00,8149.00,12839799.00,1580.00,3.00
13,Citizens Bank International Limited,116,453.00,400.00,442.00,28299.00,12223552.00,436.00,6.00
14,Clean Energy Development Bank Limited,16,282.00,257.00,274.00,4290.00,1145460.00,257.00,17.00
15,Country Development Bank Ltd.,8,99.00,96.00,99.00,1210.00,117590.00,97.00,2.00
16,Deprosc Laghubitta Bittiya Sanstha Limited,5,930.00,920.00,920.00,727.00,674403.00,930.00,-10.00
17,Deva Bikas Bank Limited,15,122.00,110.00,122.00,4755.00,557430.00,116.00,6.00
18,Everest Bank Limited,60,2305.00,2190.00,2250.00,8792.00,19660534.00,2243.00,7.00
19,Excel Development Bank Ltd.,5,660.00,645.00,660.00,1003.00,660003.00,667.00,-7.00
20,Gandaki Bikas Bank Limited,3,210.00,207.00,207.00,167.00,34840.00,238.00,-31.00
21,Gandaki Bikas BankLimited,6,179.00,174.00,179.00,2515.00,442695.00,171.00,8.00
22,Garima Bikas Bank Limited,4,251.00,245.00,251.00,576.00,143692.00,247.00,4.00
23,Gaurishankar Development Bank Ltd.,12,138.00,132.00,138.00,1529.00,207710.00,134.00,4.00
24,Goodwill Finance Limited,2,138.00,136.00,138.00,148.00,20260.00,138.00,0.00
25,Grand Bank Nepal Limited,72,335.00,289.00,317.00,32647.00,10214863.00,316.00,1.00
26,Gurans Life Insurance Company Ltd.,7,345.00,333.00,336.00,1314.00,440650.00,352.00,-16.00
27,Hama Merchant & Finance Ltd.,5,88.00,86.00,88.00,200.00,17400.00,85.00,3.00
28,Himalayan Bank Limited,25,885.00,840.00,885.00,4003.00,3442211.00,860.00,25.00
29,Himalayan General Insurance Co. Ltd,4,704.00,665.00,704.00,551.00,373903.00,652.00,52.00
30,ICFC Finance Limited,8,232.00,220.00,220.00,3086.00,696626.00,228.00,-8.00
31,IME General Insurance Ltd.,1,80.00,80.00,80.00,100.00,8000.00,81.00,-1.00
32,Infrastructure Development Bank Ltd.,13,99.00,97.00,97.00,2288.00,223268.00,98.00,-1.00
33,Innovative Development Bank Ltd.,1,117.00,117.00,117.00,208.00,24336.00,115.00,2.00
34,International Development Bank Ltd,2,99.00,98.00,99.00,981.00,96235.00,98.00,1.00
35,International Leasing & Finance Co. Ltd.,34,245.00,218.00,235.00,15995.00,3740961.00,230.00,5.00
36,Janaki Finance Company Limited,4,232.00,230.00,230.00,1226.00,283304.00,228.00,2.00
37,Janata Bank Nepal Ltd.,88,328.00,280.00,316.00,28860.00,8799339.00,307.00,9.00
38,Jyoti Bikas Bank Limited,39,121.00,115.00,116.00,8520.00,1006630.00,119.00,-3.00
39,Kailash Bikas Bank Ltd.,4,315.00,303.00,303.00,1240.00,383520.00,320.00,-17.00
40,Kamana Sewa Bikas Bank Limited,18,222.00,222.00,222.00,340.00,75480.00,226.00,-4.00
41,Kanchan Development Bank Limited,1,183.00,183.00,183.00,48.00,8784.00,186.00,-3.00
42,Kaski Finance Limited,6,142.00,138.00,138.00,839.00,117628.00,144.00,-6.00
43,Kasthamandap Development Bank Limited,9,99.00,97.00,99.00,1466.00,144233.00,97.00,2.00
44,Kumari Bank Limited,79,527.00,463.00,510.00,26957.00,13435941.00,485.00,25.00
45,Laxmi Bank Limited,62,552.00,488.00,534.00,23783.00,12388272.00,530.00,4.00
46,Life Insurance Corporation (Nepal) Limited,17,2550.00,2420.00,2460.00,1469.00,3652324.00,2505.00,-45.00
47,Lumbini Bikas Bank Ltd.,22,122.00,119.00,119.00,3070.00,369360.00,124.00,-5.00
48,Lumbini General Insurance Co. Ltd.,5,367.00,347.00,367.00,556.00,196240.00,348.00,19.00
49,Machhapuchhre Bank Limited,86,430.00,368.00,411.00,29310.00,11769386.00,406.00,5.00
