S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Sanima Bank Limited Debenture,2,1054.00,1050.00,1054.00,150.00,157900.00,1034.00,20.00
2,Agricultural Development Bank Limited,263,450.00,443.00,450.00,48986.00,21975287.00,442.00,8.00
3,Ajod Insurance Limited,238,518.00,504.00,513.00,6324.00,3243257.00,508.00,5.00
4,Ankhu Khola Jalvidhyut Company Ltd,132,129.00,119.00,121.00,10004.00,1213923.00,127.00,-6.00
5,Api Power Company Ltd.,462,224.00,213.00,215.00,176702.00,38420145.00,220.00,-5.00
6,Arun Kabeli Power Ltd.,253,269.00,261.00,263.00,121928.00,32177383.00,267.00,-4.00
7,Arun Valley Hydropower Development Co. Ltd.,122,242.00,233.00,234.00,41407.00,9724166.00,238.00,-4.00
8,Asha Laghubitta Bittiya Sanstha Ltd,59,820.00,794.00,804.00,4382.00,3532237.00,796.00,8.00
9,Asian Life Insurance Co. Limited,28,731.00,724.00,728.00,5184.00,3767478.00,728.00,0.00
10,Bank of Kathmandu Ltd.,205,279.00,276.00,278.00,42565.00,11797923.00,275.00,3.00
11,Barun Hydropower Co. Ltd.,91,194.00,188.00,190.00,31307.00,5942852.00,192.00,-2.00
12,Best Finance Co. Limited Promoter Share,2,100.00,100.00,100.00,200.00,20000.00,100.00,0.00
13,Best Finance Company Ltd.,53,153.00,141.00,142.00,7101.00,1019474.00,146.00,-4.00
14,Bishal Bazar Company Limited,7,1655.00,1648.00,1652.00,350.00,577520.00,1675.00,-23.00
15,Butwal Power Company Limited,129,430.00,407.00,410.00,15450.00,6345039.00,410.00,0.00
16,Central Finance Co. Ltd.,40,170.00,164.00,164.00,17155.00,2845554.00,167.00,-3.00
17,Century Commercial Bank Ltd.,153,191.00,187.00,188.00,38068.00,7194448.00,189.00,-1.00
18,Chhimek Laghubitta Bittiya Sanstha Limited,40,1119.00,1114.00,1114.00,2133.00,2378361.00,1111.00,3.00
19,Chhyangdi Hydropower Ltd.,53,176.00,163.00,163.00,9635.00,1629345.00,170.00,-7.00
20,Chilime Hydropower Company Limited,58,524.00,517.00,520.00,10351.00,5374426.00,524.00,-4.00
21,Citizen Investment Trust,207,3675.00,3635.00,3675.00,8005.00,29234770.00,3616.00,59.00
22,Citizens Bank International Limited,215,224.00,218.00,221.00,56875.00,12506531.00,220.00,1.00
23,Citizens Mutual Fund -1,7,9.64,9.63,9.64,5010.00,48293.40,9.70,-0.06
24,Civil Bank Ltd,127,167.00,164.00,166.00,44214.00,7317370.00,165.00,1.00
25,Civil Laghubitta Bittiya Sanstha Ltd.,12,709.00,699.00,703.00,895.00,631668.00,696.00,7.00
26,Corporate Development Bank Limited,11,201.00,199.00,199.00,2520.00,503300.00,203.00,-4.00
27,Deprosc Laghubitta Bittiya Sanstha Limited,77,867.00,855.00,867.00,9515.00,8182117.00,850.00,17.00
28,Dibyashwori Hydropower Ltd.,64,125.00,114.00,117.00,10180.00,1222907.00,121.00,-4.00
29,Everest Bank Limited,268,719.00,707.00,712.00,52538.00,37348085.00,705.00,7.00
30,Everest Bank Limited Con. Pref.,2,640.00,639.00,639.00,171.00,109369.00,652.00,-13.00
31,Everest Insurance Co. Ltd.,59,536.00,529.00,530.00,15020.00,7988102.00,534.00,-4.00
32,Excel Development Bank Ltd.,17,318.00,314.00,317.00,2750.00,866944.00,320.00,-3.00
33,First Micro Finance Laghubitta Bittiya Sanstha Limited,46,580.00,575.00,575.00,7122.00,4110096.00,577.00,-2.00
34,Forward Microfinance Laghubitta Bittiya Sanstha Limited,10,1550.00,1540.00,1550.00,346.00,535371.00,1540.00,10.00
35,Ganapati Laghubitta Bittiya Sanstha Limited,9,830.00,815.00,823.00,110.00,90730.00,829.00,-6.00
36,Garima Bikas Bank Limited,80,270.00,265.00,265.00,12965.00,3452379.00,266.00,-1.00
37,General Insurance Company Nepal Ltd,1337,536.00,512.00,536.00,45741.00,24516276.00,488.00,48.00
38,Ghalemdi Hydro Limited,99,137.00,127.00,130.00,13580.00,1772198.00,135.00,-5.00
39,Ghodighoda Laghubitta Bittiya Sanstha Ltd.,7,795.00,780.00,790.00,110.00,86910.00,787.00,3.00
40,Global IME Bank Limited,742,282.00,277.00,282.00,162105.00,45335472.00,276.00,6.00
41,Global IME Laghubitta Bittiya Sanstha Ltd.,13,1260.00,1245.00,1246.00,450.00,562678.00,1269.00,-23.00
42,Global IME Samunnat Scheme-1,4,9.80,9.63,9.63,8200.00,80156.00,9.64,-0.01
43,Goodwill Finance Limited,33,196.00,192.00,196.00,5030.00,975408.00,191.00,5.00
44,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,69,525.00,517.00,520.00,10561.00,5499588.00,521.00,-1.00
45,Green Development Bank Ltd.,41,159.00,152.00,159.00,6200.00,953340.00,156.00,3.00
46,Guheshowori Merchant Bank & Finance Co. Ltd.,37,179.00,173.00,177.00,9162.00,1612799.00,173.00,4.00
47,Gurans Laghubitta Bittiya Sanstha Limited,9,715.00,705.00,705.00,290.00,205123.00,714.00,-9.00
48,Gurans Life Insurance Company Ltd.,61,633.00,621.00,628.00,7977.00,4996973.00,625.00,3.00
49,Gurkhas Finance Ltd.,71,160.00,151.00,152.00,27298.00,4228720.00,154.00,-2.00
50,Himal Dolakha Hydropower Company Limited,760,145.00,136.00,140.00,474192.00,66369006.00,137.00,3.00
51,Himalaya Urja Bikas Company Limited,161,179.00,169.00,171.00,30620.00,5307195.00,171.00,0.00
52,Himalayan Bank Limited,109,581.00,565.00,581.00,13951.00,8033119.00,570.00,11.00
53,Himalayan Distillery Limited,49,1845.00,1826.00,1827.00,3985.00,7315090.00,1831.00,-4.00
54,Himalayan General Insurance Co. Ltd,23,511.00,504.00,506.00,1875.00,950291.00,504.00,2.00
55,Himalayan Power Partner Ltd.,98,221.00,212.00,215.00,10224.00,2184984.00,218.00,-3.00
56,Hydorelectricity Investment and Development Company Ltd,272,202.00,193.00,194.00,86447.00,16951790.00,199.00,-5.00
57,ICFC Finance Limited,125,298.00,287.00,298.00,83503.00,24382657.00,294.00,4.00
58,IME General Insurance Ltd.,32,539.00,520.00,539.00,9575.00,5039150.00,538.00,1.00
59,Infinity Laghubitta Bittiya Sanstha Limited,20,828.00,811.00,812.00,370.00,300917.00,825.00,-13.00
60,Janaki Finance Company Limited,37,219.00,213.00,215.00,8498.00,1826290.00,215.00,0.00
61,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,13,1347.00,1325.00,1332.00,374.00,499574.00,1332.00,0.00
62,Joshi Hydropower Development Company Ltd,173,135.00,124.00,124.00,14819.00,1912162.00,128.00,-4.00
63,Jyoti Bikas Bank Limited,202,213.00,208.00,213.00,59213.00,12509876.00,211.00,2.00
