S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,3,285.00,284.00,285.00,721.00,205464.00,280.00,5.00
2,Agricultural Development Bank Limited,43,460.00,439.00,441.00,7651.00,3383326.00,457.00,-16.00
3,Alpine Development Bank Limited,9,377.00,363.00,365.00,1225.00,452873.00,368.00,-3.00
4,Apex Development Bank Ltd.,17,130.00,124.00,130.00,4587.00,574600.00,128.00,2.00
5,Araniko Development Bank Limited,56,193.00,174.00,193.00,3531.00,635717.00,178.00,15.00
6,Arun Valley Hydropower Development Co. Ltd.,33,313.00,305.00,310.00,6855.00,2113607.00,305.00,5.00
7,Asian Life Insurance Co. Limited,17,1019.00,1008.00,1019.00,4310.00,4379189.00,1001.00,18.00
8,Bagmati Development Bank Ltd.,4,305.00,305.00,305.00,40.00,12200.00,308.00,-3.00
9,Bank of Kathmandu Ltd.,73,608.00,590.00,595.00,18501.00,10987732.00,606.00,-11.00
10,Bhaktapur Finance Co. Ltd.,21,139.00,131.00,137.00,5565.00,746525.00,137.00,0.00
11,Bhargav Bikash Bank Ltd.,6,332.00,330.00,332.00,920.00,304450.00,330.00,2.00
12,Biratlaxmi Bikas Bank Limited,10,360.00,354.00,355.00,735.00,261629.00,361.00,-6.00
13,Business Universal Development Bank Ltd.,16,235.00,230.00,232.00,5507.00,1278538.00,234.00,-2.00
14,Butwal Power Company Limited,4,591.00,589.00,589.00,1000.00,589650.00,595.00,-6.00
15,Central Finance Co. Ltd.,47,239.00,222.00,239.00,16106.00,3838965.00,218.00,21.00
16,Century Commercial Bank Ltd.,94,338.00,331.00,336.00,16392.00,5464893.00,338.00,-2.00
17,Chhimek Laghubitta Bittiya Sanstha Limited,13,1425.00,1395.00,1425.00,3094.00,4342468.00,1406.00,19.00
18,Chilime Hydropower Company Limited,50,1570.00,1550.00,1560.00,6581.00,10258155.00,1570.00,-10.00
19,Citizens Bank International Limited,98,557.00,545.00,556.00,28734.00,15828108.00,559.00,-3.00
20,Civil Bank Ltd,87,281.00,275.00,276.00,15291.00,4228568.00,283.00,-7.00
21,Country Development Bank Ltd.,5,178.00,172.00,172.00,110.00,19280.00,178.00,-6.00
