S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Sanima Bank Limited Debenture,1,950.00,950.00,950.00,25.00,23750.00,932.00,18.00
2,10.50% SBL Debenture 2082,1,978.00,978.00,978.00,75.00,73350.00,978.00,0.00
3,Agricultural Development Bank Limited,53,384.00,350.00,380.00,16073.00,6031916.00,350.00,30.00
4,Api Power Company Ltd.,10,119.00,113.00,119.00,2462.00,283295.00,111.00,8.00
5,Arun Kabeli Power Ltd.,28,132.00,124.00,125.00,13890.00,1783943.00,122.00,3.00
6,Arun Valley Hydropower Development Co. Ltd.,7,97.00,95.00,97.00,2721.00,263406.00,94.00,3.00
7,Asha Laghubitta Bittiya Sanstha Ltd,3,560.00,547.00,560.00,31.00,17200.00,537.00,23.00
8,Asian Life Insurance Co. Limited,36,592.00,549.00,591.00,7482.00,4355840.00,539.00,52.00
9,Bank of Kathmandu Ltd.,26,230.00,218.00,229.00,5311.00,1200807.00,217.00,12.00
10,Barun Hydropower Co. Ltd.,1,84.00,84.00,84.00,1000.00,84000.00,85.00,-1.00
11,Best Finance Company Ltd.,1,87.00,87.00,87.00,200.00,17400.00,86.00,1.00
12,Bishal Bazar Company Limited,2,1612.00,1581.00,1612.00,20.00,31930.00,1550.00,62.00
13,Butwal Power Company Limited,20,365.00,338.00,365.00,2101.00,754966.00,332.00,33.00
14,Central Finance Co. Ltd.,4,130.00,124.00,130.00,700.00,88600.00,122.00,8.00
15,Century Commercial Bank Ltd.,15,168.00,161.00,168.00,3535.00,580467.00,158.00,10.00
16,Chhimek Laghubitta Bittiya Sanstha Limited,33,1079.00,1001.00,1021.00,3827.00,4038644.00,982.00,39.00
17,Chilime Hydropower Company Limited,16,382.00,370.00,373.00,3171.00,1179897.00,368.00,5.00
18,Citizen Investment Trust,56,2504.00,2322.00,2504.00,7014.00,17529527.00,2277.00,227.00
19,Citizens Bank International Limited,26,198.00,182.00,198.00,4143.00,787979.00,180.00,18.00
20,Civil Bank Ltd,14,138.00,136.00,137.00,5028.00,691136.00,134.00,3.00
21,Civil Laghubitta Bittiya Sanstha Ltd.,5,590.00,557.00,590.00,95.00,55390.00,547.00,43.00
22,Deprosc Laghubitta Bittiya Sanstha Limited,12,805.00,778.00,805.00,1583.00,1238160.00,763.00,42.00
