S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,14,262.00,254.00,259.00,4553.00,1174265.00,264.00,-5.00
2,Agricultural Development Bank Limited,72,493.00,473.00,486.00,4915.00,2379604.00,492.00,-6.00
3,Alpine Development Bank Limited,19,206.00,200.00,202.00,590.00,118660.00,204.00,-2.00
4,Apex Development Bank Ltd.,52,131.00,128.00,129.00,2882.00,372925.00,130.00,-1.00
5,Araniko Development Bank Limited,1,158.00,158.00,158.00,42.00,6636.00,155.00,3.00
6,Arun Valley Hydropower Development Co. Ltd.,33,435.00,425.00,430.00,12271.00,5262503.00,422.00,8.00
7,Asian Life Insurance Co. Limited,82,1122.00,1059.00,1100.00,19138.00,20863326.00,1075.00,25.00
8,Bhrikuti Vikash Bank Limited,7,316.00,304.00,316.00,1595.00,496656.00,310.00,6.00
9,Bright Development Bank Ltd,3,126.00,124.00,124.00,2900.00,362500.00,123.00,1.00
10,Business Universal Development Bank Ltd.,5,170.00,167.00,170.00,3311.00,562330.00,170.00,0.00
11,Butwal Power Company Limited,5,771.00,765.00,770.00,1369.00,1051163.00,760.00,10.00
12,Central Finance Co. Ltd.,3,183.00,182.00,183.00,197.00,36001.00,185.00,-2.00
13,Century Commercial Bank Ltd.,448,325.00,298.00,314.00,28200.00,8757127.00,310.00,4.00
14,Chhimek Laghubitta Bittiya Sanstha Limited,3,1198.00,1185.00,1185.00,510.00,606774.00,1180.00,5.00
15,Chilime Hydropower Company Limited,144,2365.00,2338.00,2356.00,22329.00,52430878.00,2335.00,21.00
16,Citizen Investment Trust,56,5000.00,4810.00,5000.00,4817.00,23842683.00,4851.00,149.00
17,Citizens Bank International Limited,43,474.00,452.00,465.00,11300.00,5237578.00,458.00,7.00
18,Civil Bank Ltd,77,299.00,281.00,293.00,29726.00,8667299.00,287.00,6.00
19,Clean Energy Development Bank Limited,4,254.00,250.00,251.00,770.00,194092.00,259.00,-8.00
20,Corporate Development Bank Limited,29,141.00,130.00,141.00,4470.00,615790.00,129.00,12.00
21,Country Development Bank Ltd.,39,145.00,136.00,145.00,3270.00,466860.00,138.00,7.00
22,Deprosc Laghubitta Bittiya Sanstha Limited,1,980.00,980.00,980.00,110.00,107800.00,1000.00,-20.00
23,Everest Bank Limited,19,2499.00,2450.00,2490.00,1969.00,4877189.00,2458.00,32.00
24,Excel Development Bank Ltd.,3,600.00,595.00,600.00,683.00,406535.00,601.00,-1.00
25,Fewa Finance Co. Ltd.,1,265.00,265.00,265.00,400.00,106000.00,269.00,-4.00
26,First Micro Finance Laghubitta Bittiya Sanstha Limited,6,712.00,700.00,708.00,1020.00,720300.00,700.00,8.00
27,Gandaki Bikas Bank Limited,15,270.00,265.00,265.00,2250.00,604426.00,268.00,-3.00
28,Garima Bikas Bank Limited,45,299.00,289.00,293.00,5170.00,1521868.00,300.00,-7.00
29,Global IME Bank Limited,70,602.00,578.00,592.00,7077.00,4215054.00,601.00,-9.00
30,Goodwill Finance Limited,1,153.00,153.00,153.00,1000.00,153000.00,150.00,3.00
31,Grand Bank Nepal Limited,28,290.00,280.00,285.00,11603.00,3296379.00,285.00,0.00
32,Gurans Life Insurance Company Ltd.,13,550.00,540.00,548.00,3159.00,1727918.00,550.00,-2.00
33,Hama Merchant & Finance Ltd.,34,127.00,121.00,127.00,1910.00,237140.00,127.00,0.00
34,Himalayan Bank Limited,15,928.00,910.00,914.00,2783.00,2549269.00,930.00,-16.00
35,Himalayan General Insurance Co. Ltd,14,500.00,490.00,490.00,7002.00,3445890.00,494.00,-4.00
36,ICFC Finance Limited,12,247.00,244.00,245.00,3152.00,772957.00,244.00,1.00
37,Infrastructure Development Bank Ltd.,80,180.00,165.00,171.00,65201.00,11187111.00,170.00,1.00
38,International Development Bank Ltd,9,151.00,148.00,150.00,11191.00,1680200.00,154.00,-4.00
39,Janaki Finance Company Limited,5,372.00,365.00,370.00,2205.00,814364.00,372.00,-2.00
40,Janata Bank Nepal Ltd.,15,286.00,281.00,284.00,5116.00,1442826.00,284.00,0.00
41,Jyoti Bikas Bank Limited,58,170.00,163.00,164.00,4330.00,716620.00,167.00,-3.00
42,Kabeli Bikas Bank Limited,6,260.00,255.00,255.00,168.00,43222.00,260.00,-5.00
43,Kailash Bikas Bank Ltd.,4,379.00,372.00,372.00,2060.00,772340.00,379.00,-7.00
44,Kalika Laghubitta Bittiya Sanstha Ltd,15,736.00,659.00,736.00,309.00,207471.00,670.00,66.00
45,Kamana Sewa Bikas Bank Limited,8,300.00,290.00,290.00,470.00,138730.00,300.00,-10.00
46,Kanchan Development Bank Limited,1,228.00,228.00,228.00,400.00,91200.00,224.00,4.00
47,Kankai Bikas Bank Ltd.,9,154.00,151.00,151.00,156.00,23680.00,155.00,-4.00
48,Karnali Development Bank Limited,13,148.00,146.00,147.00,470.00,69050.00,150.00,-3.00
49,Kaski Finance Limited,10,186.00,183.00,183.00,2179.00,403565.00,189.00,-6.00
50,Kasthamandap Development Bank Limited,17,116.00,112.00,114.00,1789.00,204540.00,116.00,-2.00
51,Kumari Bank Limited,31,491.00,460.00,485.00,10404.00,4897364.00,473.00,12.00
52,Laxmi Bank Limited,16,540.00,520.00,530.00,6597.00,3490924.00,525.00,5.00
53,Life Insurance Corporation (Nepal) Limited,26,3690.00,3555.00,3690.00,3553.00,12984746.00,3618.00,72.00
54,Lumbini Bikas Bank Ltd.,30,132.00,128.00,129.00,1460.00,189260.00,133.00,-4.00
55,Lumbini Finance Ltd.,4,202.00,198.00,198.00,1136.00,227138.00,199.00,-1.00
56,Lumbini General Insurance Co. Ltd.,11,412.00,396.00,403.00,2676.00,1073635.00,416.00,-13.00
57,Machhapuchhre Bank Limited,50,540.00,519.00,540.00,22382.00,11893901.00,529.00,11.00
58,Mahakali Bikas Bank Limited,2,156.00,156.00,156.00,120.00,18720.00,159.00,-3.00
59,Mahalaxmi Bikas Bank Ltd.,121,151.00,141.00,145.00,14378.00,2102899.00,141.00,4.00
60,Mahalaxmi BikasBank Limited,4,177.00,173.00,177.00,730.00,128875.00,179.00,-2.00
61,Mega  Bank Nepal Ltd.,62,432.00,413.00,421.00,4208.00,1759913.00,421.00,0.00
62,Miteri Development Bank Limited,2,475.00,471.00,475.00,177.00,83847.00,462.00,13.00
63,Muktinath Bikas Bank Ltd.,25,540.00,526.00,535.00,863.00,461865.00,530.00,5.00
64,Nabil Balance Fund 1,26,14.15,13.91,14.00,94593.00,1331349.44,14.15,-0.15
65,Nabil Bank Limited,19,2255.00,2117.00,2254.00,4796.00,10513577.00,2198.00,56.00
66,NABIL Bank Limited Promotor Share,9,1490.00,1475.00,1485.00,3150.00,4674050.00,1470.00,15.00
67,National Hydro Power Company Limited,20,173.00,167.00,168.00,46755.00,7858850.00,170.00,-2.00
68,National Life Insurance Co. Ltd.,5,2131.00,2100.00,2100.00,703.00,1481185.00,2090.00,10.00
69,Naya Sarathi Laghubitta Bittiya Sanstha Limited,7,884.00,867.00,884.00,70.00,61590.00,889.00,-5.00
70,Neco Insurance Limited,20,682.00,632.00,682.00,7282.00,4875111.00,620.00,62.00
71,Nepal Bangladesh Bank Limited,84,715.00,698.00,713.00,29389.00,20734494.00,704.00,9.00
72,Nepal Bank Limited,184,387.00,365.00,380.00,138165.00,52078891.00,360.00,20.00
73,Nepal Credit And Commercial Bank Limited,45,543.00,530.00,540.00,17528.00,9436058.00,534.00,6.00
74,Nepal Doorsanchar Company Limited,4,602.00,590.00,602.00,650.00,387700.00,600.00,2.00
75,Nepal Insurance Co. Ltd.,5,570.00,550.00,550.00,998.00,552416.00,560.00,-10.00
76,Nepal Investment Bank Limited,20,919.00,907.00,907.00,3216.00,2935663.00,911.00,-4.00
77,Nepal Life Insurance Co. Ltd.,20,3729.00,3699.00,3720.00,2397.00,8884857.00,3670.00,50.00
78,Nepal Life Insurance Co. Ltd. Promoter,2,1626.00,1626.00,1626.00,10020.00,16292520.00,1626.00,0.00
79,Nepal SBI Bank Limited,15,1240.00,1230.00,1235.00,3100.00,3820775.00,1250.00,-15.00
80,Nerude Laghubitta Bittiya Sanstha Limited,7,1160.00,1130.00,1160.00,687.00,787140.00,1125.00,35.00
81,NIC Asia Bank Ltd.,81,880.00,859.00,870.00,10860.00,9447955.00,870.00,0.00
82,NIDC Capital Markets Ltd.,1,182.00,182.00,182.00,29.00,5278.00,179.00,3.00
83,Nilgiri Bikas Bank Limited,10,246.00,235.00,245.00,318.00,76491.00,238.00,7.00
84,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,4,1169.00,1124.00,1169.00,445.00,503357.00,1146.00,23.00
85,NLG Insurance Company Ltd.,61,791.00,760.00,782.00,4059.00,3186240.00,790.00,-8.00
86,NMB Bank Limited,35,489.00,476.00,485.00,11804.00,5697048.00,480.00,5.00
87,Om Development Bank Ltd.,7,388.00,374.00,374.00,105.00,40245.00,395.00,-21.00
88,Om Finance Ltd.,3,306.00,300.00,306.00,664.00,199408.00,300.00,6.00
89,Oriental Hotels Limited,32,722.00,708.00,716.00,6370.00,4558290.00,708.00,8.00
90,Patan Finance Limited,1,122.00,122.00,122.00,132.00,16104.00,124.00,-2.00
91,Pathibhara Bikas Bank Limited,9,102.00,94.00,102.00,1080.00,109810.00,93.00,9.00
