S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Sanima Bank Limited Debenture,1,1018.00,1018.00,1018.00,25.00,25450.00,1018.00,0.00
2,10.25% KBL Debenture 2086,1,1050.00,1050.00,1050.00,2000.00,2100000.00,1050.00,0.00
3,10.25% NIC Asia Debenture 2083/84,3,1020.00,1000.00,1015.00,60.00,60875.00,1000.00,15.00
4,10.25% Sunrise Bank Debenture 2083,1,1050.00,1050.00,1050.00,2500.00,2625000.00,1010.00,40.00
5,11% NIC Asia Debenture 082/83,1,1071.00,1071.00,1071.00,25.00,26775.00,1071.00,0.00
6,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,575,779.00,713.00,775.00,24756.00,18558987.00,709.00,66.00
7,Agricultural Development Bank Limited,167,443.00,418.00,423.00,30486.00,12838279.00,422.00,1.00
8,Ajod Insurance Limited,710,518.00,505.00,517.00,19878.00,10205076.00,512.00,5.00
9,Ankhu Khola Jalvidhyut Company Ltd,97,66.00,62.00,66.00,10260.00,660280.00,63.00,3.00
10,Api Power Company Ltd.,145,130.00,125.00,128.00,43654.00,5574094.00,130.00,-2.00
11,Arun Kabeli Power Ltd.,270,176.00,161.00,161.00,94772.00,15480068.00,168.00,-7.00
12,Arun Valley Hydropower Development Co. Ltd.,186,122.00,116.00,118.00,91572.00,10963866.00,118.00,0.00
13,Asha Laghubitta Bittiya Sanstha Ltd,216,995.00,940.00,968.00,10988.00,10591856.00,978.00,-10.00
14,Asian Life Insurance Co. Limited,226,745.00,712.00,733.00,57800.00,42247164.00,727.00,6.00
15,Bank of Kathmandu Ltd.,105,233.00,230.00,231.00,21531.00,4972754.00,233.00,-2.00
16,Barun Hydropower Co. Ltd.,32,107.00,105.00,105.00,2326.00,247182.00,105.00,0.00
17,Best Finance Company Ltd.,20,109.00,103.00,106.00,922.00,97265.00,105.00,1.00
18,Bishal Bazar Company Limited,11,1656.00,1600.00,1656.00,354.00,574634.00,1571.00,85.00
19,Bottlers Nepal (Terai) Limited,6,6500.00,6396.00,6450.00,105.00,675935.00,6271.00,179.00
20,Butwal Power Company Limited,204,397.00,386.00,386.00,40419.00,15720062.00,389.00,-3.00
21,Central Finance Co. Ltd.,21,128.00,124.00,126.00,2972.00,372234.00,126.00,0.00
22,Century Commercial Bank Ltd.,173,173.00,170.00,172.00,44463.00,7615460.00,173.00,-1.00
23,Chhimek Laghubitta Bittiya Sanstha Limited,220,1127.00,1098.00,1118.00,25913.00,28794932.00,1095.00,23.00
24,Chhyangdi Hydropower Ltd.,28,104.00,102.00,104.00,789.00,81704.00,106.00,-2.00
25,Chilime Hydropower Company Limited,208,475.00,457.00,466.00,43820.00,20444579.00,465.00,1.00
26,Citizen Investment Trust,1003,3640.00,3495.00,3632.00,51854.00,186407780.00,3456.00,176.00
27,Citizens Bank International Limited,141,194.00,192.00,194.00,29906.00,5756858.00,194.00,0.00
28,Citizens Mutual Fund -1,24,10.45,10.21,10.32,44350.00,457500.50,10.45,-0.13
29,Civil Bank Ltd,106,146.00,142.00,146.00,39828.00,5745454.00,144.00,2.00
30,Civil Laghubitta Bittiya Sanstha Ltd.,140,742.00,674.00,722.00,5389.00,3866436.00,675.00,47.00
31,Corporate Development Bank Limited,19,133.00,123.00,132.00,1590.00,201550.00,125.00,7.00
32,Deprosc Laghubitta Bittiya Sanstha Limited,167,890.00,866.00,886.00,15676.00,13817096.00,861.00,25.00
33,Dibyashwori Hydropower Ltd.,39,58.00,54.00,57.00,3261.00,183843.00,55.00,2.00
