S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agricultural Development Bank Limited,87,415.00,407.00,414.00,24200.00,9954921.00,410.00,4.00
2,Ankhu Khola Jalvidhyut Company Ltd,24,72.00,69.00,72.00,1180.00,82790.00,72.00,0.00
3,Api Power Company Ltd.,52,149.00,139.00,146.00,15632.00,2225605.00,146.00,0.00
4,Arun Kabeli Power Ltd.,32,190.00,183.00,190.00,9108.00,1711969.00,184.00,6.00
5,Arun Valley Hydropower Development Co. Ltd.,23,110.00,104.00,106.00,5508.00,591819.00,106.00,0.00
6,Asha Laghubitta Bittiya Sanstha Ltd,73,410.00,385.00,397.00,1080.00,430120.00,397.00,0.00
7,Asian Life Insurance Co. Limited,24,392.00,380.00,392.00,2877.00,1112467.00,387.00,5.00
8,Bank of Kathmandu Ltd.,77,268.00,260.00,265.00,22173.00,5828401.00,263.00,2.00
9,Barun Hydropower Co. Ltd.,8,93.00,92.00,93.00,590.00,54430.00,92.00,1.00
10,Best Finance Company Ltd.,10,105.00,100.00,105.00,3250.00,327250.00,100.00,5.00
11,Bottlers Nepal (Terai) Limited,1,6600.00,6600.00,6600.00,320.00,2112000.00,6600.00,0.00
12,Butwal Power Company Limited,27,409.00,401.00,407.00,1793.00,728585.00,405.00,2.00
13,Central Finance Co. Ltd.,6,119.00,119.00,119.00,3627.00,431613.00,121.00,-2.00
14,Century Commercial Bank Ltd.,482,185.00,170.00,180.00,191108.00,34085130.00,176.00,4.00
15,Chhimek Laghubitta Bittiya Sanstha Limited,31,959.00,948.00,959.00,4279.00,4082614.00,948.00,11.00
16,Chhyangdi Hydropower Ltd.,6,89.00,88.00,88.00,850.00,74900.00,90.00,-2.00
17,Chilime Hydropower Company Limited,39,514.00,506.00,514.00,5688.00,2902496.00,507.00,7.00
18,Citizen Investment Trust,12,2490.00,2425.00,2489.00,661.00,1628297.00,2450.00,39.00
19,Citizens Bank International Limited,129,228.00,222.00,226.00,23227.00,5221724.00,224.00,2.00
20,Civil Bank Ltd,332,153.00,145.00,151.00,201454.00,30211038.00,148.00,3.00
21,Civil Laghubitta Bittiya Sanstha Ltd.,10,518.00,495.00,518.00,197.00,98422.00,509.00,9.00
22,Deprosc Laghubitta Bittiya Sanstha Limited,16,727.00,705.00,727.00,2069.00,1478685.00,708.00,19.00
23,Deva Bikas Bank Limited,39,141.00,137.00,140.00,14315.00,1996499.00,139.00,1.00
24,Dibyashwori Hydropower Ltd.,10,67.00,65.00,66.00,2829.00,188316.00,66.00,0.00
25,Everest Bank Limited,44,666.00,654.00,665.00,7506.00,4949469.00,656.00,9.00
26,Everest Insurance Co. Ltd.,11,368.00,359.00,363.00,769.00,280022.00,365.00,-2.00
27,Excel Development Bank Ltd.,4,285.00,281.00,285.00,1565.00,442025.00,290.00,-5.00
28,First Micro Finance Laghubitta Bittiya Sanstha Limited,6,398.00,379.00,394.00,467.00,180540.00,374.00,20.00
29,Forward Microfinance Laghubitta Bittiya Sanstha Limited,17,1350.00,1320.00,1344.00,515.00,684818.00,1314.00,30.00
30,Ganapati Laghubitta Bittiya Sanstha Limited,306,476.00,426.00,460.00,5670.00,2543590.00,434.00,26.00
31,Gandaki Bikas Bank Limited,23,214.00,208.00,214.00,10542.00,2218634.00,211.00,3.00
32,Garima Bikas Bank Limited,38,226.00,218.00,225.00,28450.00,6275148.00,222.00,3.00
33,Ghalemdi Hydro Limited,10,80.00,79.00,79.00,220.00,17460.00,80.00,-1.00
34,Global IME Bank Limited,161,298.00,292.00,297.00,50134.00,14790454.00,294.00,3.00
35,Global IME Laghubitta Bittiya Sanstha Ltd.,23,1280.00,1240.00,1280.00,5323.00,6723053.00,1229.00,51.00
36,Global IME Samunnat Scheme-1,1,7.85,7.85,7.85,1000.00,7850.00,7.70,0.15
37,Goodwill Finance Limited,4,133.00,130.00,133.00,2092.00,275594.00,131.00,2.00
38,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,34,358.00,340.00,352.00,3570.00,1239420.00,347.00,5.00
39,Green Development Bank Ltd.,16,117.00,112.00,117.00,3250.00,373820.00,113.00,4.00
40,Guheshowori Merchant Bank & Finance Co. Ltd.,2,127.00,125.00,127.00,150.00,18850.00,123.00,4.00
41,Gurans Laghubitta Bittiya Sanstha Limited,110,406.00,383.00,398.00,1475.00,580835.00,387.00,11.00
42,Gurans Life Insurance Company Ltd.,16,482.00,468.00,482.00,2253.00,1067560.00,476.00,6.00
43,Gurkhas Finance Ltd.,3,120.00,119.00,119.00,1531.00,183590.00,119.00,0.00
44,Himalaya Urja Bikas Company Limited,52,142.00,139.00,140.00,1100.00,154080.00,141.00,-1.00
45,Himalayan Bank Limited,12,560.00,548.00,560.00,1244.00,689047.00,553.00,7.00
46,Himalayan Distillery Limited,19,1686.00,1666.00,1677.00,2495.00,4174780.00,1675.00,2.00
47,Himalayan General Insurance Co. Ltd,6,366.00,362.00,363.00,686.00,249532.00,359.00,4.00
48,Himalayan Power Partner Ltd.,25,181.00,174.00,181.00,312.00,54798.00,177.00,4.00
49,Hydorelectricity Investment and Development Company Ltd,66,163.00,158.00,163.00,10470.00,1677092.00,159.00,4.00
50,ICFC Finance Limited,15,161.00,157.00,159.00,2301.00,363840.00,158.00,1.00
51,IME General Insurance Ltd.,15,365.00,360.00,360.00,1952.00,707045.00,363.00,-3.00
52,Janaki Finance Company Limited,5,179.00,176.00,179.00,1706.00,304265.00,176.00,3.00
53,Janata Bank Nepal Ltd.,216,218.00,210.00,215.00,83719.00,17926852.00,212.00,3.00
54,Joshi Hydropower Development Company Ltd,39,80.00,78.00,78.00,1030.00,81760.00,80.00,-2.00
55,Jyoti Bikas Bank Limited,33,159.00,155.00,158.00,8458.00,1333230.00,155.00,3.00
56,Kailash Bikas Bank Ltd.,33,240.00,232.00,240.00,12302.00,2887051.00,235.00,5.00
57,Kalika power Company Ltd,42,95.00,90.00,94.00,800.00,74410.00,92.00,2.00
58,Kamana Sewa Bikas Bank Limited,26,158.00,152.00,157.00,9556.00,1487494.00,154.00,3.00
59,Kanchan Development Bank Limited,2,192.00,192.00,192.00,294.00,56448.00,192.00,0.00
60,Karnali Development Bank Limited,15,117.00,112.00,117.00,1602.00,181753.00,114.00,3.00
61,Khanikhola Hydropower Co. Ltd.,17,73.00,70.00,73.00,341.00,24326.00,71.00,2.00
62,Kumari Bank Limited,103,222.00,214.00,222.00,32719.00,7148134.00,221.00,1.00
63,Laxmi Bank Limited,88,227.00,220.00,227.00,21156.00,4732220.00,221.00,6.00
64,Laxmi Equity Fund,1,7.70,7.70,7.70,500.00,3850.00,7.70,0.00
65,Laxmi Laghubitta Bittiya Sanstha Ltd.,19,682.00,653.00,682.00,2342.00,1552021.00,665.00,17.00
66,Laxmi Value Fund-1,3,10.12,10.11,10.12,20000.00,202300.00,10.09,0.03
67,Life Insurance Corporation (Nepal) Limited,44,1678.00,1620.00,1660.00,3720.00,6120475.00,1620.00,40.00
68,Lumbini Bikas Bank Ltd.,33,198.00,193.00,198.00,13736.00,2678938.00,193.00,5.00
69,Lumbini General Insurance Co. Ltd.,23,456.00,441.00,451.00,11764.00,5282922.00,447.00,4.00
70,Machhapuchhre Bank Limited,65,269.00,265.00,267.00,28744.00,7664301.00,266.00,1.00
71,Mahalaxmi Bikas Bank Ltd.,15,195.00,191.00,193.00,2011.00,387914.00,192.00,1.00
72,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,3,416.00,400.00,416.00,131.00,52640.00,400.00,16.00
73,Mahuli Laghubitta Bittiya Sanstha Limited,8,915.00,900.00,915.00,361.00,328006.00,885.00,30.00
74,Manjushree Finance Ltd.,9,126.00,124.00,125.00,4161.00,519925.00,124.00,1.00
75,Mega  Bank Nepal Ltd.,435,212.00,205.00,211.00,156273.00,32665541.00,207.00,4.00
76,Mega  Bank Nepal Ltd. Promoter Share,2,106.00,106.00,106.00,130985.00,13884410.00,106.00,0.00
77,Mero Microfinance Bittiya Sanstha Ltd.,37,550.00,520.00,528.00,3696.00,1943452.00,524.00,4.00
78,Miteri Development Bank Limited,2,255.00,250.00,255.00,78.00,19750.00,255.00,0.00
79,Mithila LaghuBitta Bittiya Sanstha Limited,17,415.00,400.00,415.00,569.00,230698.00,400.00,15.00
80,Mountain Hydro Nepal Limited,35,107.00,103.00,106.00,2290.00,241370.00,104.00,2.00
81,Muktinath Bikas Bank Ltd.,50,371.00,364.00,368.00,10145.00,3728206.00,366.00,2.00
82,Multipurpose Finance Company  Limited,6,126.00,121.00,124.00,270.00,33440.00,120.00,4.00
83,Nabil Bank Limited,70,799.00,775.00,795.00,7949.00,6256691.00,784.00,11.00
84,NABIL Bank Limited Promotor Share,31,779.00,770.00,775.00,7835.00,6055573.00,774.00,1.00
85,Nabil Equity Fund,1,8.40,8.40,8.40,2000.00,16800.00,8.37,0.03
86,Nadep Laghubittiya bittya Sanstha Ltd.,26,420.00,406.00,420.00,360.00,147590.00,414.00,6.00
87,National Hydro Power Company Limited,17,67.00,64.00,67.00,10620.00,696960.00,66.00,1.00
88,National Life Insurance Co. Ltd.,31,605.00,591.00,605.00,4845.00,2908511.00,598.00,7.00
89,National Microfinance Laghubitta Bittiya Sanstha Limited,7,1485.00,1440.00,1485.00,85.00,124561.00,1463.00,22.00
90,Naya Sarathi Laghubitta Bittiya Sanstha Limited,4,406.00,387.00,406.00,82.00,32204.00,387.00,19.00
91,Neco Insurance Limited,86,499.00,476.00,493.00,9791.00,4774394.00,479.00,14.00
92,Nepal Agro Laghubitta Bittiya Sanstha Limited,133,513.00,486.00,505.00,3120.00,1571070.00,486.00,19.00
93,Nepal Bangladesh Bank Limited,112,228.00,220.00,227.00,39833.00,8871013.00,221.00,6.00
94,Nepal Bank Limited,275,341.00,335.00,340.00,134166.00,45331870.00,337.00,3.00
95,Nepal Credit & Commercial Bank Ltd. Promoter Share,1,130.00,130.00,130.00,6406.00,832780.00,130.00,0.00
96,Nepal Credit And Commercial Bank Limited,140,255.00,245.00,251.00,56746.00,14115536.00,254.00,-3.00
97,Nepal Doorsanchar Company Limited,25,707.00,694.00,700.00,8880.00,6185680.00,694.00,6.00
98,Nepal Hydro Developers Ltd.,8,125.00,124.00,124.00,80.00,9940.00,123.00,1.00
99,Nepal Insurance Co. Ltd.,41,364.00,352.00,361.00,8228.00,2945723.00,360.00,1.00
100,Nepal Investment Bank Limited,132,530.00,519.00,523.00,18291.00,9538512.00,519.00,4.00
101,Nepal Investment Bank Ltd. Promoter Share,26,481.00,475.00,480.00,9919.00,4749825.00,476.00,4.00
102,Nepal Life Insurance Co. Ltd.,68,914.00,890.00,902.00,5286.00,4784146.00,887.00,15.00
103,Nepal SBI Bank Limited,44,480.00,463.00,475.00,7617.00,3590626.00,466.00,9.00
104,Nerude Laghubitta Bittiya Sanstha Limited,7,503.00,493.00,503.00,234.00,115908.00,485.00,18.00
105,Ngadi Group Power Ltd.,8,120.00,114.00,116.00,650.00,76324.00,122.00,-6.00
106,NIBL Pragati Fund,1,6.97,6.97,6.97,200.00,1394.00,6.84,0.13
107,NIBL Samriddhi Fund 1,1,9.25,9.25,9.25,2000.00,18500.00,9.07,0.18
108,NIC Asia Bank Ltd.,88,472.00,456.00,462.00,20331.00,9392274.00,455.00,7.00
109,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,9,855.00,839.00,849.00,916.00,774340.00,837.00,12.00
110,NLG Insurance Company Ltd.,25,750.00,730.00,749.00,1980.00,1463134.00,740.00,9.00
111,NMB  Microfinance Bittiya Sanstha Ltd.,6,995.00,956.00,995.00,149.00,145085.00,958.00,37.00
112,NMB Hybrid Fund L-1,4,9.40,9.35,9.40,13161.00,123445.35,9.35,0.05
113,Oriental Hotels Limited,26,629.00,618.00,622.00,7560.00,4711835.00,622.00,0.00
114,Panchakanya Mai Hydropower Ltd,52,106.00,103.00,105.00,700.00,73490.00,105.00,0.00
115,Panchthar Power Compant Limited,108,143.00,138.00,143.00,3190.00,444210.00,140.00,3.00
116,Pokhara Finance Ltd.,24,140.00,136.00,140.00,3837.00,525267.00,138.00,2.00
117,Prabhu  Bank Limited,166,274.00,268.00,271.00,112650.00,30386094.00,268.00,3.00
118,Prabhu Insurance Ltd.,28,381.00,371.00,377.00,9902.00,3709170.00,370.00,7.00
