S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,9,371.00,363.00,370.00,4300.00,1576900.00,374.00,-4.00
2,Agricultural Development Bank Limited,60,682.00,656.00,668.00,14888.00,9934706.00,656.00,12.00
3,Alpine Development Bank Limited,15,583.00,550.00,552.00,5397.00,3004886.00,561.00,-9.00
4,Api Power Company Ltd.,125,734.00,688.00,710.00,10077.00,7160308.00,728.00,-18.00
5,Araniko Development Bank Limited,10,286.00,280.00,282.00,597.00,169840.00,281.00,1.00
6,Arun Valley Hydropower Development Co. Ltd.,75,365.00,353.00,356.00,25787.00,9228426.00,366.00,-10.00
7,Asian Life Insurance Co. Limited,15,1465.00,1440.00,1444.00,2162.00,3121255.00,1465.00,-21.00
8,Barun Hydropower Co. Ltd.,32,425.00,403.00,410.00,510.00,211530.00,412.00,-2.00
9,Bhargav Bikash Bank Ltd.,6,431.00,430.00,430.00,1100.00,473600.00,432.00,-2.00
10,Biratlaxmi Bikas Bank Limited,12,419.00,413.00,413.00,4825.00,2003737.00,419.00,-6.00
11,Butwal Power Company Limited,81,752.00,728.00,748.00,18582.00,13763434.00,760.00,-12.00
12,Century Commercial Bank Ltd.,79,413.00,402.00,411.00,13917.00,5675812.00,412.00,-1.00
13,Chhimek Laghubitta Bittiya Sanstha Limited,23,2090.00,2049.00,2060.00,2895.00,5968925.00,2090.00,-30.00
14,Chilime Hydropower Company Limited,119,1453.00,1412.00,1419.00,18850.00,26877418.00,1471.00,-52.00
15,Citizen Investment Trust,4,4400.00,4350.00,4350.00,260.00,1135000.00,4410.00,-60.00
16,Citizens Bank International Limited,584,828.00,811.00,820.00,134230.00,110148681.00,819.00,1.00
17,Civil Laghubitta Bittiya Sanstha Ltd.,47,1460.00,1400.00,1450.00,1940.00,2796555.00,1460.00,-10.00
18,Cosmos Development Bank Ltd.,7,530.00,515.00,515.00,1832.00,952760.00,530.00,-15.00
19,Country Development Bank Ltd.,9,225.00,217.00,222.00,1327.00,297504.00,229.00,-7.00
20,Deprosc Laghubitta Bittiya Sanstha Limited,24,2850.00,2800.00,2850.00,5545.00,15630215.00,2855.00,-5.00
21,Deva Bikas Bank Limited,16,252.00,240.00,248.00,3803.00,945794.00,248.00,0.00
22,Everest Bank Limited,29,2900.00,2860.00,2879.00,4827.00,13878600.00,2885.00,-6.00
23,Everest Insurance Co. Ltd.,12,1630.00,1617.00,1630.00,2137.00,3470505.00,1650.00,-20.00
24,Excel Development Bank Ltd.,2,635.00,630.00,630.00,355.00,224650.00,640.00,-10.00
25,First Micro Finance Laghubitta Bittiya Sanstha Limited,41,1450.00,1405.00,1449.00,7604.00,10908315.00,1445.00,4.00
26,Gandaki Bikas Bank Limited,11,430.00,419.00,430.00,1493.00,629815.00,430.00,0.00
27,Gandaki Bikas BankLimited,8,379.00,372.00,372.00,1595.00,598755.00,385.00,-13.00
28,Global IME Bank Limited,109,505.00,499.00,500.00,26163.00,13109214.00,505.00,-5.00
29,Global IME Samunnat Scheme-1,2,10.00,10.00,10.00,10000.00,100000.00,0.00,10.00
30,Goodwill Finance Limited,2,265.00,260.00,260.00,1062.00,276430.00,268.00,-8.00
31,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,8,844.00,807.00,844.00,966.00,788454.00,832.00,12.00
32,Gurans Life Insurance Company Ltd.,27,810.00,785.00,791.00,3988.00,3176862.00,815.00,-24.00
33,Hama Merchant & Finance Ltd.,4,326.00,324.00,324.00,160.00,51920.00,332.00,-8.00
34,Himalayan Bank Limited,27,1450.00,1410.00,1432.00,4680.00,6699473.00,1448.00,-16.00
35,Himalayan General Insurance Co. Ltd,48,1495.00,1435.00,1469.00,9225.00,13520470.00,1460.00,9.00
36,ICFC Finance Limited,5,304.00,299.00,300.00,309.00,93350.00,305.00,-5.00
37,Janaki Finance Company Limited,16,331.00,320.00,324.00,6504.00,2118013.00,325.00,-1.00
38,Kakre Bihar Bikash Bank Ltd,2,411.00,411.00,411.00,122.00,50142.00,412.00,-1.00
39,Kalika Laghubitta Bittiya Sanstha Ltd,23,1948.00,1880.00,1948.00,1683.00,3191870.00,1902.00,46.00
40,Kankai Bikas Bank Ltd.,1,385.00,385.00,385.00,96.00,36960.00,378.00,7.00
41,Karnali Development Bank Limited,5,280.00,270.00,270.00,350.00,96250.00,285.00,-15.00
42,Kisan Lagubitta Bittiya Sanstha Limited,2,944.00,926.00,944.00,20.00,18700.00,908.00,36.00
43,Laxmi Bank Limited,83,760.00,747.00,747.00,20279.00,15235127.00,753.00,-6.00
44,Laxmi Laghubitta Bittiya Sanstha Ltd.,24,2949.00,2800.00,2856.00,1156.00,3287972.00,2850.00,6.00
45,Life Insurance Corporation (Nepal) Limited,10,3301.00,3280.00,3293.00,1311.00,4316448.00,3320.00,-27.00
46,Lumbini Finance Ltd.,2,334.00,328.00,334.00,2900.00,959600.00,334.00,0.00
47,Lumbini General Insurance Co. Ltd.,67,1185.00,1115.00,1165.00,17500.00,20276239.00,1165.00,0.00
48,Mahalaxmi Bikas Bank Ltd.,34,218.00,212.00,215.00,7315.00,1574216.00,216.00,-1.00
49,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,87,1600.00,1555.00,1581.00,1220.00,1940160.00,1580.00,1.00
50,Manaslu Bikas Bank Ltd.,1,409.00,409.00,409.00,20.00,8180.00,417.00,-8.00
51,Manjushree Finance Ltd.,1,320.00,320.00,320.00,100.00,32000.00,314.00,6.00
52,Mega  Bank Nepal Ltd.,574,526.00,500.00,508.00,125275.00,64171734.00,523.00,-15.00
53,Mirmire Microfinance Development Bank Ltd.,4,2758.00,2704.00,2750.00,240.00,659420.00,2651.00,99.00
54,Miteri Development Bank Limited,10,881.00,848.00,881.00,1812.00,1563180.00,865.00,16.00
55,Mithila LaghuBitta Bittiya Sanstha Limited,6,2111.00,2025.00,2025.00,303.00,626985.00,2070.00,-45.00
56,Muktinath Bikas Bank Ltd.,50,1150.00,1116.00,1135.00,12630.00,14285327.00,1135.00,0.00
57,Nabil Balance Fund 1,7,18.00,17.75,17.99,47470.00,847551.65,18.10,-0.11
58,Nabil Bank Limited,61,2220.00,2190.00,2208.00,7999.00,17637677.00,2220.00,-12.00
59,NABIL Bank Limited Promotor Share,41,1704.00,1675.00,1681.00,7753.00,13084591.00,1695.00,-14.00
60,NagBeli LaghuBitta Bikas Bank Ltd.,3,3915.00,3880.00,3880.00,97.00,377955.00,3901.00,-21.00
61,Namaste Bittiya Sanstha Ltd.,46,882.00,830.00,834.00,3237.00,2764497.00,900.00,-66.00
62,National Hydro Power Company Limited,221,207.00,199.00,205.00,146134.00,29537318.00,207.00,-2.00
63,National Life Insurance Co. Ltd.,25,2995.00,2921.00,2960.00,4340.00,12845630.00,2977.00,-17.00
64,Naya Sarathi Laghubitta Bittiya Sanstha Limited,1,1590.00,1590.00,1590.00,10.00,15900.00,1565.00,25.00
65,Nepal Bangladesh Bank Limited,154,725.00,713.00,722.00,67328.00,48453388.00,720.00,2.00
66,Nepal Bank Limited,59,479.00,472.00,473.00,40217.00,19089703.00,481.00,-8.00
67,Nepal Community Development Bank Ltd.,3,291.00,290.00,291.00,2038.00,592058.00,295.00,-4.00
68,Nepal Doorsanchar Company Limited,17,670.00,648.00,662.00,6595.00,4377910.00,660.00,2.00
69,Nepal Insurance Co. Ltd.,10,960.00,949.00,960.00,2172.00,2067148.00,950.00,10.00
70,Nepal Investment Bank Limited,94,1040.00,1000.00,1028.00,18189.00,18591404.00,1034.00,-6.00
71,Nepal Investment Bank Ltd. Promoter Share,52,900.00,886.00,890.00,28985.00,25824768.00,904.00,-14.00
72,Nepal Life Insurance Co. Ltd.,49,3815.00,3761.00,3796.00,8663.00,32746847.00,3810.00,-14.00
73,Nepal SBI Bank Limited,26,1715.00,1681.00,1715.00,5117.00,8674196.00,1700.00,15.00
74,Nerude Laghubitta Bittiya Sanstha Limited,5,2400.00,2352.00,2352.00,599.00,1418548.00,2395.00,-43.00
75,NIBL Samriddhi Fund 1,2,10.85,10.80,10.85,2000.00,21650.00,10.76,0.09
76,NIC Asia Bank Ltd.,104,750.00,732.00,740.00,29789.00,22086236.00,747.00,-7.00
77,NIDC Capital Markets Ltd.,3,408.00,397.00,408.00,619.00,246588.00,400.00,8.00
78,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,7,2102.00,2090.00,2102.00,621.00,1303376.00,2130.00,-28.00
79,NLG Insurance Company Ltd.,37,1670.00,1580.00,1637.00,3837.00,6198362.00,1601.00,36.00
80,NMB  Microfinance Bittiya Sanstha Ltd.,1,1842.00,1842.00,1842.00,10.00,18420.00,1806.00,36.00
81,NMB Bank Limited,81,670.00,645.00,660.00,20452.00,13457111.00,665.00,-5.00
82,NMB Sulav Investment Fund-1,6,12.70,12.56,12.70,22500.00,284710.00,12.80,-0.10
83,Oriental Hotels Limited,9,550.00,520.00,530.00,520.00,271580.00,530.00,0.00
84,Pokhara Finance Ltd.,1,298.00,298.00,298.00,1000.00,298000.00,300.00,-2.00
85,Prabhu Insurance Ltd.,42,1210.00,1177.00,1190.00,6048.00,7242920.00,1200.00,-10.00
86,Premier Insurance Company (Nepal) Limited,25,1600.00,1569.00,1600.00,5816.00,9247960.00,1576.00,24.00
87,Prime Commercial Bank Ltd.,97,670.00,650.00,662.00,21118.00,13891560.00,661.00,1.00
88,Prime Life Insurance Company Limited,28,1795.00,1731.00,1780.00,6112.00,10869354.00,1800.00,-20.00
89,Professional Diyalo Bikas Bank Ltd.,15,270.00,259.00,259.00,4243.00,1120414.00,269.00,-10.00
90,Progressive Finance Limited,3,170.00,170.00,170.00,800.00,136000.00,170.00,0.00
91,Prudential Insurance Co. Ltd.,21,1160.00,1115.00,1160.00,8918.00,10247275.00,1150.00,10.00
92,Purnima Bikas Bank Ltd.,1,490.00,490.00,490.00,13.00,6370.00,494.00,-4.00
93,Raptibheri Bikas Bank Ltd.,6,270.00,266.00,266.00,262.00,70557.00,270.00,-4.00
94,Reliable Development Bank Limited,11,429.00,410.00,429.00,3290.00,1379208.00,430.00,-1.00
95,Reliance Finance Ltd.,7,257.00,245.00,247.00,1202.00,305283.00,255.00,-8.00
96,Ridi Hydropower Development Company Ltd.,7,392.00,380.00,392.00,626.00,243278.00,394.00,-2.00
97,RMDC Laghubitta Bittiya Sanstha Ltd.,66,1090.00,1040.00,1070.00,14931.00,15745697.00,1055.00,15.00
98,Sagarmatha  Finance Limited,95,401.00,388.00,398.00,26765.00,10620827.00,390.00,8.00
99,Sagarmatha Insurance Co. Ltd.,16,1836.00,1737.00,1833.00,2452.00,4375209.00,1772.00,61.00
100,Sajha Bikas Bank Ltd.,19,275.00,266.00,275.00,603.00,164360.00,271.00,4.00
101,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,40,1980.00,1925.00,1980.00,5072.00,9933430.00,1966.00,14.00
102,Sanima Bank Limited,478,924.00,905.00,915.00,108445.00,99032954.00,914.00,1.00
103,Sanima Mai Hydropower Ltd.,17,898.00,866.00,895.00,1990.00,1754525.00,916.00,-21.00
