S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,5,212.00,207.00,212.00,5579.00,1156467.00,204.00,8.00
2,Agricultural Development Bank Limited,92,490.00,444.00,490.00,20965.00,9876974.00,446.00,44.00
3,Alpine Development Bank Limited,4,138.00,138.00,138.00,90.00,12420.00,136.00,2.00
4,Araniko Development Bank Limited,12,148.00,138.00,148.00,420.00,59670.00,136.00,12.00
5,Arun Valley Hydropower Development Co. Ltd.,25,551.00,539.00,542.00,21023.00,11433272.00,530.00,12.00
6,Asian Life Insurance Co. Limited,5,698.00,681.00,690.00,3546.00,2449808.00,672.00,18.00
7,Bank of Kathmandu Ltd.,75,682.00,630.00,675.00,24352.00,16430624.00,620.00,55.00
8,Business Universal Development Bank Ltd.,2,141.00,139.00,141.00,1236.00,172964.00,137.00,4.00
9,Butwal Power Company Limited,3,1146.00,1102.00,1146.00,455.00,517536.00,1081.00,65.00
10,Chhimek Laghubitta Bittiya Sanstha Limited,1,700.00,700.00,700.00,78.00,54600.00,687.00,13.00
11,Chilime Hydropower Company Limited,10,1591.00,1525.00,1579.00,2136.00,3319529.00,1510.00,69.00
12,Citizen Investment Trust,2,2050.00,2050.00,2050.00,168.00,344400.00,2058.00,-8.00
13,Citizens Bank International Limited,27,476.00,440.00,476.00,6728.00,3152805.00,433.00,43.00
14,Clean Energy Development Bank Limited,10,288.00,268.00,285.00,3560.00,992030.00,263.00,22.00
15,Deprosc Laghubitta Bittiya Sanstha Limited,1,899.00,899.00,899.00,100.00,89900.00,882.00,17.00
16,Deva Bikas Bank Limited,3,128.00,126.00,128.00,837.00,106498.00,124.00,4.00
17,Everest Bank Limited,21,2170.00,2055.00,2100.00,3650.00,7747177.00,2015.00,85.00
18,Everest Finance Ltd.,1,110.00,110.00,110.00,500.00,55000.00,112.00,-2.00
19,Fewa Finance Co. Ltd.,1,265.00,265.00,265.00,934.00,247510.00,260.00,5.00
20,Gandaki Bikas Bank Limited,1,245.00,245.00,245.00,52.00,12740.00,245.00,0.00
21,Gandaki Bikas BankLimited,3,156.00,153.00,156.00,30.00,4650.00,150.00,6.00
22,Garima Bikas Bank Limited,6,267.00,266.00,267.00,722.00,192274.00,262.00,5.00
23,Gaurishankar Development Bank Ltd.,8,144.00,140.00,144.00,2906.00,415774.00,142.00,2.00
24,Grand Bank Nepal Limited,41,326.00,302.00,326.00,19026.00,6176312.00,297.00,29.00
25,Gurans Life Insurance Company Ltd.,8,372.00,358.00,372.00,2340.00,861510.00,351.00,21.00
26,Himalayan Bank Limited,11,904.00,856.00,900.00,1863.00,1620961.00,840.00,60.00
27,Himalayan General Insurance Co. Ltd,5,561.00,540.00,550.00,5090.00,2781150.00,540.00,10.00
28,ICFC Finance Limited,2,228.00,228.00,228.00,217.00,49476.00,224.00,4.00
29,IME General Insurance Ltd.,2,78.00,78.00,78.00,160.00,12480.00,77.00,1.00
30,Infrastructure Development Bank Ltd.,9,106.00,104.00,104.00,2380.00,247888.00,102.00,2.00
31,International Development Bank Ltd,6,99.00,98.00,99.00,802.00,79160.00,97.00,2.00
32,International Leasing & Finance Co. Ltd.,7,205.00,195.00,200.00,5960.00,1185780.00,193.00,7.00
33,Janaki Finance Company Limited,2,232.00,228.00,228.00,240.00,55100.00,232.00,-4.00
34,Janata Bank Nepal Ltd.,20,299.00,277.00,299.00,14595.00,4349116.00,272.00,27.00
35,Jyoti Bikas Bank Limited,14,128.00,122.00,128.00,3650.00,462780.00,120.00,8.00
