S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,1,303.00,303.00,303.00,96.00,29088.00,301.00,2.00
2,Agricultural Development Bank Limited,3,506.00,505.00,505.00,1300.00,656700.00,515.00,-10.00
3,Apex Development Bank Ltd.,9,145.00,141.00,141.00,2949.00,418805.00,141.00,0.00
4,Araniko Development Bank Limited,29,188.00,184.00,186.00,799.00,148813.00,185.00,1.00
5,Arun Valley Hydropower Development Co. Ltd.,102,285.00,271.00,281.00,17432.00,4883396.00,280.00,1.00
6,Asian Life Insurance Co. Limited,12,1194.00,1160.00,1179.00,1586.00,1860180.00,1149.00,30.00
7,Bank of Kathmandu Ltd.,12,615.00,609.00,611.00,5290.00,3230658.00,612.00,-1.00
8,Bhaktapur Finance Co. Ltd.,39,132.00,122.00,130.00,2810.00,350066.00,122.00,8.00
9,Bhargav Bikash Bank Ltd.,2,315.00,315.00,315.00,450.00,141750.00,310.00,5.00
10,Business Universal Development Bank Ltd.,4,290.00,286.00,286.00,1450.00,418700.00,281.00,5.00
11,Butwal Power Company Limited,4,630.00,622.00,625.00,670.00,419040.00,633.00,-8.00
12,Central Finance Co. Ltd.,5,240.00,236.00,240.00,2070.00,496044.00,240.00,0.00
13,Century Commercial Bank Ltd.,34,390.00,387.00,390.00,12000.00,4669092.00,390.00,0.00
14,Chhimek Laghubitta Bittiya Sanstha Limited,6,1540.00,1521.00,1540.00,1529.00,2346553.00,1520.00,20.00
15,Chilime Hydropower Company Limited,77,1497.00,1483.00,1489.00,9292.00,13840178.00,1490.00,-1.00
16,Citizens Bank International Limited,76,710.00,690.00,696.00,18866.00,13187816.00,710.00,-14.00
17,Civil Bank Ltd,22,300.00,295.00,295.00,5539.00,1642421.00,298.00,-3.00
18,Cosmos Development Bank Ltd.,3,323.00,317.00,323.00,93.00,29541.00,311.00,12.00
19,Deprosc Laghubitta Bittiya Sanstha Limited,1,1627.00,1627.00,1627.00,100.00,162700.00,1660.00,-33.00
20,Ekata Bikas Bank Ltd.,46,309.00,300.00,302.00,1489.00,450889.00,300.00,2.00
21,Everest Bank Limited,43,3310.00,3250.00,3252.00,4973.00,16408117.00,3280.00,-28.00
22,Everest Bank Limited Con. Pref.,1,1301.00,1301.00,1301.00,90.00,117090.00,1299.00,2.00
23,Everest Finance Ltd.,1,207.00,207.00,207.00,200.00,41400.00,211.00,-4.00
24,Everest Insurance Co. Ltd.,3,856.00,840.00,856.00,120.00,101040.00,840.00,16.00
25,First Micro Finance Laghubitta Bittiya Sanstha Limited,1,641.00,641.00,641.00,852.00,546132.00,630.00,11.00
26,Gandaki Bikas BankLimited,1,393.00,393.00,393.00,10.00,3930.00,386.00,7.00
27,Global IME Bank Limited,92,557.00,549.00,552.00,24365.00,13432040.00,554.00,-2.00
28,Goodwill Finance Limited,3,222.00,221.00,221.00,889.00,196669.00,225.00,-4.00
29,Guheshowori Merchant Bank & Finance Co. Ltd.,1,238.00,238.00,238.00,51.00,12138.00,235.00,3.00
30,Gurans Life Insurance Company Ltd.,13,616.00,605.00,610.00,3159.00,1926384.00,604.00,6.00
31,Hama Merchant & Finance Ltd.,9,153.00,150.00,150.00,2060.00,311620.00,150.00,0.00
32,Himalayan Bank Limited,7,1370.00,1340.00,1340.00,5753.00,7837785.00,1349.00,-9.00
33,Himalayan Distillery Limited,2,725.00,711.00,711.00,40.00,28720.00,739.00,-28.00
