S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,6,368.00,348.00,368.00,140.00,49780.00,342.00,26.00
2,Agricultural Development Bank Limited,113,426.00,412.00,424.00,36698.00,15343752.00,417.00,7.00
3,Ankhu Khola Jalvidhyut Company Ltd,24,60.00,59.00,59.00,350.00,20740.00,60.00,-1.00
4,Api Power Company Ltd.,122,121.00,113.00,118.00,34742.00,4005701.00,117.00,1.00
5,Arun Kabeli Power Ltd.,30,156.00,141.00,156.00,5658.00,821285.00,149.00,7.00
6,Arun Valley Hydropower Development Co. Ltd.,33,102.00,98.00,101.00,9208.00,911194.00,100.00,1.00
7,Asha Laghubitta Bittiya Sanstha Ltd,46,456.00,431.00,456.00,1665.00,734950.00,439.00,17.00
8,Asian Life Insurance Co. Limited,44,333.00,304.00,333.00,4658.00,1473321.00,309.00,24.00
9,Bank of Kathmandu Ltd.,73,260.00,250.00,260.00,19078.00,4854896.00,253.00,7.00
10,Barun Hydropower Co. Ltd.,8,86.00,82.00,86.00,90.00,7540.00,83.00,3.00
11,Best Finance Company Ltd.,6,90.00,89.00,90.00,508.00,45520.00,91.00,-1.00
12,Butwal Power Company Limited,42,393.00,370.00,390.00,4978.00,1871800.00,380.00,10.00
13,Central Finance Co. Ltd.,4,115.00,112.00,115.00,520.00,59042.00,113.00,2.00
14,Century Commercial Bank Ltd.,97,159.00,156.00,159.00,36979.00,5819234.00,158.00,1.00
15,Chhimek Laghubitta Bittiya Sanstha Limited,43,984.00,945.00,984.00,10497.00,10048045.00,956.00,28.00
16,Chhimek Laghubitta Bittiya Sanstha Limited Promoter,1,470.00,470.00,470.00,8435.00,3964450.00,470.00,0.00
17,Chhyangdi Hydropower Ltd.,2,76.00,75.00,76.00,20.00,1510.00,75.00,1.00
18,Chilime Hydropower Company Limited,18,442.00,430.00,442.00,7921.00,3435769.00,430.00,12.00
19,Citizen Investment Trust,75,2300.00,2245.00,2260.00,3954.00,8972346.00,2280.00,-20.00
20,Citizens Bank International Limited,64,220.00,214.00,220.00,18411.00,3976644.00,215.00,5.00
21,City Express Finance Co. Limited,9,101.00,98.00,98.00,4380.00,436050.00,103.00,-5.00
22,Civil Bank Ltd,92,149.00,143.00,149.00,45951.00,6711177.00,147.00,2.00
23,Civil Laghubitta Bittiya Sanstha Ltd.,16,510.00,490.00,510.00,565.00,281700.00,485.00,25.00
24,Corporate Development Bank Limited,2,116.00,116.00,116.00,400.00,46400.00,116.00,0.00
25,Deprosc Laghubitta Bittiya Sanstha Limited,39,730.00,710.00,730.00,6149.00,4413082.00,724.00,6.00
26,Deva Bikas Bank Limited,27,133.00,129.00,133.00,8711.00,1143482.00,130.00,3.00
27,Dibyashwori Hydropower Ltd.,6,58.00,57.00,58.00,510.00,29320.00,58.00,0.00
28,Everest Bank Limited,69,626.00,601.00,626.00,10507.00,6421487.00,613.00,13.00
29,Everest Insurance Co. Ltd.,12,310.00,300.00,309.00,1051.00,318404.00,304.00,5.00
30,Excel Development Bank Ltd.,3,274.00,272.00,274.00,700.00,190700.00,269.00,5.00
31,Excel Development Bank Ltd. Promoter Share,1,155.00,155.00,155.00,31400.00,4867000.00,155.00,0.00
32,First Micro Finance Laghubitta Bittiya Sanstha Limited,35,387.00,371.00,387.00,6711.00,2532152.00,373.00,14.00
33,Forward Microfinance Laghubitta Bittiya Sanstha Limited,17,1320.00,1284.00,1320.00,1063.00,1379599.00,1300.00,20.00
34,Ganapati Laghubitta Bittiya Sanstha Limited,29,515.00,490.00,511.00,731.00,364465.00,500.00,11.00
35,Gandaki Bikas Bank Limited,23,208.00,203.00,208.00,7786.00,1599987.00,206.00,2.00
36,Garima Bikas Bank Limited,45,216.00,206.00,214.00,14446.00,3024325.00,210.00,4.00
37,Ghalemdi Hydro Limited,17,73.00,71.00,71.00,950.00,68680.00,73.00,-2.00
38,Global IME Laghubitta Bittiya Sanstha Ltd.,2,728.00,714.00,728.00,23.00,16562.00,700.00,28.00
39,Global IME Samunnat Scheme-1,4,7.35,7.30,7.30,9000.00,65980.00,7.45,-0.15
40,Goodwill Finance Limited,9,139.00,136.00,139.00,3851.00,530238.00,140.00,-1.00
