S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agricultural Development Bank Limited,48,319.00,315.00,318.00,9058.00,2864572.00,315.00,3.00
2,Api Power Company Ltd.,23,280.00,270.00,274.00,2576.00,700569.00,270.00,4.00
3,Arun Kabeli Power Ltd.,6,254.00,252.00,254.00,454.00,115057.00,252.00,2.00
4,Arun Valley Hydropower Development Co. Ltd.,18,143.00,139.00,141.00,4731.00,665956.00,143.00,-2.00
5,Bank of Kathmandu Ltd.,25,259.00,256.00,258.00,8689.00,2230790.00,260.00,-2.00
6,Best Finance Company Ltd.,1,101.00,101.00,101.00,50.00,5050.00,100.00,1.00
7,Bhargav Bikash Bank Ltd.,2,135.00,133.00,133.00,120.00,16000.00,135.00,-2.00
8,Bottlers Nepal (Terai) Limited,2,5400.00,5400.00,5400.00,50.00,270000.00,5500.00,-100.00
9,Butwal Power Company Limited,69,440.00,432.00,435.00,5700.00,2484820.00,437.00,-2.00
10,Central Finance Co. Ltd.,11,115.00,112.00,112.00,1367.00,154779.00,113.00,-1.00
11,Century Commercial Bank Ltd.,55,171.00,165.00,166.00,25946.00,4328946.00,166.00,0.00
12,Chhimek Laghubitta Bittiya Sanstha Limited,14,873.00,855.00,858.00,1171.00,1010803.00,868.00,-10.00
13,Chhyangdi Hydropower Ltd.,1,129.00,129.00,129.00,100.00,12900.00,127.00,2.00
14,Chilime Hydropower Company Limited,34,750.00,740.00,740.00,2689.00,1997135.00,747.00,-7.00
15,Citizen Investment Trust,10,2435.00,2416.00,2416.00,535.00,1296085.00,2420.00,-4.00
16,Citizens Bank International Limited,32,227.00,225.00,227.00,9917.00,2245249.00,226.00,1.00
17,Citizens Mutual Fund -1,2,9.27,9.27,9.27,1000.00,9270.00,9.45,-0.18
18,City Express Finance Co. Limited,7,183.00,168.00,168.00,420.00,72900.00,186.00,-18.00
19,Civil Bank Ltd,48,151.00,148.00,149.00,17687.00,2629716.00,150.00,-1.00
20,Civil Laghubitta Bittiya Sanstha Ltd.,1,715.00,715.00,715.00,32.00,22880.00,725.00,-10.00
21,Corporate Development Bank Limited,4,100.00,100.00,100.00,850.00,85000.00,100.00,0.00
22,Deprosc Laghubitta Bittiya Sanstha Limited,8,710.00,702.00,710.00,834.00,589522.00,710.00,0.00
23,Deva Bikas Bank Limited,16,129.00,128.00,129.00,3685.00,475324.00,130.00,-1.00
24,Everest Bank Limited,56,672.00,665.00,672.00,7319.00,4892132.00,662.00,10.00
25,Everest Insurance Co. Ltd.,5,1310.00,1300.00,1310.00,275.00,359250.00,1300.00,10.00
26,First Micro Finance Laghubitta Bittiya Sanstha Limited,39,513.00,508.00,509.00,4984.00,2543624.00,511.00,-2.00
