S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,3,188.00,183.00,188.00,1377.00,253345.00,182.00,6.00
2,Agricultural Development Bank Limited,41,478.00,472.00,478.00,5706.00,2710690.00,477.00,1.00
3,Apex Development Bank Ltd.,3,120.00,118.00,120.00,339.00,40600.00,121.00,-1.00
4,Araniko Development Bank Limited,10,128.00,126.00,128.00,270.00,34280.00,130.00,-2.00
5,Arun Valley Hydropower Development Co. Ltd.,19,478.00,466.00,472.00,4895.00,2301601.00,470.00,2.00
6,Asian Life Insurance Co. Limited,22,908.00,890.00,905.00,2448.00,2207971.00,905.00,0.00
7,Bank of Kathmandu Ltd.,38,555.00,545.00,545.00,7957.00,4365715.00,555.00,-10.00
8,Bhargav Bikash Bank Ltd.,1,110.00,110.00,110.00,110.00,12100.00,109.00,1.00
9,Bhrikuti Vikash Bank Limited,5,153.00,144.00,153.00,50.00,7410.00,142.00,11.00
10,Business Universal Development Bank Ltd.,5,153.00,144.00,144.00,837.00,126981.00,156.00,-12.00
11,Butwal Power Company Limited,5,804.00,790.00,790.00,1009.00,802570.00,789.00,1.00
12,Chilime Hydropower Company Limited,155,1954.00,1932.00,1940.00,17166.00,33351695.00,1943.00,-3.00
13,Citizen Investment Trust,2,3366.00,3365.00,3366.00,96.00,323115.00,3366.00,0.00
14,Citizens Bank International Limited,108,428.00,410.00,410.00,82609.00,34378151.00,425.00,-15.00
15,Clean Energy Development Bank Limited,8,255.00,248.00,250.00,2078.00,521512.00,250.00,0.00
16,Cosmos Development Bank Ltd.,3,193.00,187.00,187.00,42.00,7980.00,196.00,-9.00
17,Country Development Bank Ltd.,5,106.00,106.00,106.00,480.00,50880.00,104.00,2.00
18,Deprosc Laghubitta Bittiya Sanstha Limited,2,981.00,980.00,980.00,136.00,133400.00,980.00,0.00
19,Everest Bank Limited,43,2245.00,2225.00,2225.00,6337.00,14139624.00,2245.00,-20.00
20,Everest Bank Limited Con. Pref.,10,790.00,774.00,775.00,12651.00,9936168.00,759.00,16.00
21,First Micro Finance Laghubitta Bittiya Sanstha Limited,9,650.00,625.00,625.00,2755.00,1757530.00,626.00,-1.00
22,Gandaki Bikas Bank Limited,7,226.00,218.00,226.00,688.00,154210.00,228.00,-2.00
23,Garima Bikas Bank Limited,15,257.00,255.00,257.00,1467.00,375737.00,252.00,5.00
24,Grand Bank Nepal Limited,13,272.00,268.00,270.00,2392.00,645743.00,270.00,0.00
25,Gurans Life Insurance Company Ltd.,33,470.00,455.00,460.00,25653.00,11756391.00,472.00,-12.00
26,Hama Merchant & Finance Ltd.,7,112.00,108.00,108.00,710.00,77730.00,110.00,-2.00
27,Himalayan Bank Limited,3,835.00,820.00,820.00,1013.00,832810.00,835.00,-15.00
28,Himalayan General Insurance Co. Ltd,8,409.00,402.00,408.00,2832.00,1147186.00,400.00,8.00
29,Infrastructure Development Bank Ltd.,31,122.00,118.00,120.00,18150.00,2183449.00,122.00,-2.00
30,Innovative Development Bank Ltd.,3,159.00,153.00,159.00,250.00,39420.00,150.00,9.00
31,International Development Bank Ltd,16,153.00,147.00,151.00,8054.00,1207446.00,149.00,2.00
32,International Leasing & Finance Co. Ltd.,4,225.00,221.00,221.00,2854.00,631886.00,228.00,-7.00
33,Janata Bank Nepal Ltd.,26,284.00,275.00,280.00,8436.00,2350342.00,282.00,-2.00
34,Jebils Finance Ltd.,4,129.00,127.00,129.00,4180.00,538970.00,125.00,4.00
35,Jyoti Bikas Bank Limited,16,148.00,143.00,148.00,4350.00,632600.00,145.00,3.00
36,Kailash Bikas Bank Ltd.,8,352.00,345.00,345.00,2489.00,865668.00,340.00,5.00
37,Kakre Bihar Bikash Bank Ltd,4,214.00,202.00,214.00,40.00,8320.00,199.00,15.00
38,Kalika Laghubitta Bittiya Sanstha Ltd,23,723.00,710.00,715.00,240.00,171090.00,712.00,3.00
39,Kamana Sewa Bikas Bank Limited,7,265.00,261.00,261.00,1280.00,336040.00,260.00,1.00
40,Karnali Development Bank Limited,6,104.00,102.00,104.00,200.00,20450.00,103.00,1.00
41,Kaski Finance Limited,1,166.00,166.00,166.00,69.00,11454.00,164.00,2.00
42,Kasthamandap Development Bank Limited,12,96.00,94.00,95.00,573.00,54520.00,96.00,-1.00
43,Kumari Bank Limited,3,423.00,417.00,423.00,900.00,376200.00,425.00,-2.00
44,Laxmi Bank Limited,5,479.00,471.00,472.00,1799.00,852133.00,470.00,2.00
45,Life Insurance Corporation (Nepal) Limited,28,3030.00,2990.00,3005.00,2747.00,8244500.00,3055.00,-50.00
46,Lumbini Bikas Bank Ltd.,4,111.00,110.00,110.00,310.00,34210.00,113.00,-3.00
47,Lumbini Finance Ltd.,7,200.00,193.00,193.00,1063.00,208972.00,201.00,-8.00
48,Lumbini General Insurance Co. Ltd.,6,346.00,340.00,341.00,909.00,312254.00,350.00,-9.00
49,Machhapuchhre Bank Limited,20,474.00,460.00,463.00,11122.00,5159913.00,472.00,-9.00
50,Mahakali Bikas Bank Limited,6,157.00,150.00,157.00,480.00,73870.00,148.00,9.00
51,Mahalaxmi BikasBank Limited,10,169.00,157.00,169.00,1526.00,248432.00,154.00,15.00
52,Manaslu Bikas Bank Ltd.,2,130.00,130.00,130.00,91.00,11830.00,129.00,1.00
53,Matribhumi Development Bank Ltd.,5,165.00,153.00,165.00,538.00,84678.00,150.00,15.00
54,Mega  Bank Nepal Ltd.,46,408.00,396.00,401.00,5725.00,2292137.00,405.00,-4.00
55,Miteri Development Bank Limited,2,400.00,400.00,400.00,85.00,34000.00,408.00,-8.00
56,Muktinath Bikas Bank Ltd.,9,566.00,548.00,548.00,1489.00,820692.00,555.00,-7.00
57,Nabil Balance Fund 1,10,11.95,11.80,11.95,32110.00,382836.00,11.90,0.05
58,Nabil Bank Limited,8,1991.00,1970.00,1990.00,606.00,1199619.00,1995.00,-5.00
59,NABIL Bank Limited Promotor Share,5,1291.00,1285.00,1289.00,1020.00,1313580.00,1292.00,-3.00
60,Narayani National Finance Limited,1,210.00,210.00,210.00,784.00,164640.00,214.00,-4.00
61,National Hydro Power Company Limited,18,139.00,134.00,135.00,19620.00,2661160.00,137.00,-2.00
62,National Life Insurance Co. Ltd.,47,2721.00,2670.00,2670.00,10228.00,27601290.00,2710.00,-40.00
63,Naya Sarathi Laghubitta Bittiya Sanstha Limited,6,696.00,645.00,696.00,415.00,278391.00,633.00,63.00
64,Nepal Bangladesh Bank Limited,23,601.00,592.00,592.00,3585.00,2140815.00,601.00,-9.00
65,Nepal Bank Limited,32,319.00,310.00,318.00,93779.00,29198569.00,318.00,0.00
66,Nepal Community Development Bank Ltd.,5,162.00,159.00,159.00,957.00,153660.00,165.00,-6.00
67,Nepal Credit And Commercial Bank Limited,27,426.00,420.00,425.00,12119.00,5107315.00,424.00,1.00
68,Nepal Doorsanchar Company Limited,8,660.00,655.00,655.00,1620.00,1062900.00,670.00,-15.00
69,Nepal Insurance Co. Ltd.,2,843.00,835.00,835.00,392.00,327648.00,840.00,-5.00
70,Nepal Investment Bank Limited,12,850.00,840.00,842.00,2609.00,2202703.00,855.00,-13.00
71,Nepal Life Insurance Co. Ltd.,13,5200.00,5150.00,5150.00,922.00,4765936.00,5200.00,-50.00
72,Nepal SBI Bank Limited,18,1001.00,993.00,997.00,5021.00,5010819.00,995.00,2.00
73,NIC Asia Bank Ltd.,32,736.00,720.00,724.00,4591.00,3325101.00,736.00,-12.00
74,Nilgiri Bikas Bank Limited,1,193.00,193.00,193.00,100.00,19300.00,195.00,-2.00
75,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,3,1010.00,991.00,1010.00,335.00,334731.00,1020.00,-10.00
76,NLG Insurance Company Ltd.,14,780.00,761.00,761.00,294.00,228068.00,780.00,-19.00
77,NMB Bank Limited,17,395.00,387.00,390.00,3280.00,1277751.00,395.00,-5.00
78,Om Development Bank Ltd.,13,394.00,367.00,370.00,1104.00,417394.00,382.00,-12.00
79,Om Finance Ltd.,1,334.00,334.00,334.00,50.00,16700.00,328.00,6.00
80,Oriental Hotels Limited,34,690.00,622.00,690.00,6910.00,4493350.00,631.00,59.00
81,Pokhara Finance Ltd.,2,197.00,194.00,197.00,60.00,11700.00,191.00,6.00
82,Prime Commercial Bank Ltd.,27,475.00,461.00,468.00,4004.00,1865959.00,470.00,-2.00
83,Prime Life Insurance Company Limited,30,770.00,755.00,766.00,12772.00,9695886.00,759.00,7.00
84,Professional Diyalo Bikas Bank Ltd.,36,130.00,125.00,126.00,560.00,71640.00,131.00,-5.00
85,Prudential Finance Company Limited,1,102.00,102.00,102.00,1466.00,149532.00,102.00,0.00
86,Prudential Insurance Co. Ltd.,8,402.00,394.00,395.00,423.00,167779.00,396.00,-1.00
87,Purnima Bikas Bank Ltd.,4,234.00,230.00,232.00,192.00,44600.00,230.00,2.00
88,Rising Development Bank Ltd.,13,193.00,185.00,186.00,2536.00,477419.00,184.00,2.00
89,RMDC Laghubitta Bittiya Sanstha Ltd.,28,870.00,832.00,840.00,5897.00,5000804.00,875.00,-35.00
90,Sagarmatha Insurance Co. Ltd.,6,1245.00,1225.00,1245.00,703.00,866440.00,1225.00,20.00
91,Sahayogi Bikas Bank Limited,3,487.00,469.00,487.00,237.00,113196.00,460.00,27.00
92,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,17,1200.00,1180.00,1200.00,1615.00,1930923.00,1220.00,-20.00
93,Sanima Bank Limited,12,470.00,461.00,466.00,3563.00,1648363.00,469.00,-3.00
94,Sanima Mai Hydropower Ltd.,132,689.00,663.00,670.00,8958.00,6094816.00,685.00,-15.00
95,Sewa Bikas Bank Limited,29,245.00,237.00,244.00,691.00,168293.00,250.00,-6.00
