S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,11% NIC Asia Debenture 082/83,1,1000.00,1000.00,1000.00,75.00,75000.00,1000.00,0.00
2,12 % Goodwill Finance Limited Debenture 2083,2,1091.00,1091.00,1091.00,170.00,185470.00,1091.00,0.00
3,12% ICFC Finance Limited Debenture 2083,2,1091.00,1090.00,1090.00,190.00,207125.00,1095.00,-5.00
4,8.5% Sanima Debenture 2087,2,874.00,874.00,874.00,50.00,43700.00,873.10,0.90
5,9.5% Manjushree Finance Limited Debenture 2085,1,900.00,900.00,900.00,25.00,22500.00,911.70,-11.70
6,9.5% NCC Debenture 2086,4,955.00,955.00,955.00,125.00,119375.00,960.00,-5.00
7,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,71,1413.00,1390.00,1399.00,2242.00,3129714.10,1413.00,-14.00
8,Agricultural Development Bank Limited,322,405.00,398.00,402.00,27798.00,11132799.40,399.00,3.00
9,Ajod Insurance Limited,94,700.00,677.10,688.00,4577.00,3143287.00,690.00,-2.00
10,Ankhu Khola Jalvidhyut Company Ltd,266,313.00,306.00,310.00,37422.00,11591741.10,306.00,4.00
11,Api Power Company Ltd.,899,524.50,513.00,524.00,182696.00,95047001.90,512.50,11.50
12,Arun Kabeli Power Ltd.,421,545.00,529.00,544.00,58823.00,31851248.80,538.00,6.00
13,Arun Valley Hydropower Development Co. Ltd.,798,552.90,540.00,550.00,186119.00,101822762.80,541.00,9.00
14,Asha Laghubitta Bittiya Sanstha Ltd,43,1521.00,1490.00,1520.00,1284.00,1932446.10,1505.00,15.00
15,Asian Life Insurance Co. Limited,118,900.00,883.00,894.00,6564.00,5852543.50,890.00,4.00
16,Bank of Kathmandu Ltd.,189,275.00,271.00,275.00,22471.00,6124240.30,272.00,3.00
17,Barun Hydropower Co. Ltd.,258,550.00,513.00,532.00,39279.00,20907853.20,513.60,18.40
18,Best Finance Company Ltd.,94,479.00,466.10,469.00,9350.00,4403662.50,465.30,3.70
19,Bishal Bazar Company Limited,25,4750.00,4625.00,4750.00,450.00,2107375.00,4650.00,100.00
20,Bottlers Nepal (Terai) Limited,26,14002.00,13622.00,14000.00,771.00,10754825.00,13815.00,185.00
21,Buddha Bhumi Nepal Hydropower Company Limited,451,675.00,620.00,667.00,20037.00,13230859.50,625.00,42.00
22,Butwal Power Company Limited,310,449.30,422.70,438.50,59864.00,25874169.00,427.80,10.70
23,CEDB Hydropower Development Company Limited,231,1000.00,967.10,986.00,15750.00,15542097.60,967.00,19.00
24,Central Finance Co. Ltd.,172,464.90,451.10,460.50,20590.00,9477743.50,455.00,5.50
25,Century Commercial Bank Ltd.,252,240.90,232.00,237.60,60556.00,14356751.10,232.00,5.60
26,Chandragiri Hills Limited,77,1399.90,1375.00,1383.00,3150.00,4376740.00,1375.00,8.00
27,Chhimek Laghubitta Bittiya Sanstha Limited,178,1299.00,1275.00,1280.00,7286.00,9330231.50,1278.00,2.00
28,Chhyangdi Hydropower Ltd.,202,501.00,471.00,490.00,27320.00,13393281.90,480.00,10.00
29,Chilime Hydropower Company Limited,167,520.00,500.00,515.00,22051.00,11148866.10,499.90,15.10
30,Citizen Investment Trust,132,3190.00,3150.00,3190.00,4273.00,13548470.20,3150.00,40.00
31,Citizens Bank International Limited,268,281.00,274.00,279.00,45058.00,12496423.10,276.00,3.00
32,Citizens Mutual Fund -1,4,10.00,9.88,10.00,600.00,5968.00,9.89,0.11
33,CITIZENS MUTUAL FUND 2,14,10.30,10.10,10.12,33000.00,334192.00,10.10,0.02
34,Civil Bank Ltd,310,250.00,238.50,245.90,65280.00,15927573.20,238.50,7.40
35,Civil Laghubitta Bittiya Sanstha Ltd.,81,1025.00,983.00,1020.00,5101.00,5110681.20,1003.00,17.00
36,Corporate Development Bank Limited,21,546.00,530.00,530.00,970.00,521130.50,538.00,-8.00
37,Deprosc Laghubitta Bittiya Sanstha Limited,130,1205.00,1190.00,1193.00,6160.00,7376102.70,1190.00,3.00
38,Dibyashwori Hydropower Ltd.,243,325.00,301.00,316.50,42073.00,13228884.60,306.00,10.50
39,Everest Bank Limited,143,578.00,551.50,578.00,23725.00,13360988.90,562.00,16.00
40,Everest Insurance Co. Ltd.,28,670.00,657.00,670.00,23972.00,15782288.00,657.00,13.00
41,Everest Insurance Co. Ltd. Promoter Share,8,483.00,455.70,483.00,366.00,170458.90,474.40,8.60
42,Excel Development Bank Ltd.,145,524.00,500.00,505.00,19233.00,9675419.30,505.00,0.00
43,First Micro Finance Laghubitta Bittiya Sanstha Limited,118,864.20,821.00,827.50,9403.00,7807009.00,814.50,13.00
44,Forward Microfinance Laghubitta Bittiya Sanstha Limited,88,2360.90,2311.00,2338.00,2677.00,6255189.00,2318.00,20.00
45,Ganapati Laghubitta Bittiya Sanstha Limited,17,1258.00,1230.00,1255.00,352.00,439990.00,1230.00,25.00
46,Garima Bikas Bank Limited,186,570.00,564.00,567.00,23688.00,13438934.30,563.20,3.80
47,General Insurance Company Nepal Ltd,86,610.00,587.00,605.00,1865.00,1109487.00,598.90,6.10
48,Ghalemdi Hydro Limited,146,334.00,325.00,330.00,19969.00,6593277.50,325.00,5.00
49,Global IME Bank Limited,340,336.00,330.00,333.00,33171.00,11022711.50,331.00,2.00
50,Global IME Laghubitta Bittiya Sanstha Ltd.,40,1672.00,1585.10,1640.00,1426.00,2334046.20,1610.00,30.00
51,Global IME Samunnat Scheme-1,21,11.80,11.72,11.75,54700.00,642105.50,11.72,0.03
52,Goodwill Finance Limited,47,649.90,641.00,644.10,5026.00,3238831.90,638.20,5.90
53,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,164,975.00,935.90,948.00,11641.00,11021964.50,963.00,-15.00
54,Green Development Bank Ltd.,44,349.90,344.00,345.00,3616.00,1248916.40,343.00,2.00
55,GreenLife Hydropower Limited,164,472.00,448.90,470.90,3413.00,1584656.50,458.00,12.90
56,Guheshowori Merchant Bank & Finance Co. Ltd.,90,446.70,431.00,439.00,14202.00,6182093.00,438.00,1.00
57,Gurans Laghubitta Bittiya Sanstha Limited,96,1430.00,1320.00,1430.00,3342.00,4652848.00,1304.10,125.90
58,Gurans Life Insurance Company Ltd.,116,650.00,622.30,625.10,77447.00,48699304.50,626.00,-0.90
59,Gurkhas Finance Ltd.,433,710.00,670.00,691.00,47132.00,32392295.50,671.00,20.00
60,Himal Dolakha Hydropower Company Limited,263,337.50,328.00,336.00,68400.00,22801615.40,330.00,6.00
61,Himalaya Urja Bikas Company Limited,37,514.00,495.00,504.20,3345.00,1692644.90,495.00,9.20
