S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agricultural Development Bank Limited,21,645.00,630.00,638.00,2964.00,1899283.00,642.00,-4.00
2,Alpine Development Bank Limited,2,458.00,458.00,458.00,150.00,68700.00,450.00,8.00
3,Api Power Company Ltd.,31,590.00,579.00,585.00,2132.00,1240759.00,590.00,-5.00
4,Arun Valley Hydropower Development Co. Ltd.,19,320.00,312.00,318.00,2273.00,717671.00,314.00,4.00
5,Asian Life Insurance Co. Limited,3,1720.00,1712.00,1712.00,272.00,466536.00,1740.00,-28.00
6,Bank of Kathmandu Ltd.,205,729.00,714.00,719.00,45651.00,32855530.00,718.00,1.00
7,Barun Hydropower Co. Ltd.,10,392.00,382.00,385.00,100.00,38650.00,388.00,-3.00
8,Butwal Power Company Limited,7,800.00,790.00,790.00,1080.00,857000.00,795.00,-5.00
9,Century Commercial Bank Ltd.,51,462.00,453.00,460.00,9681.00,4433408.00,451.00,9.00
10,Chhimek Laghubitta Bittiya Sanstha Limited,49,1960.00,1885.00,1960.00,6363.00,12178055.00,1850.00,110.00
11,Chilime Hydropower Company Limited,48,1250.00,1230.00,1250.00,8215.00,10197203.00,1235.00,15.00
12,Citizen Investment Trust,7,4600.00,4565.00,4565.00,217.00,995890.00,4600.00,-35.00
13,Citizens Bank International Limited,78,568.00,550.00,559.00,11565.00,6501695.00,556.00,3.00
14,Civil Bank Ltd,6,336.00,312.00,336.00,10204.00,3369960.00,306.00,30.00
15,Civil Laghubitta Bittiya Sanstha Ltd.,4,1040.00,1020.00,1030.00,40.00,41300.00,1040.00,-10.00
16,Deprosc Laghubitta Bittiya Sanstha Limited,8,2770.00,2675.00,2770.00,2600.00,6998250.00,2719.00,51.00
17,Deva Bikas Bank Limited,22,380.00,368.00,368.00,7068.00,2630426.00,380.00,-12.00
18,Everest Bank Limited,48,3600.00,3550.00,3573.00,5858.00,20926651.00,3556.00,17.00
19,Everest Insurance Co. Ltd.,3,2050.00,2035.00,2035.00,285.00,580950.00,2035.00,0.00
20,Excel Development Bank Ltd.,5,685.00,680.00,685.00,5300.00,3628400.00,680.00,5.00
21,First Micro Finance Laghubitta Bittiya Sanstha Limited,5,1400.00,1370.00,1370.00,500.00,688800.00,1387.00,-17.00
22,Global IME Bank Limited,56,501.00,490.00,496.00,15285.00,7593840.00,494.00,2.00
