S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Prabhu Bank Debenture 2084,1,1031.00,1031.00,1031.00,25.00,25775.00,1031.00,0.00
2,10% Sanima Bank Limited Debenture,1,1035.00,1035.00,1035.00,25.00,25875.00,1035.00,0.00
3,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,1,1025.00,1025.00,1025.00,25.00,25625.00,1030.00,-5.00
4,10.25% Sunrise Bank Debenture 2083,2,1060.00,1058.00,1060.00,200.00,211800.00,1065.00,-5.00
5,10.5 % NEPAL INVESTMENT DEBENTURE 2082,1,1070.00,1070.00,1070.00,300.00,321000.00,1090.00,-20.00
6,11% NIC Asia Debenture 082/83,1,1135.00,1135.00,1135.00,25.00,28375.00,1135.00,0.00
7,Agricultural Development Bank Limited,551,555.00,538.00,552.00,136826.00,74716586.00,535.00,17.00
8,Ajod Insurance Limited,467,663.00,637.00,662.00,9506.00,6218716.00,649.00,13.00
9,Ankhu Khola Jalvidhyut Company Ltd,152,139.00,131.00,136.00,6030.00,815870.00,141.00,-5.00
10,Api Power Company Ltd.,257,265.00,249.00,252.00,92834.00,23300208.00,253.00,-1.00
11,Arun Kabeli Power Ltd.,175,276.00,270.00,270.00,43275.00,11718001.00,278.00,-8.00
12,Arun Valley Hydropower Development Co. Ltd.,180,237.00,231.00,232.00,57797.00,13447159.00,234.00,-2.00
13,Asha Laghubitta Bittiya Sanstha Ltd,110,912.00,880.00,897.00,4781.00,4288792.00,899.00,-2.00
14,Asian Life Insurance Co. Limited,269,895.00,874.00,893.00,72325.00,63967792.00,862.00,31.00
15,Bank of Kathmandu Ltd.,240,254.00,246.00,254.00,73857.00,18526262.00,245.00,9.00
16,Barun Hydropower Co. Ltd.,91,197.00,190.00,196.00,14535.00,2810540.00,193.00,3.00
17,Best Finance Company Ltd.,32,134.00,130.00,130.00,5512.00,724424.00,130.00,0.00
18,Bishal Bazar Company Limited,19,2958.00,2852.00,2898.00,250.00,723290.00,2900.00,-2.00
19,Bottlers Nepal (Terai) Limited,27,8700.00,8401.00,8500.00,500.00,4248450.00,8690.00,-190.00
20,Butwal Power Company Limited,236,459.00,445.00,452.00,44494.00,20049718.00,450.00,2.00
21,Central Finance Co. Ltd.,13,164.00,161.00,161.00,2016.00,324956.00,164.00,-3.00
22,Century Commercial Bank Ltd.,464,213.00,202.00,210.00,135062.00,27873290.00,203.00,7.00
23,Century Commercial Bank Ltd. Promoter Share,2,112.00,112.00,112.00,81000.00,9072000.00,112.00,0.00
24,Chhimek Laghubitta Bittiya Sanstha Limited,254,1429.00,1388.00,1426.00,27061.00,38222012.00,1390.00,36.00
25,Chhyangdi Hydropower Ltd.,57,156.00,150.00,152.00,4033.00,612974.00,153.00,-1.00
26,Chilime Hydropower Company Limited,894,640.00,620.00,627.00,243368.00,152815825.00,622.00,5.00
27,Citizen Investment Trust,491,5000.00,4825.00,4995.00,20432.00,100757759.00,4820.00,175.00
28,Citizens Bank International Limited,412,242.00,231.00,239.00,113267.00,26731000.00,231.00,8.00
29,Citizens Mutual Fund -1,21,10.10,9.79,10.08,40400.00,405508.00,9.60,0.48
30,CITIZENS MUTUAL FUND 2,14,10.00,9.55,10.00,17300.00,167216.00,9.57,0.43
31,Civil Bank Ltd,373,189.00,174.00,185.00,134903.00,24353999.00,177.00,8.00
32,Civil Laghubitta Bittiya Sanstha Ltd.,66,739.00,725.00,735.00,2840.00,2079539.00,732.00,3.00
33,Corporate Development Bank Limited,42,219.00,207.00,215.00,4840.00,1045640.00,211.00,4.00
34,Deprosc Laghubitta Bittiya Sanstha Limited,264,1383.00,1349.00,1360.00,31486.00,42786532.00,1334.00,26.00
35,Dibyashwori Hydropower Ltd.,70,113.00,110.00,110.00,10954.00,1211877.00,113.00,-3.00
36,Everest Bank Limited,350,710.00,688.00,709.00,67817.00,47400090.00,686.00,23.00
37,Everest Bank Limited Con. Pref.,2,635.00,620.00,635.00,196.00,124310.00,623.00,12.00
38,Everest Insurance Co. Ltd.,83,564.00,546.00,558.00,10995.00,6088176.00,554.00,4.00
39,Everest Insurance Co. Ltd. Promoter Share,14,257.00,250.00,257.00,2653.00,674925.00,252.00,5.00
40,Excel Development Bank Ltd.,36,376.00,352.00,358.00,8333.00,2962174.00,352.00,6.00
41,First Micro Finance Laghubitta Bittiya Sanstha Limited,91,590.00,575.00,590.00,10520.00,6171717.00,585.00,5.00
42,Forward Microfinance Laghubitta Bittiya Sanstha Limited,122,2010.00,1960.00,1981.00,5028.00,9929145.00,1960.00,21.00
43,Ganapati Laghubitta Bittiya Sanstha Limited,51,884.00,843.00,884.00,780.00,668464.00,850.00,34.00
44,Garima Bikas Bank Limited,473,285.00,272.00,284.00,129591.00,36203103.00,271.00,13.00
45,General Insurance Company Nepal Ltd,521,574.00,562.00,572.00,8180.00,4660145.00,572.00,0.00
46,Ghalemdi Hydro Limited,91,122.00,120.00,122.00,3215.00,387595.00,122.00,0.00
47,Global IME Bank Limited,761,339.00,329.00,336.00,171383.00,57135095.00,329.00,7.00
48,Global IME Laghubitta Bittiya Sanstha Ltd.,68,1481.00,1446.00,1481.00,5155.00,7571427.00,1467.00,14.00
49,Global IME Samunnat Scheme-1,16,11.16,10.93,11.15,71133.00,790933.95,11.11,0.04
50,Goodwill Finance Limited,53,206.00,200.00,205.00,18231.00,3684645.00,205.00,0.00
51,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,141,613.00,591.00,604.00,16723.00,10067113.00,600.00,4.00
52,Green Development Bank Ltd.,42,156.00,151.00,152.00,5700.00,870040.00,153.00,-1.00
53,Guheshowori Merchant Bank & Finance Co. Ltd.,58,210.00,204.00,206.00,18581.00,3834911.00,200.00,6.00
54,Gurans Laghubitta Bittiya Sanstha Limited,31,789.00,770.00,782.00,744.00,581440.00,775.00,7.00
55,Gurans Life Insurance Company Ltd.,184,630.00,618.00,627.00,30728.00,19165535.00,618.00,9.00
56,Gurkhas Finance Ltd.,57,204.00,194.00,203.00,20657.00,4142105.00,196.00,7.00
57,Himal Dolakha Hydropower Company Limited,219,140.00,136.00,139.00,78757.00,10894646.00,139.00,0.00
58,Himalaya Urja Bikas Company Limited,154,211.00,199.00,211.00,7928.00,1630176.00,207.00,4.00
59,Himalayan Bank Limited,150,665.00,645.00,665.00,20122.00,13152381.00,653.00,12.00
60,Himalayan Distillery Limited,997,4445.00,4079.00,4415.00,70994.00,306582077.00,4045.00,370.00
61,Himalayan General Insurance Co. Ltd,139,631.00,590.00,603.00,26188.00,15651713.00,601.00,2.00
62,Himalayan Power Partner Ltd.,171,245.00,225.00,241.00,7902.00,1879690.00,241.00,0.00
63,Hydorelectricity Investment and Development Company Ltd,419,291.00,280.00,284.00,111216.00,31456076.00,284.00,0.00
64,ICFC Finance Limited,51,292.00,287.00,290.00,10936.00,3171348.00,286.00,4.00
65,IME General Insurance Ltd.,83,625.00,601.00,606.00,15247.00,9278826.00,611.00,-5.00
66,Infinity Laghubitta Bittiya Sanstha Limited,129,1008.00,966.00,1008.00,4545.00,4491590.00,979.00,29.00
67,Janaki Finance Company Limited,31,244.00,237.00,244.00,4142.00,994620.00,240.00,4.00
68,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,38,1640.00,1580.00,1632.00,1695.00,2723288.00,1578.00,54.00
69,Joshi Hydropower Development Company Ltd,165,120.00,116.00,118.00,14208.00,1676680.00,118.00,0.00
70,Jyoti Bikas Bank Limited,198,237.00,222.00,228.00,62164.00,13993058.00,226.00,2.00
71,Kalika Laghubitta Bittiya Sanstha Ltd,118,805.00,781.00,796.00,8531.00,6756518.00,785.00,11.00
72,Kalika power Company Ltd,207,215.00,211.00,215.00,5810.00,1233220.00,215.00,0.00
73,Kamana Sewa Bikas Bank Limited,132,228.00,223.00,227.00,44357.00,9962005.00,227.00,0.00
74,Karnali Development Bank Limited,38,141.00,136.00,141.00,4783.00,662244.00,139.00,2.00
75,Khanikhola Hydropower Co. Ltd.,77,114.00,111.00,112.00,2408.00,269828.00,112.00,0.00
76,Kisan Lagubitta Bittiya Sanstha Limited,28,1081.00,1046.00,1053.00,1328.00,1400113.00,1060.00,-7.00
77,Kumari Bank Limited,537,242.00,229.00,239.00,221280.00,51428490.00,231.00,8.00
78,Laxmi Bank Limited,135,284.00,273.00,283.00,31397.00,8785833.00,277.00,6.00
79,Laxmi Equity Fund,4,9.55,9.51,9.51,5000.00,47590.00,9.55,-0.04
80,Laxmi Laghubitta Bittiya Sanstha Ltd.,67,1439.00,1369.00,1428.00,5190.00,7305834.00,1366.00,62.00
81,Laxmi Unnati Kosh,15,9.46,9.20,9.45,6200.00,58249.00,9.31,0.14
82,Liberty Energy Company Limited,626,260.00,237.00,242.00,53662.00,13193217.00,242.00,0.00
83,Life Insurance Corporation (Nepal) Limited,226,1985.00,1900.00,1972.00,26671.00,51980860.00,1879.00,93.00
84,Lumbini Bikas Bank Ltd.,151,227.00,222.00,226.00,38738.00,8711966.00,222.00,4.00
85,Lumbini General Insurance Co. Ltd.,104,605.00,590.00,605.00,16900.00,10114382.00,600.00,5.00
86,Machhapuchhre Bank Limited,246,246.00,235.00,246.00,76154.00,18386982.00,237.00,9.00
87,Mahalaxmi Bikas Bank Ltd.,120,248.00,242.00,245.00,23475.00,5777837.00,242.00,3.00
88,Mahalxmi Bikas Bank Ltd. Promotor Share,1,109.00,109.00,109.00,20000.00,2180000.00,109.00,0.00
89,Mahila Sahayatra Microfinance Bittiya Sanstha Ltd.,27,891.00,855.00,872.00,913.00,802355.00,871.00,1.00
90,Mahuli Laghubitta Bittiya Sanstha Limited,8,984.00,895.00,984.00,225.00,214704.00,895.00,89.00
91,Manjushree Finance Ltd.,98,399.00,394.00,396.00,30169.00,11931123.00,395.00,1.00
92,Mega  Bank Nepal Ltd.,539,268.00,255.00,268.00,177695.00,46515881.00,256.00,12.00
93,Mero Microfinance Bittiya Sanstha Ltd.,119,899.00,866.00,879.00,9207.00,8040017.00,860.00,19.00
94,Mirmire Microfinance Development Bank Ltd.,54,926.00,904.00,923.00,3483.00,3182350.00,908.00,15.00
95,Miteri Development Bank Limited,43,401.00,385.00,392.00,4837.00,1875327.00,382.00,10.00
96,Mithila LaghuBitta Bittiya Sanstha Limited,31,1120.00,1091.00,1120.00,2264.00,2513336.00,1078.00,42.00
97,Mountain Hydro Nepal Limited,109,214.00,201.00,209.00,7555.00,1562065.00,211.00,-2.00
98,Muktinath Bikas Bank Ltd.,214,396.00,376.00,384.00,36240.00,13859731.00,378.00,6.00
99,Muktinath Bikas Bank Ltd. Promoter Share,9,182.00,182.00,182.00,117022.00,21298004.00,185.00,-3.00
100,Multipurpose Finance Company  Limited,40,162.00,158.00,162.00,18586.00,2974524.00,159.00,3.00
101,NABIL BALANCED FUND-2,22,9.75,9.50,9.61,22200.00,213687.00,9.67,-0.06
102,Nabil Bank Limited,791,1165.00,1064.00,1159.00,110589.00,126540741.00,1120.00,39.00
103,Nabil Equity Fund,32,9.95,9.85,9.95,81635.00,806854.74,9.85,0.10
104,Nadep Laghubittiya bittya Sanstha Ltd.,116,1005.00,928.00,968.00,5704.00,5429178.00,944.00,24.00
105,Narayani Development Bank Limited,58,481.00,446.00,481.00,5450.00,2604600.00,438.00,43.00
106,National Hydro Power Company Limited,159,124.00,119.00,123.00,151484.00,18347627.00,122.00,1.00
107,National Life Insurance Co. Ltd.,244,1000.00,974.00,995.00,77274.00,76095920.00,990.00,5.00
108,National Microfinance Laghubitta Bittiya Sanstha Limited,58,1830.00,1774.00,1827.00,1720.00,3088003.00,1792.00,35.00
109,Naya Sarathi Laghubitta Bittiya Sanstha Limited,34,918.00,900.00,915.00,2069.00,1879951.00,883.00,32.00
110,Neco Insurance Limited,421,1199.00,1118.00,1185.00,77443.00,90852211.00,1160.00,25.00
111,Nepal Bangladesh Bank Limited,552,280.00,261.00,278.00,146173.00,39525181.00,260.00,18.00
112,Nepal Bank Limited,560,403.00,395.00,402.00,291284.00,116343462.00,394.00,8.00
113,Nepal Credit And Commercial Bank Limited,523,300.00,285.00,295.00,248328.00,72364476.00,286.00,9.00
114,Nepal Doorsanchar Company Limited,456,1201.00,1157.00,1189.00,121756.00,143541990.00,1180.00,9.00
115,Nepal Finance Ltd.,12,237.00,226.00,230.00,555.00,127240.00,230.00,0.00
116,Nepal Insurance Co. Ltd.,115,654.00,633.00,648.00,27869.00,17837932.00,644.00,4.00
117,Nepal Investment Bank Limited,386,484.00,470.00,481.00,83327.00,39964988.00,476.00,5.00
118,Nepal Investment Bank Ltd. Promoter Share,46,437.00,420.00,437.00,23849.00,10124990.00,426.00,11.00
119,Nepal Life Insurance Co. Ltd.,2832,2045.00,1901.00,2035.00,336101.00,670172421.00,1900.00,135.00
120,Nepal Reinsurance Company Limited,2297,1571.00,1522.00,1548.00,232349.00,359456468.00,1549.00,-1.00
121,Nepal SBI Bank Limited,124,427.00,412.00,424.00,26947.00,11336383.00,420.00,4.00
122,Nerude Laghubitta Bittiya Sanstha Limited,77,975.00,931.00,975.00,10836.00,10438135.00,949.00,26.00
123,Ngadi Group Power Ltd.,92,255.00,241.00,248.00,14975.00,3669405.00,247.00,1.00
124,NIBL Pragati Fund,31,10.15,9.96,10.15,41687.00,420199.84,10.05,0.10
