S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,3,110.00,108.00,108.00,929.00,100932.00,108.00,0.00
2,Agricultural Development Bank Limited,34,204.00,200.00,204.00,2193.00,443437.00,203.00,1.00
3,Alpine Development Bank Limited,11,88.00,81.00,83.00,250.00,20950.00,88.00,-5.00
4,Arun Valley Hydropower Development Co. Ltd.,4,279.00,270.00,270.00,356.00,97137.00,279.00,-9.00
5,Asian Life Insurance Co. Limited,12,235.00,222.00,235.00,688.00,156611.00,238.00,-3.00
6,Axis Development Bank Limited,6,77.00,76.00,77.00,319.00,24379.00,76.00,1.00
7,Bank of Kathmandu Ltd.,63,556.00,540.00,540.00,9356.00,5104121.00,556.00,-16.00
8,Bhrikuti Vikash Bank Limited,2,155.00,155.00,155.00,200.00,31000.00,163.00,-8.00
9,Bottlers Nepal (Terai) Limited,2,1315.00,1315.00,1315.00,202.00,265630.00,1305.00,10.00
10,Butwal Power Company Limited,4,776.00,775.00,775.00,406.00,314846.00,789.00,-14.00
11,Chhimek Laghubitta Bittiya Sanstha Limited,1,437.00,437.00,437.00,53.00,23161.00,437.00,0.00
12,Chilime Hydropower Company Limited,26,1139.00,1130.00,1139.00,2543.00,2883310.00,1130.00,9.00
13,Citizen Investment Trust,4,1535.00,1500.00,1535.00,141.00,213640.00,1515.00,20.00
14,Citizens Bank International Limited,16,246.00,243.00,244.00,1646.00,402126.00,246.00,-2.00
15,Civil Bank Ltd,78,149.00,145.00,145.00,11256.00,1648142.00,147.00,-2.00
16,Clean Energy Development Bank Limited,10,147.00,143.00,147.00,2806.00,411300.00,147.00,0.00
17,Commerz and Trust Bank Nepal Ltd.,161,143.00,142.00,142.00,15145.00,2151919.00,143.00,-1.00
18,Country Development Bank Ltd.,8,75.00,75.00,75.00,160.00,12000.00,76.00,-1.00
19,Everest Bank Limited,24,1526.00,1522.00,1525.00,2522.00,3845343.00,1524.00,1.00
20,First Micro Finance Laghubitta Bittiya Sanstha Limited,1,145.00,145.00,145.00,2925.00,424125.00,146.00,-1.00
21,Gandaki Bikas Bank Limited,6,127.00,125.00,125.00,450.00,57090.00,125.00,0.00
22,Garima Bikas Bank Limited,8,175.00,172.00,172.00,1796.00,313858.00,172.00,0.00
23,Gaurishankar Development Bank Ltd.,30,76.00,71.00,73.00,359.00,26761.00,76.00,-3.00
24,Grand Bank Nepal Limited,18,174.00,167.00,174.00,2789.00,474018.00,173.00,1.00
25,Himalayan Bank Limited,4,700.00,690.00,700.00,327.00,227370.00,706.00,-6.00
26,IME General Insurance Ltd.,16,45.86,42.12,42.50,1350.00,57495.00,46.80,-4.30
27,International Leasing & Finance Co. Ltd.,63,136.00,127.00,134.00,24945.00,3292722.00,125.00,9.00
28,Janata Bank Nepal Ltd.,25,163.00,159.00,161.00,6334.00,1013761.00,163.00,-2.00
29,Jyoti Bikas Bank Limited,11,78.00,76.00,77.00,1490.00,114610.00,77.00,0.00
30,Kailash Bikas Bank Ltd.,4,157.00,149.00,157.00,447.00,69568.00,147.00,10.00
31,Kamana Sewa Bikas Bank Limited,3,125.00,124.00,124.00,110.00,13670.00,125.00,-1.00
32,Kanchan Development Bank Limited,4,114.00,110.00,114.00,3570.00,406580.00,108.00,6.00
33,Karnali Development Bank Limited,6,54.00,53.00,54.00,180.00,9660.00,55.00,-1.00
34,Kumari Bank Limited Promotor Share,1,100.00,100.00,100.00,64152.00,6415200.00,100.00,0.00
35,Laxmi Bank Limited,5,307.00,303.00,306.00,2485.00,758272.00,305.00,1.00
36,Life Insurance Corporation (Nepal) Limited,5,1185.00,1175.00,1177.00,712.00,839570.00,1170.00,7.00
37,Lumbini Bank Limited,12,184.00,182.00,183.00,3421.00,625736.00,184.00,-1.00
38,Lumbini General Insurance Co. Ltd.,1,118.00,118.00,118.00,100.00,11800.00,119.00,-1.00
39,Machhapuchhre Bank Limited,3,193.00,187.00,193.00,167.00,31601.00,190.00,3.00
40,Manjushree Finance Ltd.,1,110.00,110.00,110.00,37.00,4070.00,112.00,-2.00
41,Metro Development Bank Limited,4,128.00,127.00,127.00,200.00,25436.00,129.00,-2.00
42,Muktinath Bikas Bank Ltd.,4,266.00,265.00,266.00,340.00,90200.00,267.00,-1.00
43,Nabil Balance Fund 1,27,10.13,10.00,10.05,85203.00,857184.00,10.15,-0.10
44,Nabil Bank Limited,16,1722.00,1706.00,1721.00,1715.00,2938499.00,1719.00,2.00
45,National Life Insurance Co. Ltd.,3,550.00,550.00,550.00,205.00,112750.00,541.00,9.00
46,Nava Durga Finance Co. Ltd.,1,92.00,92.00,92.00,60.00,5520.00,91.00,1.00
47,Nepal Bangladesh Bank Limited,31,301.00,294.00,301.00,11215.00,3322225.00,298.00,3.00
48,Nepal Bank Limited,3,165.00,162.00,162.00,271.00,44055.00,163.00,-1.00
49,Nepal Credit And Commercial Bank Limited,19,214.00,210.00,214.00,12937.00,2756058.00,211.00,3.00
50,Nepal Doorsanchar Company Limited,13,522.00,518.00,520.00,2330.00,1209635.00,523.00,-3.00
51,Nepal Investment Bank Limited,7,718.00,707.00,715.00,3044.00,2155542.00,721.00,-6.00
52,Nepal Life Insurance Co. Ltd.,10,1318.00,1305.00,1318.00,1422.00,1862906.00,1305.00,13.00
53,Nepal SBI Bank Limited,10,813.00,806.00,813.00,1415.00,1147559.00,811.00,2.00
54,Nerude Laghubitta Bittiya Sanstha Limited,2,327.00,326.00,327.00,104.00,33958.00,325.00,2.00
55,NMB Bank Limited,10,242.00,240.00,241.00,1767.00,426394.00,242.00,-1.00
56,Om Development Bank Ltd.,13,173.00,169.00,171.00,519.00,88574.00,168.00,3.00
57,Om Finance Ltd.,1,194.00,194.00,194.00,10.00,1940.00,194.00,0.00
58,Oriental Hotels Limited,4,149.00,147.00,149.00,1170.00,174110.00,150.00,-1.00
59,Prime Commercial Bank Ltd.,30,318.00,315.00,315.00,3335.00,1056999.00,318.00,-3.00
60,Prime Commercial Bank Promoter Share,2,162.00,162.00,162.00,13048.00,2113776.00,162.00,0.00
61,Prime Life Insurance Company Limited,3,253.00,250.00,250.00,152.00,38060.00,252.00,-2.00
62,Purnima Bikas Bank Ltd.,7,73.00,72.00,73.00,230.00,16610.00,73.00,0.00
63,Reliable Development Bank Limited,5,119.00,118.00,118.00,2339.00,276809.00,118.00,0.00
64,Sagarmatha Insurance Co. Ltd.,6,575.00,572.00,575.00,232.00,132998.00,1165.00,-590.00
65,Sanima Bank Limited,8,245.00,241.00,245.00,1785.00,435016.00,244.00,1.00
66,Seti Finance Limited,16,96.00,96.00,96.00,320.00,30720.00,96.00,0.00
67,Sewa Bikas Bank Limited,9,104.00,100.00,102.00,465.00,47400.00,101.00,1.00
68,Siddhartha Bank Limited,5,288.00,285.00,288.00,922.00,264269.00,290.00,-2.00
69,Siddhartha Investment Growth Scheme-1,7,10.15,10.13,10.14,17200.00,174430.00,10.25,-0.11
70,Society Development Bank Ltd.,2,49.00,49.00,49.00,603.00,29547.00,49.00,0.00
71,Standard Chartered Bank Limited,5,1820.00,1800.00,1800.00,257.00,463005.00,1810.00,-10.00
72,Subha Laxmi Finance Co. Ltd.,18,81.00,79.00,80.00,1650.00,133190.00,78.00,2.00
73,Subhechha Bikas Bank Limited,2,107.00,106.00,106.00,201.00,21335.00,109.00,-3.00
74,Sunrise Bank Limited,12,213.00,205.00,213.00,1267.00,267137.00,213.00,0.00
75,Supreme Development Bank Ltd.,4,71.00,70.00,70.00,439.00,30974.00,71.00,-1.00
76,Surya Life Insurance Company Limited,17,166.00,161.00,161.00,976.00,158064.00,163.00,-2.00
77,Swarojgar Laghu Bitta Bikas Bank Ltd.,5,153.00,153.00,153.00,50.00,7650.00,0.00,153.00
78,Taragaon Regency Hotel Limited,4,124.00,122.00,124.00,40.00,4920.00,122.00,2.00
79,Unique Finance Ltd.,1,74.00,74.00,74.00,10.00,740.00,75.00,-1.00
80,Western Development Bank Limited,3,72.00,71.00,71.00,40.00,2860.00,73.00,-2.00
