S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agricultural Development Bank Limited,44,458.00,436.00,450.00,11183.00,5051656.00,444.00,6.00
2,Api Power Company Ltd.,19,571.00,560.00,561.00,453.00,254911.00,555.00,6.00
3,Arun Kabeli Power Ltd.,53,351.00,335.00,351.00,6572.00,2243730.00,329.00,22.00
4,Arun Valley Hydropower Development Co. Ltd.,10,219.00,214.00,217.00,1121.00,241743.00,217.00,0.00
5,Asian Life Insurance Co. Limited,5,1577.00,1535.00,1535.00,119.00,183925.00,1549.00,-14.00
6,Bank of Kathmandu Ltd.,49,458.00,447.00,447.00,8055.00,3652957.00,450.00,-3.00
7,Barun Hydropower Co. Ltd.,11,222.00,213.00,220.00,1065.00,233080.00,209.00,11.00
8,Bhargav Bikash Bank Ltd.,7,284.00,279.00,279.00,400.00,111950.00,279.00,0.00
9,Bishal Bazar Company Limited,4,2198.00,2113.00,2198.00,40.00,86220.00,2200.00,-2.00
10,Butwal Power Company Limited,13,645.00,620.00,644.00,38450.00,23902980.00,642.00,2.00
11,Central Finance Co. Ltd.,15,195.00,190.00,192.00,4663.00,895461.00,191.00,1.00
12,Century Commercial Bank Ltd.,47,234.00,228.00,228.00,10179.00,2343299.00,230.00,-2.00
13,Chhimek Laghubitta Bittiya Sanstha Limited,110,1479.00,1443.00,1445.00,10352.00,15022491.00,1450.00,-5.00
14,Chhyangdi Hydropower Ltd.,3,199.00,196.00,199.00,56.00,11054.00,196.00,3.00
15,Chilime Hydropower Company Limited,286,928.00,902.00,906.00,53361.00,48673796.00,901.00,5.00
16,Citizen Investment Trust,17,3820.00,3700.00,3800.00,1226.00,4636510.00,3769.00,31.00
17,Citizens Bank International Limited,67,322.00,308.00,315.00,12918.00,4073069.00,308.00,7.00
18,Civil Bank Ltd,162,250.00,238.00,242.00,44153.00,10740125.00,240.00,2.00
19,Deprosc Laghubitta Bittiya Sanstha Limited,6,1274.00,1250.00,1250.00,424.00,532186.00,1250.00,0.00
20,Deva Bikas Bank Limited,18,263.00,257.00,259.00,6497.00,1696931.00,262.00,-3.00
21,Dibyashwori Hydropower Ltd.,9,158.00,152.00,158.00,95.00,14793.00,155.00,3.00
22,Everest Bank Limited,31,1265.00,1245.00,1245.00,2343.00,2938645.00,1241.00,4.00
23,Everest Insurance Co. Ltd.,6,2690.00,2678.00,2678.00,380.00,1019730.00,2650.00,28.00
24,Excel Development Bank Ltd.,12,496.00,489.00,490.00,3195.00,1570089.00,487.00,3.00
25,First Micro Finance Laghubitta Bittiya Sanstha Limited,43,877.00,843.00,860.00,3762.00,3251881.00,840.00,20.00
26,Forward Microfinance Laghubitta Bittiya Sanstha Limited,11,3645.00,3601.00,3625.00,466.00,1682662.00,3645.00,-20.00
27,Gandaki Bikas Bank Limited,13,366.00,362.00,365.00,3302.00,1202480.00,363.00,2.00
28,Garima Bikas Bank Limited,12,272.00,267.00,269.00,2068.00,555464.00,272.00,-3.00
29,Global IME Bank Limited,59,399.00,387.00,392.00,13174.00,5151543.00,387.00,5.00
30,Global IME Laghubitta Bittiya Sanstha Ltd.,3,1900.00,1880.00,1880.00,32.00,60580.00,1888.00,-8.00
31,Global IME Samunnat Scheme-1,4,10.25,10.15,10.15,34645.00,352446.75,10.25,-0.10
32,Goodwill Finance Limited,5,190.00,186.00,186.00,1100.00,205840.00,186.00,0.00
33,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,10,727.00,700.00,713.00,2945.00,2102705.00,714.00,-1.00
34,Green Development Bank Ltd.,5,530.00,525.00,530.00,54.00,28440.00,535.00,-5.00
35,Guheshowori Merchant Bank & Finance Co. Ltd.,1,204.00,204.00,204.00,100.00,20400.00,200.00,4.00
36,Gurans Life Insurance Company Ltd.,13,1091.00,1055.00,1055.00,580.00,617200.00,1070.00,-15.00
37,Gurkhas Finance Ltd.,3,186.00,186.00,186.00,100.00,18600.00,183.00,3.00
38,Hamro Bikas Bank Ltd.,2,200.00,197.00,197.00,1500.00,297000.00,197.00,0.00
39,Hathway Finance Company Limited,1,163.00,163.00,163.00,40.00,6520.00,165.00,-2.00
40,Himalayan Bank Limited,19,900.00,880.00,890.00,2146.00,1908969.00,886.00,4.00
41,Himalayan General Insurance Co. Ltd,6,753.00,751.00,751.00,1150.00,864250.00,760.00,-9.00
42,Himalayan Power Partner Ltd.,57,384.00,368.00,370.00,2500.00,933550.00,375.00,-5.00
43,Hydorelectricity Investment and Development Company Ltd,28,186.00,180.00,183.00,5530.00,1008001.00,183.00,0.00
44,ICFC Finance Limited,9,240.00,236.00,239.00,1999.00,475056.00,236.00,3.00
45,IME General Insurance Ltd.,13,1201.00,1170.00,1170.00,942.00,1116762.00,1179.00,-9.00
46,Janata Bank Nepal Ltd.,63,265.00,257.00,261.00,26055.00,6812657.00,261.00,0.00
47,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,10,3890.00,3820.00,3820.00,118.00,458320.00,3850.00,-30.00
48,Jebils Finance Ltd.,4,146.00,140.00,146.00,1221.00,174956.00,138.00,8.00
49,Jyoti Bikas Bank Limited,9,198.00,193.00,193.00,1704.00,329982.00,196.00,-3.00
50,Kailash Bikas Bank Ltd.,20,298.00,292.00,298.00,4896.00,1445587.00,292.00,6.00
51,Kalika Laghubitta Bittiya Sanstha Ltd,5,2050.00,2005.00,2005.00,153.00,309050.00,2028.00,-23.00
52,Kamana Sewa Bikas Bank Limited,27,223.00,217.00,218.00,4750.00,1039752.00,217.00,1.00
53,Kanchan Development Bank Limited,1,227.00,227.00,227.00,12.00,2724.00,230.00,-3.00
54,Karnali Development Bank Limited,2,281.00,280.00,280.00,500.00,140200.00,280.00,0.00
55,Khanikhola Hydropower Co. Ltd.,3,163.00,160.00,160.00,174.00,28284.00,159.00,1.00
56,Kisan Lagubitta Bittiya Sanstha Limited,6,2538.00,2500.00,2500.00,256.00,641260.00,2489.00,11.00
57,Kumari Bank Limited,71,320.00,310.00,315.00,18570.00,5842053.00,310.00,5.00
58,Laxmi Bank Limited,39,338.00,325.00,333.00,5971.00,1982205.00,331.00,2.00
59,Laxmi Equity Fund,5,10.20,10.09,10.20,11000.00,111280.00,10.11,0.09
60,Laxmi Value Fund-1,1,11.83,11.83,11.83,300.00,3549.00,11.67,0.16
61,Life Insurance Corporation (Nepal) Limited,16,2159.00,2110.00,2120.00,1624.00,3464908.00,2104.00,16.00
62,Lumbini Bikas Bank Ltd.,14,220.00,214.00,216.00,4072.00,883444.00,218.00,-2.00
63,Lumbini General Insurance Co. Ltd.,33,907.00,876.00,876.00,4282.00,3808455.00,886.00,-10.00
64,Machhapuchhre Bank Limited,64,335.00,321.00,324.00,14917.00,4891413.00,323.00,1.00
65,Mahalaxmi Bikas Bank Ltd.,28,231.00,225.00,227.00,8875.00,2015735.00,227.00,0.00
66,Manjushree Finance Ltd.,9,152.00,147.00,147.00,1805.00,271705.00,151.00,-4.00
67,Mero Microfinance Bittiya Sanstha Ltd.,22,1695.00,1665.00,1665.00,152.00,254487.00,1665.00,0.00
68,Mission Development Bank Ltd.,7,301.00,300.00,300.00,1273.00,382000.00,306.00,-6.00
69,Miteri Development Bank Limited,6,540.00,535.00,535.00,953.00,510548.00,528.00,7.00
70,Mithila LaghuBitta Bittiya Sanstha Limited,5,1205.00,1182.00,1205.00,221.00,263526.00,1205.00,0.00
71,Muktinath Bikas Bank Ltd.,23,635.00,623.00,635.00,4609.00,2900633.00,619.00,16.00
