S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,3,241.00,237.00,237.00,1392.00,330565.00,245.00,-8.00
2,Agricultural Development Bank Limited,13,434.00,430.00,432.00,1563.00,674415.00,440.00,-8.00
3,Alpine Development Bank Limited,6,314.00,308.00,308.00,413.00,127877.00,310.00,-2.00
4,Apex Development Bank Ltd.,29,133.00,126.00,129.00,9989.00,1280912.00,131.00,-2.00
5,Araniko Development Bank Limited,2,195.00,193.00,195.00,301.00,58135.00,191.00,4.00
6,Arun Valley Hydropower Development Co. Ltd.,16,347.00,340.00,346.00,3665.00,1253920.00,350.00,-4.00
7,Asian Life Insurance Co. Limited,7,1155.00,1143.00,1143.00,571.00,656021.00,1169.00,-26.00
8,Bhargav Bikash Bank Ltd.,4,270.00,265.00,270.00,340.00,91200.00,270.00,0.00
9,Biratlaxmi Bikas Bank Limited,5,323.00,320.00,323.00,862.00,276740.00,319.00,4.00
10,Business Universal Development Bank Ltd.,1,209.00,209.00,209.00,49.00,10241.00,205.00,4.00
11,Butwal Power Company Limited,2,601.00,600.00,601.00,700.00,420200.00,600.00,1.00
12,Central Finance Co. Ltd.,5,194.00,191.00,191.00,1184.00,228674.00,196.00,-5.00
13,Century Commercial Bank Ltd.,32,316.00,307.00,313.00,10229.00,3173691.00,310.00,3.00
14,Chhimek Laghubitta Bittiya Sanstha Limited,5,1540.00,1535.00,1535.00,671.00,1031890.00,1555.00,-20.00
15,Chilime Hydropower Company Limited,42,1610.00,1589.00,1593.00,5154.00,8210840.00,1604.00,-11.00
16,Citizens Bank International Limited,19,461.00,454.00,456.00,4267.00,1950512.00,460.00,-4.00
17,Civil Bank Ltd,19,290.00,278.00,290.00,3831.00,1088235.00,283.00,7.00
18,Cosmos Development Bank Ltd.,2,357.00,353.00,357.00,87.00,30995.00,360.00,-3.00
19,Country Development Bank Ltd.,1,172.00,172.00,172.00,20.00,3440.00,169.00,3.00
20,Deprosc Laghubitta Bittiya Sanstha Limited,2,1220.00,1219.00,1219.00,333.00,406060.00,1232.00,-13.00
21,Ekata Bikas Bank Ltd.,8,292.00,289.00,289.00,623.00,181268.00,292.00,-3.00
22,Everest Bank Limited,24,2140.00,2120.00,2133.00,4219.00,8974173.00,2131.00,2.00
23,Everest Bank Limited Con. Pref.,1,1044.00,1044.00,1044.00,180.00,187920.00,1065.00,-21.00
24,Everest Insurance Co. Ltd.,2,841.00,825.00,841.00,353.00,292825.00,840.00,1.00
25,First Micro Finance Laghubitta Bittiya Sanstha Limited,1,627.00,627.00,627.00,200.00,125400.00,639.00,-12.00
26,Gandaki Bikas BankLimited,4,326.00,320.00,320.00,470.00,151360.00,320.00,0.00
27,Garima Bikas Bank Limited,6,318.00,305.00,305.00,1785.00,553098.00,323.00,-18.00
28,Global IME Bank Limited,1,460.00,460.00,460.00,166.00,76360.00,464.00,-4.00
29,Gurans Life Insurance Company Ltd.,6,510.00,506.00,509.00,344.00,175244.00,520.00,-11.00
30,Hamro Bikas Bank Ltd.,1,249.00,249.00,249.00,21.00,5229.00,253.00,-4.00
31,Himalayan Bank Limited,6,838.00,822.00,830.00,974.00,804630.00,838.00,-8.00
32,Himalayan Distillery Limited,1,638.00,638.00,638.00,110.00,70180.00,630.00,8.00
33,ICFC Finance Limited,2,267.00,267.00,267.00,79.00,21093.00,262.00,5.00
34,Infrastructure Development Bank Ltd.,16,182.00,174.00,179.00,6332.00,1125580.00,179.00,0.00
35,Innovative Development Bank Ltd.,2,408.00,408.00,408.00,135.00,55080.00,400.00,8.00
36,Janaki Finance Company Limited,1,400.00,400.00,400.00,345.00,138000.00,397.00,3.00
37,Janata Bank Nepal Ltd.,9,272.00,267.00,267.00,1717.00,462933.00,271.00,-4.00
38,Jyoti Bikas Bank Limited,20,164.00,157.00,162.00,1240.00,197629.00,164.00,-2.00
39,Kailash Bikas Bank Ltd.,2,378.00,375.00,375.00,142.00,53286.00,380.00,-5.00
40,Kalika Laghubitta Bittiya Sanstha Ltd,9,1030.00,1016.00,1022.00,616.00,630366.00,1045.00,-23.00
41,Kalinchowk Development Bank Ltd.,16,249.00,233.00,233.00,1784.00,420967.00,254.00,-21.00
42,Kamana Sewa Bikas Bank Limited,14,335.00,324.00,331.00,491.00,162542.00,330.00,1.00
43,Kankai Bikas Bank Ltd.,1,296.00,296.00,296.00,10.00,2960.00,302.00,-6.00
44,Kaski Finance Limited,7,228.00,222.00,228.00,609.00,137946.00,224.00,4.00
45,Kasthamandap Development Bank Limited,16,156.00,150.00,154.00,929.00,141821.00,156.00,-2.00
46,Kumari Bank Limited,19,385.00,377.00,380.00,5164.00,1964962.00,380.00,0.00
