S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,2,123.00,121.00,123.00,151.00,18413.00,123.00,0.00
2,Agricultural Development Bank Limited,38,249.00,242.00,243.00,6464.00,1584602.00,250.00,-7.00
3,Alpine Development Bank Limited,4,92.00,91.00,91.00,210.00,19230.00,93.00,-2.00
4,Arun Valley Hydropower Development Co. Ltd.,5,311.00,305.00,310.00,2108.00,648950.00,305.00,5.00
5,Bank of Kathmandu Ltd.,27,670.00,656.00,670.00,4431.00,2943062.00,666.00,4.00
6,Bhrikuti Bikash Bank Limited Promoter Share,4,110.00,110.00,110.00,16152.00,1776720.00,120.00,-10.00
7,Business Universal Development Bank Ltd.,2,102.00,100.00,100.00,570.00,57040.00,100.00,0.00
8,Chhimek Laghubitta Bittiya Sanstha Limited,3,396.00,389.00,390.00,158.00,61776.00,383.00,7.00
9,Chilime Hydropower Company Limited,27,1085.00,1071.00,1085.00,3546.00,3810506.00,1079.00,6.00
10,Citizen Investment Trust,24,1420.00,1322.00,1340.00,1083.00,1449458.00,1448.00,-108.00
11,Citizens Bank International Limited,30,263.00,256.00,261.00,6033.00,1562601.00,261.00,0.00
12,Clean Energy Development Bank Limited,3,165.00,163.00,163.00,136.00,22304.00,165.00,-2.00
13,Country Development Bank Ltd.,11,68.00,64.00,66.00,410.00,26780.00,67.00,-1.00
14,Deprosc Laghubitta Bittiya Sanstha Limited,1,304.00,304.00,304.00,10.00,3040.00,310.00,-6.00
15,Everest Bank Limited,24,1389.00,1365.00,1365.00,3166.00,4341731.00,1380.00,-15.00
16,Everest Bank Limited Con. Pref.,3,781.00,775.00,781.00,100.00,77812.00,766.00,15.00
17,Gandaki Bikas Bank Limited,5,131.00,129.00,130.00,580.00,75730.00,133.00,-3.00
18,Gaurishankar Development Bank Ltd.,8,82.00,79.00,82.00,121.00,9680.00,78.00,4.00
19,Global IME Bank Limited,54,410.00,402.00,410.00,8533.00,3460616.00,408.00,2.00
20,Grand Bank Nepal Limited,9,200.00,198.00,198.00,1830.00,364731.00,198.00,0.00
21,Gurans Life Insurance Company Ltd.,3,140.00,140.00,140.00,810.00,113400.00,138.00,2.00
22,Himalayan Bank Limited,5,765.00,755.00,765.00,676.00,512950.00,755.00,10.00
23,Infrastructure Development Bank Ltd.,4,77.00,76.00,76.00,289.00,22031.00,77.00,-1.00
24,International Leasing & Finance Co. Ltd.,3,119.00,118.00,118.00,393.00,46482.00,120.00,-2.00
25,Janata Bank Nepal Ltd.,29,169.00,167.00,169.00,5320.00,893060.00,168.00,1.00
26,Jyoti Bikas Bank Limited,47,75.00,72.00,74.00,1940.00,144000.00,74.00,0.00
27,Kamana Sewa Bikas Bank Limited,30,122.00,117.00,122.00,1550.00,183410.00,119.00,3.00
28,Kaski Finance Limited,1,102.00,102.00,102.00,42.00,4284.00,102.00,0.00
29,Kasthamandap Development Bank Limited,5,84.00,83.00,84.00,1481.00,123999.00,84.00,0.00
30,Kumari Bank Limited,2,255.00,250.00,250.00,378.00,94575.00,260.00,-10.00
31,Laxmi Bank Limited,3,341.00,335.00,335.00,2089.00,700349.00,346.00,-11.00
32,Lumbini Bank Limited,9,244.00,239.00,241.00,2884.00,694366.00,244.00,-3.00
33,Lumbini Bikas Bank Ltd.,50,90.00,86.00,88.00,1790.00,156440.00,88.00,0.00
34,Lumbini General Insurance Co. Ltd.,1,100.00,100.00,100.00,20.00,2000.00,102.00,-2.00
35,Machhapuchhre Bank Limited,14,226.00,222.00,226.00,2460.00,551427.00,222.00,4.00
36,Mahalaxmi Bikas Bank Ltd.,16,68.00,65.00,67.00,1480.00,98220.00,67.00,0.00
37,Mahalaxmi BikasBank Limited,9,129.00,125.00,125.00,1542.00,193818.00,127.00,-2.00
38,Miteri Development Bank Limited,1,133.00,133.00,133.00,60.00,7980.00,133.00,0.00
39,Muktinath Bikas Bank Ltd.,2,270.00,270.00,270.00,800.00,216000.00,269.00,1.00
40,Nabil Bank Limited,17,1610.00,1591.00,1605.00,2032.00,3245447.00,1605.00,0.00
41,NABIL Bank Limited Promotor Share,7,1060.00,1020.00,1050.00,3494.00,3668700.00,1000.00,50.00
42,National Life Insurance Co. Ltd.,2,549.00,539.00,539.00,235.00,126965.00,560.00,-21.00
43,Neco Insurance Limited,2,117.00,115.00,117.00,244.00,28260.00,117.00,0.00
44,Nepal Bangladesh Bank Limited,28,242.00,238.00,242.00,9970.00,2383830.00,237.00,5.00
45,Nepal Bank Limited,19,932.00,915.00,924.00,2067.00,1902573.00,930.00,-6.00
46,Nepal Credit And Commercial Bank Limited,27,195.00,184.00,187.00,7180.00,1343690.00,187.00,0.00
47,Nepal Doorsanchar Company Limited,14,655.00,650.00,653.00,1750.00,1139310.00,648.00,5.00
48,Nepal Investment Bank Limited,12,765.00,760.00,760.00,2212.00,1686326.00,760.00,0.00
49,Nepal Life Insurance Co. Ltd.,16,1616.00,1551.00,1616.00,1180.00,1877455.00,1580.00,36.00
50,Nepal SBI Bank Limited,13,817.00,810.00,810.00,4501.00,3651133.00,814.00,-4.00
51,Nerude Laghubitta Bittiya Sanstha Limited,1,322.00,322.00,322.00,28.00,9016.00,328.00,-6.00
52,Nilgiri Bikas Bank Limited,2,150.00,147.00,147.00,20.00,2970.00,153.00,-6.00
53,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,1,230.00,230.00,230.00,30.00,6900.00,226.00,4.00
54,NMB Bank Limited,19,264.00,259.00,259.00,3867.00,1009454.00,259.00,0.00
55,Om Development Bank Ltd.,6,160.00,157.00,160.00,648.00,103614.00,160.00,0.00
56,Oriental Hotels Limited,10,149.00,139.00,149.00,1340.00,194540.00,137.00,12.00
57,Pokhara Finance Ltd.,2,105.00,103.00,103.00,256.00,26680.00,107.00,-4.00
58,Prabhu  Bank Limited,11,140.00,137.00,138.00,1700.00,234680.00,139.00,-1.00
59,Prabhu Insurance Ltd.,3,145.00,141.00,141.00,925.00,133065.00,146.00,-5.00
60,Prime Commercial Bank Ltd.,18,306.00,299.00,303.00,5094.00,1533765.00,309.00,-6.00
61,Prime Life Insurance Company Limited,18,295.00,291.00,294.00,2358.00,691498.00,297.00,-3.00
62,Rastriya Beema Company Limited,3,140.00,138.00,140.00,670.00,93024.00,140.00,0.00
63,Reliable Development Bank Limited,7,133.00,130.00,130.00,267.00,35298.00,132.00,-2.00
64,Sagarmatha Insurance Co. Ltd.,2,798.00,783.00,783.00,74.00,58677.00,800.00,-17.00
65,Sahayogi Bikas Bank Limited,4,290.00,285.00,285.00,1286.00,366610.00,290.00,-5.00
66,Sanima Bank Limited,32,264.00,259.00,260.00,11511.00,3005899.00,260.00,0.00
67,Seti Finance Limited,4,93.00,93.00,93.00,90.00,8370.00,94.00,-1.00
68,Shangrila Development Bank Ltd.,7,127.00,125.00,125.00,670.00,84400.00,128.00,-3.00
69,Shikhar Insurance Co. Ltd.,1,450.00,450.00,450.00,20.00,9000.00,450.00,0.00
70,Siddharth Finance Ltd.,2,128.00,127.00,128.00,453.00,57602.00,129.00,-1.00
71,Siddhartha Bank Limited,10,307.00,303.00,304.00,726.00,221241.00,306.00,-2.00
72,Siddhartha Investment Growth Scheme-1,12,12.48,11.90,12.14,14800.00,177651.00,12.24,-0.10
73,Soaltee Hotel Limited,1,300.00,300.00,300.00,100.00,30000.00,300.00,0.00
74,Society Development Bank Ltd.,20,68.00,65.00,67.00,25814.00,1710580.00,69.00,-2.00
75,Standard Chartered Bank Limited,5,1980.00,1970.00,1980.00,1965.00,3889630.00,1980.00,0.00
76,Subha Laxmi Finance Co. Ltd.,18,70.00,67.00,69.00,470.00,32030.00,68.00,1.00
77,Sunrise Bank Limited,17,179.00,175.00,177.00,2922.00,517720.00,180.00,-3.00
78,Supreme Development Bank Ltd.,16,70.00,68.00,68.00,2282.00,158880.00,70.00,-2.00
79,Surya Life Insurance Company Limited,10,164.00,158.00,164.00,560.00,90690.00,164.00,0.00
80,Swabalamban Laghubitta Bittiya Sanstha Limited,7,341.00,332.00,332.00,1970.00,658026.00,335.00,-3.00
81,Taragaon Regency Hotel Limited,2,89.00,88.00,89.00,20.00,1770.00,87.00,2.00
82,Tourism Development Bank Limited,5,91.00,90.00,91.00,1590.00,143590.00,91.00,0.00
83,Union Finance Co. Ltd.,5,106.00,98.00,98.00,95.00,9702.00,108.00,-10.00
84,Unique Finance Ltd.,17,82.00,80.00,82.00,220.00,17780.00,81.00,1.00
85,Western Development Bank Limited,9,83.00,81.00,83.00,334.00,27478.00,81.00,2.00
86,Zenith Finance Limited,12,95.00,91.00,95.00,746.00,69222.00,92.00,3.00
