S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,11,108.00,105.00,108.00,5187.00,551286.00,107.00,1.00
2,Agricultural Development Bank Limited,38,239.00,225.00,235.00,8468.00,1943122.00,223.00,12.00
3,Arun Valley Hydropower Development Co. Ltd.,11,285.00,275.00,277.00,387.00,107903.00,280.00,-3.00
4,Asian Life Insurance Co. Limited,8,221.00,211.00,221.00,1894.00,416200.00,211.00,10.00
5,Axis Development Bank Limited,17,73.00,69.00,70.00,1204.00,84198.00,74.00,-4.00
6,Bank of Kathmandu Ltd.,21,608.00,600.00,605.00,2874.00,1736636.00,605.00,0.00
7,Bishal Bazar Company Limited,1,1764.00,1764.00,1764.00,10.00,17640.00,1730.00,34.00
8,Business Universal Development Bank Ltd.,3,101.00,100.00,101.00,778.00,77898.00,102.00,-1.00
9,Butwal Power Company Limited,1,770.00,770.00,770.00,100.00,77000.00,765.00,5.00
10,Chhimek Laghubitta Bittiya Sanstha Limited,1,428.00,428.00,428.00,158.00,67624.00,428.00,0.00
11,Chilime Hydropower Company Limited,35,1138.00,1132.00,1137.00,2082.00,2366502.00,1137.00,0.00
12,Citizen Investment Trust,3,1400.00,1375.00,1380.00,318.00,438700.00,1366.00,14.00
13,Citizens Bank International Limited,17,254.00,250.00,253.00,1895.00,477090.00,255.00,-2.00
14,Civil Bank Ltd,93,152.00,150.00,152.00,19123.00,2890121.00,152.00,0.00
15,Clean Energy Development Bank Limited,15,155.00,150.00,153.00,1622.00,245902.00,152.00,1.00
16,Commerz and Trust Bank Nepal Ltd.,236,149.00,142.00,144.00,35474.00,5084143.00,143.00,1.00
17,Country Development Bank Ltd.,5,59.00,59.00,59.00,110.00,6490.00,59.00,0.00
18,Deprosc Laghubitta Bittiya Sanstha Limited,3,346.00,343.00,344.00,1731.00,595234.00,340.00,4.00
19,Everest Bank Limited,28,1559.00,1542.00,1551.00,2425.00,3756302.00,1551.00,0.00
20,Everest Bank Limited Con. Pref.,9,830.00,814.00,814.00,248.00,202368.00,815.00,-1.00
21,Gandaki Bikas Bank Limited,2,131.00,130.00,130.00,120.00,15620.00,129.00,1.00
22,Gaurishankar Development Bank Ltd.,8,70.00,68.00,70.00,88.00,6039.00,68.00,2.00
23,Grand Bank Nepal Limited,9,190.00,183.00,184.00,1823.00,336345.00,184.00,0.00
24,Gulmi Bikas Bank Ltd.,2,139.00,137.00,139.00,102.00,14076.00,135.00,4.00
25,Gurans Life Insurance Company Ltd.,16,158.00,152.00,155.00,2260.00,351560.00,155.00,0.00
26,Hathway Finance Company Limited,8,49.64,45.00,49.64,1240.00,57092.00,45.13,4.51
27,Himalayan Bank Limited,3,730.00,727.00,730.00,486.00,354322.00,725.00,5.00
28,ICFC Finance Limited,1,118.00,118.00,118.00,346.00,40828.00,118.00,0.00
29,International Leasing & Finance Co. Ltd.,8,114.00,108.00,111.00,3901.00,425291.00,116.00,-5.00
