S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Nabil Debenture 2082,1,1035.00,1035.00,1035.00,100.00,103500.00,1015.10,19.90
2,10% Nepal SBI Bank Debenture 2086,1,1045.00,1045.00,1045.00,25.00,26125.00,1047.00,-2.00
3,10% Prabhu Bank Debenture 2084,1,1040.00,1040.00,1040.00,50.00,52000.00,1030.00,10.00
4,10% Sanima Bank Limited Debenture,1,1049.00,1049.00,1049.00,60.00,62940.00,1050.00,-1.00
5,10% Sunrise Debenture 2080,1,1019.00,1019.00,1019.00,25.00,25475.00,1019.00,0.00
6,10.25% NIC Asia Debenture 2083/84,1,1040.00,1040.00,1040.00,500.00,520000.00,1031.10,8.90
7,10.25% SBL Debenture 2083,1,1046.10,1046.10,1046.10,50.00,52305.00,1046.00,0.10
8,10.25% Sunrise Bank Debenture 2083,2,1055.00,1048.00,1048.00,525.00,553700.00,1041.00,7.00
9,10.50% SBL Debenture 2082,1,1050.00,1050.00,1050.00,25.00,26250.00,1040.00,10.00
10,8.5% Sanima Debenture 2087,1,981.00,981.00,981.00,25.00,24525.00,977.00,4.00
11,8.5% SBL Debenture 2084,1,970.10,970.10,970.10,25.00,24252.50,980.00,-9.90
12,9% NIC Asia Debenture 2081/82,3,1006.00,1000.00,1002.00,219.00,219338.00,1000.00,2.00
13,9.5% NCC Debenture 2086,3,1020.00,1015.00,1015.00,180.00,183200.00,1007.00,8.00
14,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,76,1529.90,1490.00,1510.00,2919.00,4408382.00,1510.00,0.00
15,Agricultural Development Bank Limited,402,544.40,530.00,535.00,37797.00,20163896.00,544.00,-9.00
16,Ajod Insurance Limited,169,789.00,767.00,776.00,7532.00,5858401.80,788.00,-12.00
17,Ankhu Khola Jalvidhyut Company Ltd,172,420.00,401.80,402.00,20478.00,8480523.20,410.00,-8.00
18,Api Power Company Ltd.,1291,484.00,465.00,467.00,190334.00,89504023.10,478.00,-11.00
19,Arun Kabeli Power Ltd.,824,603.00,577.30,579.10,109071.00,63948498.70,599.90,-20.80
20,Arun Valley Hydropower Development Co. Ltd.,1525,690.00,661.10,675.00,366120.00,245123638.50,680.10,-5.10
21,Asha Laghubitta Bittiya Sanstha Ltd,41,1800.00,1757.00,1766.00,738.00,1305265.00,1780.00,-14.00
22,Asian Life Insurance Co. Limited,232,1335.00,1299.50,1315.00,54158.00,71266198.50,1345.00,-30.00
23,Bank of Kathmandu Ltd.,507,380.00,365.00,366.10,71024.00,26329841.90,373.00,-6.90
24,Barun Hydropower Co. Ltd.,228,571.00,547.00,563.00,30418.00,16846963.60,572.00,-9.00
25,Best Finance Company Ltd.,359,549.00,515.00,525.00,46940.00,24734165.90,549.00,-24.00
26,Bishal Bazar Company Limited,51,6050.00,5750.00,5760.00,721.00,4224966.00,5950.00,-190.00
27,Bottlers Nepal (Terai) Limited,26,10600.00,10100.10,10100.10,415.00,4280502.00,10600.00,-499.90
28,Butwal Power Company Limited,481,574.80,551.00,557.00,46876.00,26189058.90,575.00,-18.00
29,CEDB Hydropower Development Company Limited,286,1100.00,1070.10,1080.00,10209.00,11081086.50,1109.00,-29.00
30,Central Finance Co. Ltd.,554,690.00,650.00,657.00,79916.00,52782753.40,685.00,-28.00
31,Century Commercial Bank Ltd.,506,268.00,256.80,261.00,66506.00,17278112.70,265.00,-4.00
32,Chandragiri Hills Limited,127,1546.00,1518.00,1518.00,5505.00,8398244.00,1549.00,-31.00
33,Chhimek Laghubitta Bittiya Sanstha Limited,415,1800.00,1767.00,1781.00,20849.00,37007105.70,1796.00,-15.00
34,Chhyangdi Hydropower Ltd.,172,570.00,540.00,545.00,29835.00,16360178.90,570.00,-25.00
35,Chilime Hydropower Company Limited,423,630.00,600.80,609.00,46000.00,27986579.90,623.00,-14.00
36,Citizen Investment Trust,498,3700.00,3617.00,3625.00,18332.00,66647274.20,3710.00,-85.00
37,Citizens Bank International Limited,625,399.50,387.10,390.10,148906.00,58078511.60,398.00,-7.90
38,Citizens Mutual Fund -1,501,15.77,15.10,15.20,1792263.00,27569118.97,15.20,0.00
39,CITIZENS MUTUAL FUND 2,195,15.78,15.40,15.49,699989.00,10848901.28,15.40,0.09
40,Civil Bank Ltd,524,269.00,260.10,264.60,67558.00,17846801.80,268.00,-3.40
41,Civil Laghubitta Bittiya Sanstha Ltd.,166,1488.00,1360.00,1415.00,10940.00,15379605.70,1494.00,-79.00
42,Corporate Development Bank Limited,58,1000.00,980.00,980.00,2953.00,2920491.00,1012.00,-32.00
43,Deprosc Laghubitta Bittiya Sanstha Limited,341,1750.00,1715.00,1722.00,17100.00,29540562.70,1755.00,-33.00
44,Dibyashwori Hydropower Ltd.,153,385.00,362.60,370.10,17225.00,6413552.30,373.00,-2.90
45,Everest Bank Limited,219,730.00,714.00,720.00,30938.00,22301396.40,728.00,-8.00
46,Everest Insurance Co. Ltd.,185,750.00,722.30,722.50,16575.00,12080576.40,757.00,-34.50
47,Excel Development Bank Ltd.,779,1100.00,1020.00,1086.00,91533.00,98164541.80,1000.00,86.00
48,First Micro Finance Laghubitta Bittiya Sanstha Limited,304,1060.00,1015.00,1026.90,32854.00,33767013.00,1052.00,-25.10
49,Forward Microfinance Laghubitta Bittiya Sanstha Limited,143,2824.80,2750.00,2765.00,5143.00,14298390.10,2801.00,-36.00
50,Ganapati Laghubitta Bittiya Sanstha Limited,36,1665.00,1620.00,1621.00,1238.00,2030643.80,1633.00,-12.00
51,Garima Bikas Bank Limited,1010,622.00,598.00,603.00,134106.00,80958088.70,622.00,-19.00
52,General Insurance Company Nepal Ltd,211,700.00,672.00,675.00,9091.00,6205355.40,699.00,-24.00
53,Ghalemdi Hydro Limited,118,445.00,419.00,427.00,15907.00,6835614.20,436.50,-9.50
54,Global IME Bank Limited,1930,445.00,429.00,434.50,246710.00,107265099.70,446.00,-11.50
55,Global IME Laghubitta Bittiya Sanstha Ltd.,123,2300.00,2254.00,2270.00,4601.00,10454551.00,2327.00,-57.00
56,Global IME Samunnat Scheme-1,66,21.92,21.40,21.40,443630.00,9555865.73,21.87,-0.47
57,Goodwill Finance Limited,345,877.00,829.00,829.00,39041.00,32901946.30,877.00,-48.00
58,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,222,1123.00,1090.20,1098.90,21084.00,23203966.50,1114.00,-15.10
59,Green Development Bank Ltd.,138,460.00,440.00,448.00,21820.00,9710465.50,460.00,-12.00
60,GreenLife Hydropower Limited,265,509.00,475.00,500.00,11025.00,5366032.30,490.00,10.00
61,Guheshowori Merchant Bank & Finance Co. Ltd.,283,655.00,620.00,627.00,52887.00,33424752.70,660.00,-33.00
62,Gurans Laghubitta Bittiya Sanstha Limited,30,1716.00,1652.00,1666.10,860.00,1440678.50,1697.00,-30.90
63,Gurans Life Insurance Company Ltd.,185,696.00,671.60,674.00,17903.00,12125107.90,696.00,-22.00
64,Gurkhas Finance Ltd.,174,1173.00,1121.70,1136.00,72033.00,81222152.00,1185.00,-49.00
65,Himal Dolakha Hydropower Company Limited,620,380.00,359.00,367.00,105354.00,38813214.10,376.00,-9.00
66,Himalaya Urja Bikas Company Limited,94,517.10,480.30,485.00,10080.00,4917164.50,507.00,-22.00
67,Himalayan Distillery Limited,654,6900.00,6750.00,6755.00,17026.00,115520001.20,6910.00,-155.00
68,Himalayan General Insurance Co. Ltd,86,747.00,730.00,733.00,8766.00,6431935.90,748.00,-15.00
69,Himalayan Power Partner Ltd.,160,552.40,516.80,532.00,25670.00,13671112.30,538.00,-6.00
70,Hydorelectricity Investment and Development Company Ltd,978,436.50,411.00,415.00,129635.00,54576593.80,428.00,-13.00
71,ICFC Finance Limited,595,969.00,908.10,969.00,94776.00,87923891.20,960.00,9.00
72,IME General Insurance Ltd.,391,1200.00,1126.20,1140.00,41579.00,47583767.20,1190.00,-50.00
73,Infinity Laghubitta Bittiya Sanstha Limited,62,1744.00,1681.00,1695.00,1769.00,3010160.40,1730.00,-35.00
74,Janaki Finance Company Limited,300,734.70,693.50,712.00,45540.00,32459411.60,735.00,-23.00
75,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,21,3370.00,3310.00,3315.10,411.00,1367564.00,3359.90,-44.80
76,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,688,4850.00,4610.00,4660.00,9190.00,42850352.00,4760.00,-100.00
77,Joshi Hydropower Development Company Ltd,114,404.00,387.10,390.00,7595.00,2980756.00,404.00,-14.00
78,Jyoti Bikas Bank Limited,1367,569.00,542.00,545.00,179414.00,98520764.40,564.90,-19.90
79,Jyoti Life Insurance Company Limited,379,700.00,682.10,686.00,7230.00,4977747.00,701.00,-15.00
80,Kalika Laghubitta Bittiya Sanstha Ltd,179,1360.00,1300.00,1347.90,11874.00,15881737.00,1310.00,37.90
81,Kalika power Company Ltd,168,680.00,640.00,670.00,24090.00,15735145.90,682.00,-12.00
82,Kamana Sewa Bikas Bank Limited,961,711.00,675.00,686.00,123551.00,84710749.10,702.00,-16.00
83,Karnali Development Bank Limited,177,534.00,497.30,507.00,23337.00,11913585.90,528.00,-21.00
84,Khanikhola Hydropower Co. Ltd.,264,415.00,390.00,395.00,25687.00,10190748.30,409.70,-14.70
85,Kisan Lagubitta Bittiya Sanstha Limited,27,1530.00,1475.00,1475.00,1007.00,1505490.50,1475.00,0.00
86,Kumari Bank Limited,652,352.00,340.50,345.00,88640.00,30501873.50,352.00,-7.00
87,Kumari Equity Fund,42,10.20,10.00,10.05,36710.00,369911.60,10.29,-0.24
88,Laxmi Bank Limited,310,366.00,354.80,355.20,50338.00,17991261.00,365.00,-9.80
89,Laxmi Equity Fund,47,10.62,10.22,10.22,154350.00,1597810.50,10.40,-0.18
90,Laxmi Laghubitta Bittiya Sanstha Ltd.,69,2206.00,1970.00,2040.00,3441.00,7035242.00,2040.00,0.00
91,Laxmi Unnati Kosh,16,10.66,10.36,10.60,50000.00,528134.00,10.57,0.03
92,Liberty Energy Company Limited,226,430.60,406.70,411.00,21991.00,9165527.10,415.00,-4.00
93,Life Insurance Corporation (Nepal) Limited,295,2120.00,2000.00,2000.00,16586.00,33583009.10,2129.00,-129.00
94,Lumbini Bikas Bank Ltd.,776,628.00,609.10,612.00,142508.00,87637081.60,632.00,-20.00
95,Lumbini General Insurance Co. Ltd.,225,790.00,765.00,770.00,26919.00,20785644.30,790.00,-20.00
96,Machhapuchhre Bank Limited,363,398.00,387.10,391.00,97637.00,38034730.70,398.00,-7.00
97,Mahalaxmi Bikas Bank Ltd.,697,619.00,593.00,597.00,131583.00,79026283.60,619.00,-22.00
98,Mahila Lagubitta Bittiya Sanstha Limited,47,4700.00,4557.00,4615.00,1422.00,6546570.00,4650.00,-35.00
99,Mahuli Laghubitta Bittiya Sanstha Limited,15,2050.00,2020.00,2030.00,353.00,716533.00,2054.40,-24.40
100,Manakamana Smart Laghubitta Bittiya Sanstha Limited,3,566.10,555.00,566.10,20.00,11312.60,555.00,11.10
101,Manjushree Finance Ltd.,534,1212.00,1150.00,1159.00,54685.00,63842844.40,1195.00,-36.00
102,Mega  Bank Nepal Ltd.,850,355.00,343.00,344.00,126971.00,43980874.00,354.00,-10.00
103,Mero Microfinance Bittiya Sanstha Ltd.,120,1500.00,1460.00,1480.00,5441.00,8019809.40,1492.00,-12.00
104,Mirmire Microfinance Development Bank Ltd.,112,1739.00,1700.00,1730.00,6667.00,11370420.90,1739.00,-9.00
105,Miteri Development Bank Limited,255,780.00,746.00,780.00,38523.00,29197484.00,779.00,1.00
106,Mithila LaghuBitta Bittiya Sanstha Limited,56,1900.00,1865.00,1870.00,1909.00,3594271.60,1881.00,-11.00
107,Mountain Energy Nepal Limited,124,1292.00,1240.00,1264.00,3695.00,4626553.00,1268.00,-4.00
108,Mountain Hydro Nepal Limited,179,520.00,490.00,515.80,29743.00,15190548.90,507.00,8.80
109,Muktinath Bikas Bank Ltd.,766,753.00,710.00,710.20,88712.00,63693768.00,741.00,-30.80
110,Multipurpose Finance Company  Limited,91,602.00,577.00,585.00,14019.00,8171180.00,593.00,-8.00
111,NABIL BALANCED FUND-2,199,15.28,14.61,14.88,1102600.00,16516220.50,14.99,-0.11
112,Nabil Bank Limited,927,1430.00,1404.00,1415.00,59583.00,84171412.70,1429.90,-14.90
113,Nabil Equity Fund,328,16.10,15.49,15.70,827842.00,13007869.53,15.23,0.47
114,Narayani Development Bank Limited,95,999.00,936.00,960.00,7366.00,6974621.70,997.40,-37.40
115,National Hydro Power Company Limited,974,429.40,410.00,413.00,190514.00,78968316.30,425.00,-12.00
116,National Life Insurance Co. Ltd.,365,1085.00,1048.70,1049.90,40424.00,42861870.20,1094.10,-44.20
117,National Microfinance Laghubitta Bittiya Sanstha Limited,140,3130.00,2990.00,3010.00,5552.00,16745931.10,3130.00,-120.00
118,Naya Sarathi Laghubitta Bittiya Sanstha Limited,103,1631.00,1558.80,1598.00,6600.00,10556500.50,1656.00,-58.00
119,Neco Insurance Limited,349,1399.00,1359.00,1370.00,29078.00,39881400.90,1408.00,-38.00
