S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,2,123.00,122.00,122.00,162.00,19824.00,125.00,-3.00
2,Agricultural Development Bank Limited,67,142.00,136.00,140.00,4583.00,639992.00,138.00,2.00
3,Alpine Development Bank Limited,1,109.00,109.00,109.00,20.00,2180.00,109.00,0.00
4,Apex Development Bank Ltd.,5,91.00,89.00,90.00,157.00,14026.00,92.00,-2.00
5,Arun Valley Hydropower Development Co. Ltd.,5,285.00,280.00,285.00,375.00,105487.00,281.00,4.00
6,Asian Life Insurance Co. Limited,32,223.00,210.00,213.00,6260.00,1340590.00,211.00,2.00
7,Bank of Asia Nepal Limited,51,232.00,221.00,226.00,7410.00,1667795.00,221.00,5.00
8,Bank of Kathmandu Ltd.,74,627.00,580.00,595.00,8165.00,4763980.00,570.00,25.00
9,Biratlaxmi Bikas Bank Limited,3,151.00,148.00,148.00,176.00,26276.00,154.00,-6.00
10,Butwal Power Company Limited,4,469.00,451.00,462.00,170.00,77490.00,460.00,2.00
11,Chilime Hydropower Company Limited,25,801.00,772.00,780.00,686.00,537166.00,770.00,10.00
12,Citizen Investment Trust,1,620.00,620.00,620.00,48.00,29760.00,618.00,2.00
13,Citizens Bank International Limited,21,226.00,215.00,216.00,2735.00,599206.00,218.00,-2.00
14,Clean Energy Development Bank Limited,1,147.00,147.00,147.00,20.00,2940.00,145.00,2.00
15,Corporate Development Bank Limited,4,104.00,102.00,102.00,240.00,24840.00,104.00,-2.00
16,Country Development Bank Ltd.,38,78.00,73.00,75.00,1700.00,129890.00,75.00,0.00
17,Deva Bikas Bank Limited,9,80.00,77.00,79.00,1781.00,140570.00,76.00,3.00
18,Everest Bank Limited,18,955.00,922.00,929.00,1468.00,1386671.00,908.00,21.00
19,First Micro Finance Laghubitta Bittiya Sanstha Limited,21,155.00,143.00,147.00,2898.00,437702.00,141.00,6.00
20,Garima Bikas Bank Limited,8,143.00,136.00,143.00,290.00,40200.00,137.00,6.00
21,Gaurishankar Development Bank Ltd.,6,77.00,75.00,77.00,66.00,4994.00,74.00,3.00
22,Grand Bank Nepal Limited,34,212.00,200.00,202.00,8471.00,1706545.00,197.00,5.00
23,Gurans Life Insurance Company Ltd.,6,98.00,96.00,97.00,330.00,32240.00,95.00,2.00
24,Hama Merchant & Finance Ltd.,1,236.00,236.00,236.00,40.00,9440.00,248.00,-12.00
25,Hathway Finance Company Limited,2,33.61,33.61,33.61,100.00,3361.00,34.30,-0.69
26,Himalayan Bank Limited,5,590.00,580.00,580.00,379.00,222174.00,576.00,4.00
27,Janaki Finance Company Limited,3,270.00,265.00,270.00,470.00,124800.00,260.00,10.00
28,Jyoti Bikas Bank Limited,17,91.00,88.00,90.00,880.00,79520.00,87.00,3.00
29,Kabeli Bikas Bank Limited,1,132.00,132.00,132.00,20.00,2640.00,132.00,0.00
30,Kamana Sewa Bikas Bank Limited,33,107.00,106.00,107.00,1350.00,143970.00,105.00,2.00
31,Karnali Development Bank Limited,8,59.00,58.00,58.00,440.00,25610.00,60.00,-2.00
32,Kumari Bank Limited,12,225.00,219.00,220.00,1219.00,271975.00,217.00,3.00
33,Kumari Bank Limited Promotor Share,7,95.00,93.00,93.00,80.00,7500.00,96.00,-3.00
34,Laxmi Bank Limited,27,332.00,308.00,308.00,5941.00,1879864.00,308.00,0.00
35,Life Insurance Corporation (Nepal) Limited,3,748.00,742.00,748.00,480.00,358890.00,731.00,17.00
36,Lumbini Bank Limited,8,205.00,200.00,203.00,866.00,175166.00,197.00,6.00
37,Lumbini Finance Ltd.,2,121.00,119.00,119.00,121.00,14441.00,123.00,-4.00
38,Mahalaxmi Bikas Bank Ltd.,3,74.00,74.00,74.00,80.00,5920.00,74.00,0.00
39,Miteri Development Bank Limited,13,145.00,133.00,133.00,660.00,88620.00,147.00,-14.00
40,Muktinath Bikas Bank Ltd.,12,234.00,234.00,234.00,390.00,91260.00,230.00,4.00
41,Nabil Bank Limited,12,1253.00,1200.00,1200.00,602.00,731386.00,1205.00,-5.00
42,National Hydro Power Company Limited,3,60.00,59.00,59.00,3000.00,178000.00,60.00,-1.00
43,National Life Insurance Co. Ltd.,1,560.00,560.00,560.00,36.00,20160.00,553.00,7.00
44,Nepal Credit And Commercial Bank Limited,1,120.00,120.00,120.00,247.00,29640.00,118.00,2.00
45,Nepal Doorsanchar Company Limited,9,467.00,460.00,465.00,1450.00,671160.00,461.00,4.00
46,Nepal Investment Bank Limited,11,485.00,469.00,472.00,1306.00,619966.00,469.00,3.00
47,Nepal Life Insurance Co. Ltd.,2,909.00,909.00,909.00,30.00,27270.00,927.00,-18.00
48,Nepal SBI Bank Limited,4,558.00,554.00,556.00,512.00,284288.00,544.00,12.00
49,NIC Asia Bank Ltd.,35,483.00,455.00,459.00,4609.00,2141988.00,448.00,11.00
50,NIDC Capital Markets Ltd.,1,140.00,140.00,140.00,1578.00,220920.00,139.00,1.00
51,Nilgiri Bikas Bank Limited,9,123.00,121.00,121.00,170.00,20810.00,121.00,0.00
52,NMB Bank Limited,9,200.00,195.00,198.00,3369.00,663883.00,194.00,4.00
53,Om Development Bank Ltd.,1,128.00,128.00,128.00,10.00,1280.00,127.00,1.00
54,Om Finance Ltd.,2,226.00,222.00,222.00,20.00,4480.00,230.00,-8.00
55,Oriental Hotels Limited,3,93.00,92.00,93.00,100.00,9280.00,93.00,0.00
56,Prabhu  Bank Limited,15,125.00,121.00,123.00,3220.00,397660.00,127.00,-4.00
57,Prime Commercial Bank Ltd.,37,236.00,224.00,227.00,5104.00,1169005.00,220.00,7.00
58,Prime Life Insurance Company Limited,4,183.00,177.00,180.00,156.00,27924.00,180.00,0.00
59,Professional Bikas Bank Ltd.,1,87.00,87.00,87.00,1050.00,91350.00,87.00,0.00
60,Public Development Bank Limited,17,74.00,68.00,68.00,700.00,51100.00,75.00,-7.00
61,Purnima Bikas Bank Ltd.,7,162.00,162.00,162.00,370.00,59940.00,170.00,-8.00
62,Rara Bikas Bank Limited,58,75.00,70.00,75.00,1420.00,104090.00,71.00,4.00
63,Rastriya Beema Company Limited,42,149.00,137.00,140.00,5035.00,706819.00,152.00,-12.00
64,Resunga Bikas Bank Limited,2,147.00,147.00,147.00,68.00,9996.00,147.00,0.00
65,Sagarmatha  Finance Limited,1,129.00,129.00,129.00,50.00,6450.00,131.00,-2.00
66,Sagarmatha Insurance Co. Ltd.,1,343.00,343.00,343.00,10.00,3430.00,350.00,-7.00
67,Sanima Bank Limited,40,239.00,218.00,224.00,12237.00,2772501.00,220.00,4.00
68,Sewa Bikas Bank Limited,13,125.00,123.00,125.00,930.00,114975.00,123.00,2.00
69,Shikhar Insurance Co. Ltd.,5,251.00,247.00,251.00,410.00,101310.00,252.00,-1.00
70,Shree Investment Finance Co. Ltd.,2,200.00,197.00,200.00,379.00,75143.00,194.00,6.00
71,Siddhartha Bank Limited,18,304.00,297.00,300.00,2293.00,691504.00,292.00,8.00
72,Soaltee Hotel Limited,2,237.00,237.00,237.00,368.00,87216.00,233.00,4.00
73,Society Development Bank Ltd.,2,119.00,117.00,117.00,2010.00,235190.00,121.00,-4.00
74,Standard Chartered Bank Limited,29,1768.00,1700.00,1700.00,1726.00,2953439.00,1700.00,0.00
75,Sunrise Bank Limited,19,140.00,136.00,137.00,2180.00,300491.00,136.00,1.00
76,Taragaon Regency Hotel Limited,12,82.00,82.00,82.00,170.00,13940.00,82.00,0.00
77,Tinau Development Bank Limited,2,98.00,98.00,98.00,20.00,1960.00,99.00,-1.00
78,Unique Finance Ltd.,13,108.00,100.00,104.00,220.00,22920.00,102.00,2.00
79,Valley Finance Limited,43,97.00,97.00,97.00,570.00,55290.00,98.00,-1.00
80,Western Development Bank Limited,7,97.00,97.00,97.00,172.00,16684.00,97.00,0.00
81,Zenith Finance Limited,6,99.00,97.00,98.00,2184.00,215992.00,98.00,0.00
