S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Prabhu Bank Debenture 2084,5,1046.00,1031.00,1031.00,170.00,176545.00,1046.00,-15.00
2,10% Sanima Bank Limited Debenture,1,1040.00,1040.00,1040.00,25.00,26000.00,1054.00,-14.00
3,10.25% Sunrise Bank Debenture 2083,2,1040.00,1027.00,1027.00,175.00,181675.00,1020.00,7.00
4,11% NIC Asia Debenture 082/83,1,1140.00,1140.00,1140.00,50.00,57000.00,1162.00,-22.00
5,Agricultural Development Bank Limited,592,515.00,506.00,512.00,196565.00,100303247.00,505.00,7.00
6,Ajod Insurance Limited,852,603.00,578.00,588.00,46009.00,27127054.00,590.00,-2.00
7,Ankhu Khola Jalvidhyut Company Ltd,179,124.00,120.00,121.00,6278.00,758383.00,122.00,-1.00
8,Api Power Company Ltd.,271,262.00,256.00,261.00,75850.00,19624247.00,256.00,5.00
9,Arun Kabeli Power Ltd.,308,274.00,266.00,268.00,146121.00,39266613.00,273.00,-5.00
10,Arun Valley Hydropower Development Co. Ltd.,253,260.00,246.00,253.00,110187.00,27843077.00,250.00,3.00
11,Asha Laghubitta Bittiya Sanstha Ltd,66,903.00,846.00,858.00,3050.00,2619658.00,860.00,-2.00
12,Asian Life Insurance Co. Limited,179,807.00,785.00,797.00,41599.00,33162151.00,808.00,-11.00
13,Bank of Kathmandu Ltd.,291,266.00,251.00,253.00,95251.00,24079650.00,254.00,-1.00
14,Barun Hydropower Co. Ltd.,105,215.00,203.00,207.00,16152.00,3328760.00,207.00,0.00
15,Best Finance Company Ltd.,72,142.00,137.00,141.00,27987.00,3888133.00,142.00,-1.00
16,Bishal Bazar Company Limited,93,3553.00,3041.00,3266.00,4877.00,15681587.00,3230.00,36.00
17,Bottlers Nepal (Terai) Limited,47,9790.00,9359.00,9455.00,1140.00,10955630.00,9291.00,164.00
18,Butwal Power Company Limited,163,415.00,410.00,413.00,19950.00,8225331.00,411.00,2.00
19,Central Finance Co. Ltd.,49,174.00,165.00,168.00,22298.00,3823716.00,171.00,-3.00
20,Century Commercial Bank Ltd.,296,193.00,189.00,190.00,97597.00,18531389.00,191.00,-1.00
21,Century Commercial Bank Ltd. Promoter Share,4,112.00,112.00,112.00,70000.00,7840000.00,112.00,0.00
22,Chhimek Laghubitta Bittiya Sanstha Limited,127,1185.00,1170.00,1175.00,15321.00,18011379.00,1185.00,-10.00
23,Chhyangdi Hydropower Ltd.,65,162.00,156.00,160.00,6765.00,1060309.00,160.00,0.00
24,Chilime Hydropower Company Limited,147,521.00,515.00,515.00,32859.00,17038291.00,523.00,-8.00
25,Citizen Investment Trust,600,4760.00,4521.00,4650.00,23224.00,108075472.00,4760.00,-110.00
26,Citizens Bank International Limited,551,251.00,243.00,246.00,174376.00,43192158.00,247.00,-1.00
27,Citizens Mutual Fund -1,27,10.50,9.86,10.00,128900.00,1304613.00,10.45,-0.45
28,CITIZENS MUTUAL FUND 2,31,9.99,9.82,9.85,15820.00,156161.70,9.90,-0.05
29,Civil Bank Ltd,227,173.00,169.00,171.00,96359.00,16425605.00,171.00,0.00
30,Civil Laghubitta Bittiya Sanstha Ltd.,22,744.00,717.00,717.00,638.00,459317.00,730.00,-13.00
31,Corporate Development Bank Limited,43,228.00,220.00,228.00,4482.00,997288.00,222.00,6.00
32,Deprosc Laghubitta Bittiya Sanstha Limited,221,1109.00,1082.00,1096.00,32328.00,35445628.00,1104.00,-8.00
33,Dibyashwori Hydropower Ltd.,117,122.00,118.00,118.00,27215.00,3265920.00,122.00,-4.00
34,Everest Bank Limited,250,677.00,660.00,662.00,46703.00,30983976.00,665.00,-3.00
35,Everest Bank Limited Con. Pref.,7,620.00,618.00,618.00,386.00,238948.00,630.00,-12.00
