S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,29,413.00,405.00,407.00,350.00,142540.00,408.00,-1.00
2,Agricultural Development Bank Limited,41,417.00,410.00,413.00,4949.00,2045232.00,414.00,-1.00
3,Ankhu Khola Jalvidhyut Company Ltd,12,57.00,54.00,57.00,240.00,13420.00,53.00,4.00
4,Api Power Company Ltd.,33,112.00,108.00,110.00,12453.00,1354131.00,112.00,-2.00
5,Arun Kabeli Power Ltd.,13,131.00,127.00,129.00,753.00,96700.00,130.00,-1.00
6,Arun Valley Hydropower Development Co. Ltd.,9,102.00,98.00,99.00,1084.00,107696.00,104.00,-5.00
7,Asha Laghubitta Bittiya Sanstha Ltd,19,389.00,379.00,388.00,705.00,272125.00,379.00,9.00
8,Asian Life Insurance Co. Limited,5,315.00,312.00,315.00,1211.00,380723.00,315.00,0.00
9,Bank of Kathmandu Ltd.,49,230.00,223.00,224.00,9702.00,2185649.00,227.00,-3.00
10,Barun Hydropower Co. Ltd.,3,91.00,90.00,91.00,440.00,39710.00,90.00,1.00
11,Best Finance Company Ltd.,13,93.00,90.00,90.00,2600.00,237300.00,94.00,-4.00
12,Bottlers Nepal (Terai) Limited,1,6320.00,6320.00,6320.00,100.00,632000.00,6324.00,-4.00
13,Butwal Power Company Limited,37,368.00,361.00,367.00,10738.00,3935010.00,368.00,-1.00
14,Central Finance Co. Ltd.,2,116.00,114.00,114.00,20.00,2300.00,115.00,-1.00
15,Century Commercial Bank Ltd.,59,159.00,154.00,158.00,18217.00,2849959.00,157.00,1.00
16,Chhimek Laghubitta Bittiya Sanstha Limited,13,975.00,971.00,971.00,801.00,779138.00,971.00,0.00
17,Chhyangdi Hydropower Ltd.,5,79.00,79.00,79.00,74.00,5846.00,79.00,0.00
18,Chilime Hydropower Company Limited,21,422.00,416.00,422.00,3626.00,1518693.00,417.00,5.00
19,Citizen Investment Trust,10,1800.00,1786.00,1793.00,775.00,1392525.00,1805.00,-12.00
20,Citizens Bank International Limited,74,195.00,191.00,192.00,27122.00,5210132.00,197.00,-5.00
21,Citizens Mutual Fund -1,2,8.63,8.47,8.63,200.00,1710.00,8.50,0.13
22,City Express Finance Co. Limited,1,105.00,105.00,105.00,100.00,10500.00,107.00,-2.00
23,Civil Bank Ltd,30,143.00,141.00,143.00,7847.00,1116053.00,143.00,0.00
24,Civil Laghubitta Bittiya Sanstha Ltd.,8,453.00,444.00,452.00,249.00,112493.00,460.00,-8.00
25,Deprosc Laghubitta Bittiya Sanstha Limited,4,735.00,723.00,723.00,550.00,403650.00,730.00,-7.00
26,Deva Bikas Bank Limited,42,126.00,122.00,124.00,13319.00,1652188.00,125.00,-1.00
27,Everest Bank Limited,49,560.00,553.00,558.00,6763.00,3761209.00,557.00,1.00
28,Everest Insurance Co. Ltd.,24,235.00,229.00,229.00,2704.00,624280.00,231.00,-2.00
29,First Micro Finance Laghubitta Bittiya Sanstha Limited,19,315.00,308.00,308.00,1220.00,377515.00,315.00,-7.00
30,Forward Microfinance Laghubitta Bittiya Sanstha Limited,2,1290.00,1266.00,1266.00,37.00,47490.00,1290.00,-24.00
31,Ganapati Laghubitta Bittiya Sanstha Limited,23,479.00,455.00,461.00,906.00,421222.00,470.00,-9.00
32,Garima Bikas Bank Limited,38,221.00,216.00,220.00,7046.00,1544556.00,219.00,1.00
33,Ghodighoda Laghubitta Bittiya Sanstha Ltd.,2,323.00,317.00,323.00,20.00,6400.00,311.00,12.00
34,Global IME Laghubitta Bittiya Sanstha Ltd.,20,765.00,701.00,765.00,1008.00,756103.00,710.00,55.00
35,Goodwill Finance Limited,3,137.00,135.00,135.00,535.00,72995.00,137.00,-2.00
36,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,22,312.00,309.00,310.00,2088.00,646327.00,315.00,-5.00
37,Green Development Bank Ltd.,5,104.00,102.00,102.00,1070.00,111140.00,104.00,-2.00
38,Guheshowori Merchant Bank & Finance Co. Ltd.,1,116.00,116.00,116.00,100.00,11600.00,118.00,-2.00
