S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Nabil Debenture 2082,1,1055.00,1055.00,1055.00,25.00,26375.00,1055.00,0.00
2,10% Sanima Bank Limited Debenture,1,1055.00,1055.00,1055.00,50.00,52750.00,1065.00,-10.00
3,10% Sunrise Debenture 2080,1,1045.00,1045.00,1045.00,50.00,52250.00,1043.00,2.00
4,10.25% KBL Debenture 2086,3,1065.00,1063.00,1065.00,50.00,53200.00,1080.00,-15.00
5,10.25% Machhapuchhre Bank Debenture 2085,1,1116.00,1116.00,1116.00,10.00,11160.00,1116.00,0.00
6,10.25% Sunrise Bank Debenture 2083,1,1083.00,1083.00,1083.00,145.00,157035.00,1062.00,21.00
7,10.5 % NEPAL INVESTMENT DEBENTURE 2082,1,1115.00,1115.00,1115.00,900.00,1003500.00,1115.00,0.00
8,11% NIC Asia Debenture 082/83,2,1150.00,1150.00,1150.00,1000.00,1150000.00,1137.00,13.00
9,12% ICFC Finance Limited Debenture 2083,1,1240.00,1240.00,1240.00,25.00,31000.00,1250.00,-10.00
10,8.5% Sanima Debenture 2087,2,1005.00,1004.00,1004.00,45.00,45200.00,1007.00,-3.00
11,8.5% SBL Debenture 2084,5,1004.00,1000.00,1000.00,165.00,165370.00,1004.00,-4.00
12,9% NIC Asia Debenture 2081/82,2,1019.00,1019.00,1019.00,50.00,50950.00,1030.00,-11.00
13,9.5% Manjushree Finance Limited Debenture 2085,4,1025.00,1010.00,1025.00,75.00,76545.00,1030.00,-5.00
14,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,64,1560.00,1526.00,1531.00,1206.00,1851107.00,1530.00,1.00
15,Agricultural Development Bank Limited,450,491.00,458.00,484.00,97084.00,47377353.00,482.00,2.00
16,Ajod Insurance Limited,206,833.00,813.00,815.00,6255.00,5097899.00,805.00,10.00
17,Ankhu Khola Jalvidhyut Company Ltd,153,289.00,269.00,271.00,7161.00,1977646.00,269.00,2.00
18,Api Power Company Ltd.,1335,399.00,375.00,389.00,300261.00,117201308.00,374.00,13.00
19,Arun Kabeli Power Ltd.,770,440.00,425.00,433.00,189336.00,82294462.00,425.00,8.00
20,Arun Valley Hydropower Development Co. Ltd.,629,461.00,444.00,448.00,147760.00,66648229.00,440.00,8.00
21,Asha Laghubitta Bittiya Sanstha Ltd,63,1742.00,1710.00,1724.00,1948.00,3358497.00,1708.00,16.00
22,Asian Life Insurance Co. Limited,93,1383.00,1363.00,1365.00,8450.00,11581115.00,1363.00,2.00
23,Bank of Kathmandu Ltd.,339,376.00,370.00,371.00,51008.00,18983383.00,371.00,0.00
24,Barun Hydropower Co. Ltd.,156,565.00,525.00,539.00,27461.00,14930324.00,541.00,-2.00
25,Best Finance Company Ltd.,746,390.00,360.00,390.00,83038.00,31611406.00,359.00,31.00
26,Bishal Bazar Company Limited,41,5600.00,5400.00,5495.00,637.00,3493175.00,5500.00,-5.00
27,Bottlers Nepal (Terai) Limited,8,10000.00,9827.00,9827.00,108.00,1075146.00,9804.00,23.00
28,Butwal Power Company Limited,869,525.00,497.00,518.00,328552.00,166031760.00,500.00,18.00
29,CEDB Hydropower Development Company Limited,777,590.00,567.00,579.00,14450.00,8400640.00,578.00,1.00
30,Central Finance Co. Ltd.,665,417.00,385.00,410.00,93358.00,37837057.00,386.00,24.00
31,Century Commercial Bank Ltd.,1096,302.00,284.00,295.00,394555.00,115726368.00,286.00,9.00
32,Chandragiri Hills Limited,197,1560.00,1530.00,1530.00,4843.00,7467287.00,1535.00,-5.00
33,Chhimek Laghubitta Bittiya Sanstha Limited,375,1750.00,1720.00,1725.00,19386.00,33527592.00,1732.00,-7.00
34,Chhyangdi Hydropower Ltd.,162,438.00,409.00,420.00,22811.00,9672766.00,416.00,4.00
35,Chilime Hydropower Company Limited,355,670.00,654.00,660.00,94543.00,62399504.00,656.00,4.00
36,Citizen Investment Trust,535,3535.00,3448.00,3460.00,17344.00,60571260.00,3432.00,28.00
37,Citizens Bank International Limited,491,381.00,373.00,375.00,70222.00,26395816.00,375.00,0.00
38,Citizens Mutual Fund -1,59,12.49,12.14,12.20,3034765.00,36866887.65,12.40,-0.20
39,CITIZENS MUTUAL FUND 2,14,13.00,12.75,12.86,12122.00,156903.00,12.80,0.06
40,Civil Bank Ltd,827,291.00,281.00,285.00,212930.00,60874385.00,284.00,1.00
41,Civil Laghubitta Bittiya Sanstha Ltd.,256,1535.00,1485.00,1515.00,31721.00,47911130.00,1502.00,13.00
42,Corporate Development Bank Limited,336,752.00,700.00,731.00,27315.00,19856509.00,688.00,43.00
43,Deprosc Laghubitta Bittiya Sanstha Limited,241,1660.00,1630.00,1640.00,12361.00,20334625.00,1653.00,-13.00
44,Dibyashwori Hydropower Ltd.,176,272.00,262.00,267.00,18855.00,5032216.00,258.00,9.00
45,Everest Bank Limited,171,735.00,726.00,730.00,19289.00,14057965.00,727.00,3.00
46,Everest Bank Limited Con. Pref.,1,680.00,680.00,680.00,40.00,27200.00,690.00,-10.00
47,Everest Insurance Co. Ltd.,137,768.00,753.00,755.00,13226.00,10050055.00,753.00,2.00
48,Everest Insurance Co. Ltd. Promoter Share,33,403.00,389.00,403.00,20508.00,8064458.00,404.00,-1.00
49,Excel Development Bank Ltd.,161,799.00,770.00,781.00,21295.00,16713216.00,764.00,17.00
50,First Micro Finance Laghubitta Bittiya Sanstha Limited,369,831.00,800.00,804.00,53215.00,42934843.00,815.00,-11.00
51,Forward Microfinance Laghubitta Bittiya Sanstha Limited,70,2700.00,2666.00,2685.00,3983.00,10673699.00,2666.00,19.00
52,Ganapati Laghubitta Bittiya Sanstha Limited,50,1662.00,1617.00,1658.00,1781.00,2923072.00,1630.00,28.00
53,Garima Bikas Bank Limited,1200,527.00,495.00,520.00,200982.00,103152848.00,495.00,25.00
54,General Insurance Company Nepal Ltd,236,702.00,680.00,696.00,5638.00,3935732.00,686.00,10.00
55,Ghalemdi Hydro Limited,96,302.00,290.00,291.00,4503.00,1323437.00,292.00,-1.00
56,Global IME Bank Limited,833,444.00,436.00,436.00,85041.00,37206137.00,436.00,0.00
57,Global IME Bank Ltd. Promoter Share,3,153.00,153.00,153.00,20472.00,3132216.00,153.00,0.00
58,Global IME Laghubitta Bittiya Sanstha Ltd.,154,2824.00,2660.00,2675.00,7494.00,20168285.00,2690.00,-15.00
59,Global IME Samunnat Scheme-1,20,19.34,19.10,19.12,268376.00,5156119.15,19.18,-0.06
60,Goodwill Finance Limited,548,624.00,575.00,621.00,76062.00,46232485.00,568.00,53.00
61,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,184,1209.00,1176.00,1199.00,11794.00,13997098.00,1191.00,8.00
62,Green Development Bank Ltd.,466,342.00,308.00,340.00,56029.00,18854561.00,311.00,29.00
63,GreenLife Hydropower Limited,414,377.00,356.00,367.00,11414.00,4171405.00,360.00,7.00
64,Guheshowori Merchant Bank & Finance Co. Ltd.,162,487.00,460.00,476.00,44621.00,21073356.00,460.00,16.00
