S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Agricultural Development Bank Limited,98,455.00,440.00,440.00,17150.00,7643190.00,445.00,-5.00
2,Alpine Development Bank Limited,20,278.00,260.00,260.00,3693.00,998785.00,270.00,-10.00
3,Api Power Company Ltd.,21,362.00,352.00,353.00,866.00,309285.00,355.00,-2.00
4,Arun Valley Hydropower Development Co. Ltd.,23,230.00,215.00,215.00,5449.00,1191233.00,222.00,-7.00
5,Asian Life Insurance Co. Limited,138,1290.00,1200.00,1230.00,17330.00,21932852.00,1230.00,0.00
6,Bank of Kathmandu Ltd.,286,559.00,544.00,546.00,58284.00,32133075.00,548.00,-2.00
7,Barun Hydropower Co. Ltd.,4,249.00,245.00,249.00,40.00,9840.00,241.00,8.00
8,Bhargav Bikash Bank Ltd.,30,397.00,369.00,369.00,4838.00,1803118.00,390.00,-21.00
9,Butwal Power Company Limited,6,510.00,500.00,510.00,650.00,327600.00,510.00,0.00
10,Century Commercial Bank Ltd.,84,306.00,291.00,291.00,11423.00,3407383.00,300.00,-9.00
11,Chhimek Laghubitta Bittiya Sanstha Limited,41,1101.00,999.00,999.00,3365.00,3636820.00,1060.00,-61.00
12,Chilime Hydropower Company Limited,80,748.00,720.00,730.00,15394.00,11308322.00,725.00,5.00
13,Citizen Investment Trust,54,3498.00,3211.00,3300.00,3444.00,11426059.00,3365.00,-65.00
14,Citizens Bank International Limited,146,462.00,437.00,439.00,22175.00,9825370.00,443.00,-4.00
15,Civil Bank Ltd,97,230.00,215.00,215.00,26141.00,5795391.00,225.00,-10.00
16,Civil Laghubitta Bittiya Sanstha Ltd.,18,605.00,561.00,605.00,1123.00,673200.00,550.00,55.00
17,Deprosc Laghubitta Bittiya Sanstha Limited,83,950.00,900.00,907.00,6756.00,6238270.00,900.00,7.00
18,Deva Bikas Bank Limited,37,204.00,193.00,200.00,8864.00,1762316.00,200.00,0.00
19,Dibyashwori Hydropower Ltd.,35,234.00,225.00,230.00,359.00,82871.00,230.00,0.00
20,Everest Bank Limited,97,1805.00,1740.00,1763.00,8380.00,14821760.00,1745.00,18.00
21,Everest Insurance Co. Ltd.,51,1576.00,1441.00,1469.00,5707.00,8571130.00,1487.00,-18.00
22,Excel Development Bank Ltd.,1,572.00,572.00,572.00,100.00,57200.00,572.00,0.00
23,First Micro Finance Laghubitta Bittiya Sanstha Limited,43,826.00,790.00,790.00,4490.00,3606220.00,810.00,-20.00
24,Garima Bikas Bank Limited,94,340.00,321.00,333.00,18019.00,6024512.00,333.00,0.00
25,Global IME Bank Limited,102,407.00,395.00,395.00,19276.00,7727346.00,397.00,-2.00
26,Global IME Laghubitta Bittiya Sanstha Ltd.,23,1017.00,910.00,1010.00,1225.00,1177661.00,925.00,85.00
27,Goodwill Finance Limited,5,235.00,231.00,231.00,626.00,145806.00,233.00,-2.00
28,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,70,567.00,520.00,520.00,13584.00,7418620.00,525.00,-5.00
29,Green Development Bank Ltd.,10,415.00,402.00,415.00,200.00,81780.00,402.00,13.00
30,Guheshowori Merchant Bank & Finance Co. Ltd.,6,224.00,220.00,220.00,340.00,74960.00,220.00,0.00
31,Gurans Life Insurance Company Ltd.,119,687.00,637.00,680.00,14525.00,9738854.00,625.00,55.00
32,Hamro Bikas Bank Ltd.,4,394.00,387.00,387.00,276.00,107634.00,402.00,-15.00
33,Himalayan Bank Limited,50,890.00,870.00,870.00,5368.00,4724564.00,875.00,-5.00
34,Himalayan General Insurance Co. Ltd,106,1200.00,1090.00,1105.00,9661.00,11142160.00,1108.00,-3.00
35,Hydorelectricity Investment and Development Company Ltd,158,200.00,189.00,193.00,23968.00,4667640.00,193.00,0.00
36,ICFC Finance Limited,26,244.00,234.00,234.00,5688.00,1353272.00,240.00,-6.00
37,IME General Insurance Ltd.,37,1091.00,992.00,992.00,3656.00,3822696.00,992.00,0.00
38,Janaki Finance Company Limited,8,225.00,213.00,213.00,405.00,88301.00,209.00,4.00
39,Jyoti Bikas Bank Limited,18,263.00,250.00,250.00,3564.00,911638.00,258.00,-8.00
40,Kabeli Bikas Bank Limited,3,540.00,520.00,540.00,30.00,15900.00,510.00,30.00
