S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,1,128.00,128.00,128.00,22.00,2816.00,130.00,-2.00
2,Agricultural Development Bank Limited,41,260.00,249.00,255.00,3569.00,904154.00,256.00,-1.00
3,Alpine Development Bank Limited,12,100.00,98.00,98.00,340.00,33730.00,99.00,-1.00
4,Arun Valley Hydropower Development Co. Ltd.,49,307.00,300.00,300.00,13981.00,4198212.00,306.00,-6.00
5,Asian Life Insurance Co. Limited,27,432.00,417.00,425.00,2102.00,890755.00,425.00,0.00
6,Axis Development Bank Limited,5,78.00,77.00,77.00,55.00,4257.00,77.00,0.00
7,Bank of Kathmandu Ltd.,10,545.00,539.00,540.00,2466.00,1331776.00,540.00,0.00
8,Chhimek Laghubitta Bittiya Sanstha Limited,3,630.00,629.00,629.00,190.00,119610.00,641.00,-12.00
9,Chilime Hydropower Company Limited,17,1180.00,1154.00,1175.00,3971.00,4609799.00,1160.00,15.00
10,Citizen Investment Trust,5,1479.00,1445.00,1479.00,1047.00,1526885.00,1450.00,29.00
11,Citizens Bank International Limited,7,236.00,234.00,235.00,1307.00,306279.00,235.00,0.00
12,Civil Bank Ltd,30,141.00,138.00,140.00,5060.00,706845.00,138.00,2.00
13,Clean Energy Development Bank Limited,6,154.00,151.00,151.00,354.00,53864.00,151.00,0.00
14,Commerz and Trust Bank Nepal Ltd.,32,150.00,145.00,150.00,1775.00,261912.00,145.00,5.00
15,Country Development Bank Ltd.,31,75.00,75.00,75.00,620.00,46500.00,74.00,1.00
16,Deprosc Laghubitta Bittiya Sanstha Limited,3,568.00,560.00,560.00,50.00,28320.00,579.00,-19.00
17,Deva Bikas Bank Limited,8,78.00,76.00,78.00,414.00,31986.00,76.00,2.00
18,Everest Bank Limited,12,1505.00,1490.00,1490.00,874.00,1308640.00,1501.00,-11.00
19,Excel Development Bank Ltd.,1,374.00,374.00,374.00,30.00,11220.00,367.00,7.00
20,Fewa Finance Co. Ltd.,1,167.00,167.00,167.00,121.00,20207.00,170.00,-3.00
21,Gandaki Bikas Bank Limited,12,148.00,146.00,148.00,523.00,77236.00,146.00,2.00
22,Gaurishankar Development Bank Ltd.,33,101.00,97.00,100.00,374.00,37312.00,102.00,-2.00
23,Global IME Bank Limited,34,410.00,400.00,402.00,4881.00,1963873.00,406.00,-4.00
24,Goodwill Finance Limited,2,107.00,105.00,105.00,336.00,35722.00,105.00,0.00
25,Grand Bank Nepal Limited,4,168.00,166.00,168.00,1253.00,208658.00,164.00,4.00
26,Gurans Life Insurance Company Ltd.,7,240.00,237.00,240.00,795.00,189978.00,244.00,-4.00
27,Hama Merchant & Finance Ltd.,86,72.00,70.00,71.00,5828.00,414728.00,69.00,2.00
28,Himalayan Bank Limited,12,673.00,600.00,660.00,5542.00,3387234.00,624.00,36.00
29,Himalayan General Insurance Co. Ltd,3,372.00,359.00,359.00,1054.00,378884.00,365.00,-6.00
30,ICFC Finance Limited,6,140.00,135.00,135.00,2895.00,392879.00,138.00,-3.00
31,Infrastructure Development Bank Ltd.,33,56.00,53.00,56.00,1816.00,98845.00,54.00,2.00
32,International Leasing & Finance Co. Ltd.,1,138.00,138.00,138.00,30.00,4140.00,136.00,2.00
33,Janaki Finance Company Limited,7,232.00,228.00,232.00,1227.00,282388.00,236.00,-4.00
34,Janata Bank Nepal Ltd.,19,160.00,158.00,160.00,3745.00,597241.00,157.00,3.00
35,Jyoti Bikas Bank Limited,27,77.00,75.00,76.00,1120.00,84760.00,78.00,-2.00
36,Kabeli Bikas Bank Limited,4,115.00,113.00,113.00,44.00,5027.00,116.00,-3.00
37,Kailash Bikas Bank Ltd.,4,180.00,178.00,179.00,4374.00,782144.00,177.00,2.00
38,Kamana Sewa Bikas Bank Limited,18,150.00,145.00,150.00,540.00,79070.00,149.00,1.00
39,Kaski Finance Limited,9,104.00,104.00,104.00,743.00,77272.00,104.00,0.00
40,Kasthamandap Development Bank Limited,3,62.00,62.00,62.00,218.00,13516.00,61.00,1.00
41,Kumari Bank Limited,9,295.00,280.00,292.00,2195.00,628308.00,280.00,12.00
42,Laxmi Bank Limited,2,337.00,331.00,337.00,310.00,104410.00,336.00,1.00
43,Lumbini Bank Limited,10,193.00,187.00,187.00,2792.00,527554.00,190.00,-3.00
