S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,16,207.00,191.00,191.00,7335.00,1465350.00,210.00,-19.00
2,Agricultural Development Bank Limited,124,405.00,383.00,396.00,26882.00,10709798.00,395.00,1.00
3,Alpine Development Bank Limited,3,134.00,130.00,134.00,140.00,18320.00,130.00,4.00
4,Araniko Development Bank Limited,73,141.00,126.00,141.00,9520.00,1313720.00,128.00,13.00
5,Arun Valley Hydropower Development Co. Ltd.,57,507.00,461.00,505.00,43923.00,20922171.00,461.00,44.00
6,Asian Life Insurance Co. Limited,94,681.00,609.00,681.00,16733.00,10510921.00,676.00,5.00
7,Bank of Kathmandu Ltd.,40,583.00,568.00,577.00,11070.00,6351729.00,577.00,0.00
8,Business Universal Development Bank Ltd.,6,150.00,141.00,141.00,1514.00,217550.00,153.00,-12.00
9,Butwal Power Company Limited,10,1080.00,1050.00,1052.00,8067.00,8502782.00,1075.00,-23.00
10,Chhimek Laghubitta Bittiya Sanstha Limited,3,743.00,715.00,715.00,1277.00,926299.00,971.00,-256.00
11,Chilime Hydropower Company Limited,21,1520.00,1490.00,1500.00,2843.00,4251044.00,1505.00,-5.00
12,Citizen Investment Trust,3,2120.00,2100.00,2120.00,154.00,325520.00,2135.00,-15.00
13,Citizens Bank International Limited,51,393.00,381.00,385.00,10912.00,4234516.00,381.00,4.00
14,Clean Energy Development Bank Limited,27,256.00,233.00,233.00,6046.00,1468850.00,258.00,-25.00
15,Country Development Bank Ltd.,1,96.00,96.00,96.00,30.00,2880.00,95.00,1.00
16,Deva Bikas Bank Limited,17,109.00,99.00,109.00,6774.00,715386.00,107.00,2.00
17,Everest Bank Limited,36,1950.00,1900.00,1932.00,5541.00,10642214.00,1895.00,37.00
18,Everest Finance Ltd.,2,91.00,90.00,91.00,20.00,1810.00,89.00,2.00
19,Excel Development Bank Ltd.,4,600.00,590.00,590.00,700.00,418450.00,596.00,-6.00
20,Gandaki Bikas Bank Limited,20,223.00,212.00,219.00,1431.00,308914.00,212.00,7.00
21,Gandaki Bikas BankLimited,6,132.00,122.00,132.00,60.00,7620.00,120.00,12.00
22,Garima Bikas Bank Limited,9,276.00,260.00,275.00,545.00,148405.00,265.00,10.00
23,Gaurishankar Development Bank Ltd.,45,145.00,134.00,145.00,1883.00,265755.00,132.00,13.00
24,Goodwill Finance Limited,4,118.00,112.00,118.00,258.00,30148.00,110.00,8.00
25,Grand Bank Nepal Limited,85,277.00,249.00,258.00,24586.00,6351540.00,269.00,-11.00
26,Guheshowori Merchant Bank & Finance Co. Ltd.,5,193.00,187.00,193.00,1653.00,315147.00,190.00,3.00
27,Gurans Life Insurance Company Ltd.,57,385.00,353.00,353.00,8477.00,3010933.00,392.00,-39.00
28,Hamro Bikas Bank Ltd.,4,149.00,147.00,149.00,752.00,111188.00,145.00,4.00
29,Himalayan Bank Limited,19,810.00,768.00,810.00,2951.00,2332144.00,778.00,32.00
30,Himalayan General Insurance Co. Ltd,2,560.00,560.00,560.00,204.00,114240.00,560.00,0.00
31,ICFC Finance Limited,10,222.00,215.00,218.00,3528.00,766278.00,226.00,-8.00
32,IME General Insurance Ltd.,11,63.00,59.00,63.00,1930.00,118470.00,58.00,5.00
33,Infrastructure Development Bank Ltd.,5,107.00,103.00,103.00,2478.00,259818.00,109.00,-6.00
34,International Development Bank Ltd,19,103.00,95.00,103.00,4872.00,486180.00,94.00,9.00
35,International Leasing & Finance Co. Ltd.,22,185.00,178.00,180.00,17074.00,3079519.00,181.00,-1.00
36,Janaki Finance Company Limited,11,257.00,245.00,250.00,2088.00,518715.00,262.00,-12.00
37,Janata Bank Nepal Ltd.,41,239.00,230.00,235.00,19330.00,4494652.00,235.00,0.00
38,Jyoti Bikas Bank Limited,57,126.00,122.00,125.00,10070.00,1251300.00,127.00,-2.00
39,Kabeli Bikas Bank Limited,2,113.00,113.00,113.00,88.00,9944.00,113.00,0.00
40,Kamana Sewa Bikas Bank Limited,4,232.00,226.00,226.00,240.00,54820.00,228.00,-2.00
41,Kanchan Development Bank Limited,1,168.00,168.00,168.00,69.00,11592.00,165.00,3.00
42,Kankai Bikas Bank Ltd.,3,88.00,86.00,88.00,139.00,12109.00,85.00,3.00
43,Karnali Development Bank Limited,5,97.00,95.00,97.00,240.00,22850.00,96.00,1.00
44,Kaski Finance Limited,1,143.00,143.00,143.00,100.00,14300.00,141.00,2.00
45,Kasthamandap Development Bank Limited,3,102.00,100.00,100.00,429.00,42982.00,104.00,-4.00
46,Kumari Bank Limited,61,410.00,399.00,410.00,29606.00,11963035.00,404.00,6.00
47,Laxmi Bank Limited,33,422.00,414.00,417.00,9120.00,3805299.00,421.00,-4.00
48,Life Insurance Corporation (Nepal) Limited,16,1950.00,1900.00,1911.00,2776.00,5328101.00,1930.00,-19.00
