S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,Ace Development Bank Ltd.,6,250.00,245.00,250.00,2456.00,607353.00,255.00,-5.00
2,Agricultural Development Bank Limited,9,439.00,434.00,436.00,1363.00,594229.00,436.00,0.00
3,Alpine Development Bank Limited,8,316.00,304.00,315.00,792.00,243472.00,310.00,5.00
4,Apex Development Bank Ltd.,1,137.00,137.00,137.00,22.00,3014.00,135.00,2.00
5,Arun Valley Hydropower Development Co. Ltd.,18,348.00,340.00,348.00,5167.00,1778667.00,345.00,3.00
6,Asian Life Insurance Co. Limited,10,1195.00,1170.00,1170.00,2300.00,2713447.00,1191.00,-21.00
7,Biratlaxmi Bikas Bank Limited,4,321.00,313.00,313.00,878.00,275006.00,315.00,-2.00
8,Business Universal Development Bank Ltd.,10,204.00,200.00,202.00,8998.00,1809154.00,205.00,-3.00
9,Butwal Power Company Limited,5,615.00,607.00,610.00,2426.00,1476980.00,610.00,0.00
10,Century Commercial Bank Ltd.,102,315.00,307.00,308.00,4740.00,1462101.00,310.00,-2.00
11,Chhimek Laghubitta Bittiya Sanstha Limited,1,1600.00,1600.00,1600.00,46.00,73600.00,1600.00,0.00
12,Chilime Hydropower Company Limited,33,1605.00,1589.00,1605.00,5303.00,8459252.00,1600.00,5.00
13,Citizens Bank International Limited,44,461.00,446.00,452.00,16033.00,7252967.00,440.00,12.00
14,Civil Bank Ltd,28,290.00,283.00,284.00,7574.00,2172763.00,290.00,-6.00
15,Cosmos Development Bank Ltd.,1,363.00,363.00,363.00,29.00,10527.00,370.00,-7.00
16,Deprosc Laghubitta Bittiya Sanstha Limited,2,1214.00,1213.00,1214.00,226.00,274249.00,1210.00,4.00
17,Ekata Bikas Bank Ltd.,13,293.00,290.00,293.00,645.00,187903.00,290.00,3.00
18,Everest Bank Limited,15,2150.00,2106.00,2137.00,1255.00,2684219.00,2140.00,-3.00
19,Everest Insurance Co. Ltd.,3,845.00,840.00,840.00,208.00,175003.00,845.00,-5.00
20,First Micro Finance Laghubitta Bittiya Sanstha Limited,4,660.00,650.00,651.00,400.00,261600.00,665.00,-14.00
21,Garima Bikas Bank Limited,8,324.00,320.00,320.00,935.00,300637.00,320.00,0.00
22,Global IME Bank Limited,18,456.00,450.00,455.00,6277.00,2833785.00,455.00,0.00
23,Gurans Life Insurance Company Ltd.,2,539.00,539.00,539.00,169.00,91091.00,540.00,-1.00
24,Hama Merchant & Finance Ltd.,4,161.00,155.00,161.00,1150.00,183080.00,152.00,9.00
25,Himalayan Bank Limited,7,845.00,827.00,827.00,1423.00,1186669.00,860.00,-33.00
26,ICFC Finance Limited,2,266.00,265.00,265.00,535.00,141975.00,267.00,-2.00
27,Infrastructure Development Bank Ltd.,14,186.00,180.00,183.00,3017.00,554317.00,177.00,6.00
28,Janata Bank Nepal Ltd.,8,274.00,269.00,274.00,1802.00,488472.00,274.00,0.00
29,Jebils Finance Ltd.,1,138.00,138.00,138.00,500.00,69000.00,139.00,-1.00
30,Jyoti Bikas Bank Limited,16,170.00,164.00,170.00,922.00,153510.00,167.00,3.00
31,Kailash Bikas Bank Ltd.,1,375.00,375.00,375.00,80.00,30000.00,375.00,0.00
32,Kalika Laghubitta Bittiya Sanstha Ltd,3,1035.00,1015.00,1035.00,170.00,175750.00,1030.00,5.00
33,Kalinchowk Development Bank Ltd.,7,259.00,254.00,254.00,335.00,85611.00,261.00,-7.00
34,Kamana Sewa Bikas Bank Limited,12,348.00,335.00,335.00,1517.00,512485.00,338.00,-3.00
35,Kanchan Development Bank Limited,2,352.00,346.00,346.00,1144.00,399688.00,353.00,-7.00
36,Kankai Bikas Bank Ltd.,2,308.00,307.00,307.00,37.00,11369.00,314.00,-7.00
37,Kaski Finance Limited,2,226.00,225.00,226.00,331.00,74635.00,222.00,4.00
38,Kasthamandap Development Bank Limited,27,163.00,157.00,163.00,7075.00,1130606.00,154.00,9.00
39,Kumari Bank Limited,24,390.00,384.00,384.00,6440.00,2489940.00,385.00,-1.00
40,Laxmi Bank Limited,11,538.00,526.00,528.00,1998.00,1062686.00,528.00,0.00
