S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,10% Sanima Bank Limited Debenture,2,948.00,948.00,948.00,50.00,47400.00,948.00,0.00
2,Agricultural Development Bank Limited,254,425.00,410.00,416.00,59890.00,24900666.00,425.00,-9.00
3,Ankhu Khola Jalvidhyut Company Ltd,53,56.00,53.00,53.00,880.00,47340.00,55.00,-2.00
4,Api Power Company Ltd.,209,140.00,130.00,133.00,55136.00,7337801.00,139.00,-6.00
5,Arun Kabeli Power Ltd.,126,131.00,125.00,126.00,44397.00,5620755.00,129.00,-3.00
6,Arun Valley Hydropower Development Co. Ltd.,83,103.00,98.00,98.00,36939.00,3694968.00,105.00,-7.00
7,Asha Laghubitta Bittiya Sanstha Ltd,201,720.00,660.00,670.00,7961.00,5477679.00,725.00,-55.00
8,Asian Life Insurance Co. Limited,312,628.00,575.00,584.00,67886.00,40353409.00,617.00,-33.00
9,Bank of Kathmandu Ltd.,303,260.00,245.00,249.00,80872.00,20423468.00,260.00,-11.00
10,Barun Hydropower Co. Ltd.,14,96.00,95.00,95.00,1985.00,190275.00,97.00,-2.00
11,Best Finance Company Ltd.,19,106.00,104.00,104.00,4446.00,464367.00,105.00,-1.00
12,Bishal Bazar Company Limited,9,1831.00,1758.00,1758.00,180.00,323130.00,1865.00,-107.00
13,Bottlers Nepal (Terai) Limited,14,7050.00,6860.00,6860.00,205.00,1419410.00,6972.00,-112.00
14,Butwal Power Company Limited,175,380.00,360.00,364.00,24759.00,9124621.00,385.00,-21.00
15,Central Finance Co. Ltd.,31,145.00,136.00,136.00,9908.00,1378813.00,147.00,-11.00
16,Century Commercial Bank Ltd.,398,193.00,185.00,186.00,125271.00,23624807.00,191.00,-5.00
17,Century Commercial Bank Ltd. Promoter Share,2,116.00,116.00,116.00,55063.00,5671489.00,116.00,0.00
18,Chhimek Laghubitta Bittiya Sanstha Limited,319,1120.00,1021.00,1021.00,30809.00,32795473.00,1110.00,-89.00
19,Chhyangdi Hydropower Ltd.,21,103.00,99.00,99.00,611.00,62109.00,101.00,-2.00
20,Chilime Hydropower Company Limited,157,430.00,410.00,420.00,26271.00,10937375.00,430.00,-10.00
21,Citizen Investment Trust,237,2879.00,2705.00,2705.00,16978.00,46692147.00,2823.00,-118.00
22,Citizens Bank International Limited,298,215.00,204.00,208.00,109394.00,22834383.00,212.00,-4.00
23,Citizens Mutual Fund -1,2,9.60,9.47,9.47,10500.00,100735.00,9.64,-0.17
24,Civil Bank Ltd,216,155.00,149.00,150.00,102186.00,15463736.00,154.00,-4.00
25,Civil Laghubitta Bittiya Sanstha Ltd.,91,1201.00,1102.00,1102.00,3443.00,3878587.00,1224.00,-122.00
26,Corporate Development Bank Limited,17,132.00,126.00,126.00,4001.00,519409.00,133.00,-7.00
27,Deprosc Laghubitta Bittiya Sanstha Limited,211,940.00,856.00,868.00,24155.00,21399411.00,926.00,-58.00
28,Dibyashwori Hydropower Ltd.,24,53.00,51.00,51.00,5145.00,264889.00,53.00,-2.00
29,Everest Bank Limited,449,819.00,762.00,764.00,71316.00,55821364.00,813.00,-49.00
30,Everest Bank Limited Con. Pref.,3,665.00,651.00,665.00,37.00,24297.00,664.00,1.00
31,Everest Insurance Co. Ltd.,218,436.00,403.00,410.00,36876.00,15431672.00,431.00,-21.00
32,Excel Development Bank Ltd.,60,407.00,385.00,390.00,12357.00,4907497.00,405.00,-15.00
33,First Micro Finance Laghubitta Bittiya Sanstha Limited,419,552.00,503.00,503.00,61246.00,31841341.00,558.00,-55.00
34,Forward Microfinance Laghubitta Bittiya Sanstha Limited,236,1610.00,1464.00,1464.00,15170.00,23219263.00,1626.00,-162.00
35,Ganapati Laghubitta Bittiya Sanstha Limited,69,882.00,794.00,796.00,1650.00,1360290.00,882.00,-86.00
36,Garima Bikas Bank Limited,229,259.00,240.00,245.00,109142.00,27010726.00,255.00,-10.00
37,Ghalemdi Hydro Limited,20,70.00,65.00,68.00,520.00,35210.00,71.00,-3.00
