"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"MANUFACTURE","2026-01-14","8858.35","8887.29","8800.95","8821.31","-0.42 %","718,922,967.40","-"
"MANUFACTURE","2026-01-13","8894.6","8986.04","8842.26","8858.35","-0.24 %","1,071,790,615.50","-"
"MANUFACTURE","2026-01-12","8773.85","8954.23","8764.79","8879.56","1.02 %","1,302,778,204.10","-"
"MANUFACTURE","2026-01-08","8745.94","8811.8","8723.28","8789.5","0.50 %","761,531,900.80","-"
"MANUFACTURE","2026-01-07","8884.11","8898.9","8735.87","8745.97","-1.17 %","936,155,325.00","-"
"MANUFACTURE","2026-01-06","8942.38","9055.19","8837.81","8849.22","-0.52 %","1,125,982,807.80","-"
"MANUFACTURE","2026-01-05","8658.89","8895.26","8658.84","8895.26","3.05 %","1,225,125,590.90","-"
"MANUFACTURE","2026-01-04","8521.17","8642.55","8489.59","8631.91","1.04 %","990,731,579.50","-"
"MANUFACTURE","2026-01-01","8589.82","8636.72","8541.27","8542.8","-0.42 %","695,671,830.60","-"
"MANUFACTURE","2025-12-31","8446.46","8596.73","8433.76","8578.68","1.62 %","522,998,390.10","-"
"MANUFACTURE","2025-12-29","8438.25","8473.27","8400.14","8442.31","-0.01 %","596,998,351.70","-"
"MANUFACTURE","2025-12-28","8274.07","8443.46","8268.11","8443.46","1.89 %","570,195,232.30","-"
"MANUFACTURE","2025-12-24","8270.82","8322.77","8265.72","8286.66","0.12 %","301,745,055.10","-"
"MANUFACTURE","2025-12-23","8261.99","8302.54","8215.42","8277.12","0.25 %","547,466,259.80","-"
"MANUFACTURE","2025-12-22","8287.74","8302.94","8247.2","8256.3","-0.33 %","275,652,787.80","-"
"MANUFACTURE","2025-12-21","8280.15","8316.65","8252.83","8283.24","-0.09 %","254,069,512.60","-"
"MANUFACTURE","2025-12-18","8302.81","8340.87","8253.02","8290.93","-0.18 %","327,601,014.80","-"
"MANUFACTURE","2025-12-17","8278.94","8337.82","8259.55","8305.5","0.41 %","199,769,400.20","-"
"MANUFACTURE","2025-12-16","8231.55","8292.69","8219.94","8271.97","0.46 %","188,784,669.00","-"
"MANUFACTURE","2025-12-15","8204.91","8247.96","8176.34","8233.85","0.54 %","268,962,621.90","-"
"MANUFACTURE","2025-12-14","8238.94","8277.43","8178.39","8189.9","-0.72 %","312,144,810.20","-"
"MANUFACTURE","2025-12-11","8171.13","8258.28","8158.56","8249.12","0.93 %","389,454,508.30","-"
"MANUFACTURE","2025-12-10","8103.11","8173.29","8019.78","8173.29","1.22 %","520,753,873.00","-"
"MANUFACTURE","2025-12-09","8021.09","8092.69","8021.08","8074.41","0.54 %","241,949,360.90","-"
