Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2020-11-26,1.0,315.0,315.0,315.0,1504.0,473760.0,315.0,0.0
2020-11-29,5.0,321.0,315.0,315.0,1863.0,588279.0,315.0,0.0
2020-11-30,20.0,309.0,289.0,303.0,3848.0,1163742.0,315.0,-12.0
2020-12-01,28.0,303.0,273.0,275.0,3545.0,1016165.0,303.0,-28.0
2020-12-02,19.0,275.0,264.0,271.0,5039.0,1352963.0,275.0,-4.0
2020-12-03,41.0,298.0,271.0,298.0,17159.0,4837771.0,271.0,27.0
2020-12-06,21.0,303.0,293.0,300.0,6653.0,1983082.0,298.0,2.0
2020-12-07,9.0,295.0,280.0,280.0,3245.0,923362.0,300.0,-20.0
2020-12-08,21.0,275.0,252.0,252.0,4358.0,1129866.0,280.0,-28.0
2020-12-09,30.0,258.0,252.0,252.0,8073.0,2045561.0,252.0,0.0
2020-12-10,23.0,262.0,247.0,252.0,6526.0,1665892.0,252.0,0.0
2020-12-13,14.0,257.0,250.0,257.0,2653.0,674925.0,252.0,5.0
2020-12-14,11.0,257.0,252.0,254.0,2851.0,726107.0,257.0,-3.0
2020-12-15,16.0,259.0,249.0,257.0,5774.0,1459846.0,254.0,3.0
2020-12-16,23.0,267.0,241.0,245.0,6984.0,1730574.0,257.0,-12.0
2020-12-17,30.0,269.0,245.0,269.0,12157.0,3080561.0,245.0,24.0
2020-12-20,91.0,295.0,269.0,290.0,35336.0,10180484.0,269.0,21.0
2020-12-21,49.0,304.0,272.0,285.0,15473.0,4454929.0,290.0,-5.0
2020-12-22,50.0,299.0,280.0,294.0,22458.0,6608146.0,285.0,9.0
2020-12-23,46.0,308.0,271.0,272.0,11866.0,3470690.0,294.0,-22.0
2020-12-24,24.0,280.0,267.0,280.0,4422.0,1195653.0,272.0,8.0
2020-12-27,28.0,277.0,260.0,277.0,17401.0,4755095.0,280.0,-3.0
2020-12-28,24.0,280.0,267.0,280.0,11466.0,3154975.0,277.0,3.0
2020-12-29,6.0,285.0,265.0,270.0,60.0,16450.0,280.0,-10.0
2020-12-30,20.0,274.0,260.0,274.0,5006.0,1322330.0,270.0,4.0
2020-12-31,17.0,280.0,269.0,279.0,3728.0,1028650.0,274.0,5.0
2021-01-03,13.0,276.0,270.0,272.0,3338.0,913508.0,279.0,-7.0
2021-01-04,7.0,276.0,271.0,276.0,3383.0,928281.0,272.0,4.0
2021-01-05,16.0,278.0,267.0,278.0,4479.0,1226177.0,276.0,2.0
2021-01-06,30.0,290.0,270.0,290.0,12698.0,3523832.0,278.0,12.0
2021-01-07,42.0,300.0,282.0,290.0,11562.0,3335787.0,290.0,0.0
2021-01-10,43.0,299.0,280.0,285.0,13840.0,4039528.0,290.0,-5.0
2021-01-11,9.0,295.0,288.0,295.0,2964.0,859410.0,285.0,10.0
2021-01-12,36.0,300.0,276.0,290.0,13221.0,3890903.0,295.0,-5.0
2021-01-13,74.0,306.0,295.0,303.0,51267.0,15410050.0,290.0,13.0
2021-01-17,15.0,303.0,293.0,293.0,6036.0,1801508.0,303.0,-10.0
2021-01-18,18.0,295.0,286.0,286.0,6238.0,1810164.0,293.0,-7.0
2021-01-19,19.0,295.0,281.0,291.0,6792.0,1951694.0,286.0,5.0
2021-01-20,17.0,296.0,277.0,290.0,7068.0,2025336.0,291.0,-1.0
2021-01-21,10.0,298.0,285.0,298.0,2498.0,731184.0,290.0,8.0
2021-01-24,23.0,296.0,291.0,292.0,7199.0,2108264.0,298.0,-6.0
2021-01-25,36.0,300.0,287.0,297.0,16602.0,4891910.0,292.0,5.0
2021-01-26,120.0,326.0,300.0,326.0,65239.0,20634255.0,297.0,29.0
2021-01-27,49.0,358.0,320.0,358.0,16874.0,5931212.0,326.0,32.0
2021-01-28,23.0,393.0,365.0,393.0,4424.0,1725192.0,358.0,35.0
2021-01-31,106.0,432.0,386.0,432.0,40100.0,17116914.0,393.0,39.0
2021-02-01,105.0,450.0,402.0,435.0,46474.0,20207122.0,432.0,3.0
2021-02-02,120.0,478.0,433.0,478.0,57232.0,26410412.0,435.0,43.0
2021-02-03,70.0,511.0,464.0,479.0,41473.0,20368832.0,478.0,1.0
2021-02-04,83.0,475.0,435.0,464.0,39175.0,17957351.0,479.0,-15.0
2021-02-07,78.0,479.0,435.0,459.0,31231.0,14251003.0,464.0,-5.0
2021-02-08,46.0,470.0,435.0,444.0,13346.0,6136988.0,459.0,-15.0
2021-02-09,31.0,452.0,420.0,450.0,8406.0,3603772.0,444.0,6.0
2021-02-10,41.0,441.0,417.0,431.0,6569.0,2815376.0,450.0,-19.0
2021-02-11,17.0,439.0,422.0,439.0,4940.0,2107722.0,431.0,8.0
2021-02-14,35.0,427.0,417.0,425.0,12268.0,5152150.0,439.0,-14.0
2021-02-15,49.0,448.0,425.0,437.0,25256.0,11068724.0,425.0,12.0
2021-02-16,62.0,461.0,436.0,444.0,27222.0,12150108.0,437.0,7.0
2021-02-17,50.0,459.0,422.0,450.0,12118.0,5431917.0,444.0,6.0
2021-02-18,14.0,455.0,433.0,450.0,3263.0,1443678.0,450.0,0.0
2021-02-21,15.0,445.0,433.0,435.0,4140.0,1814333.0,450.0,-15.0
2021-02-22,35.0,438.0,414.0,427.0,18829.0,8018512.0,435.0,-8.0
2021-02-23,28.0,435.0,410.0,426.0,16834.0,6993566.0,427.0,-1.0
2021-02-24,19.0,439.0,419.0,434.0,8813.0,3751780.0,426.0,8.0
2021-02-25,27.0,437.0,408.0,427.0,4728.0,1985251.0,434.0,-7.0
2021-02-28,33.0,435.0,401.0,409.0,13346.0,5450874.0,427.0,-18.0
2021-03-01,33.0,425.0,408.0,417.0,11921.0,4943666.0,409.0,8.0
2021-03-02,33.0,425.0,381.0,415.0,16420.0,6521010.0,417.0,-2.0
2021-03-03,21.0,420.0,392.0,399.0,978.0,386833.0,415.0,-16.0
2021-03-04,20.0,416.0,392.0,393.0,6314.0,2522540.0,399.0,-6.0
2021-03-07,27.0,407.0,374.0,392.0,9910.0,3843825.0,393.0,-1.0
2021-03-09,3.0,411.0,403.0,403.0,110.0,44410.0,392.0,11.0
2021-03-10,21.0,405.0,383.0,405.0,1657.0,654724.0,403.0,2.0
2021-03-14,1.0,425.0,425.0,425.0,10.0,4250.0,405.0,20.0
2021-03-15,5.0,417.0,393.0,406.0,60.0,24320.0,425.0,-19.0
2021-03-16,31.0,400.0,373.0,387.0,14635.0,5675047.0,406.0,-19.0
2021-03-17,3.0,394.0,392.0,393.0,2534.0,993438.0,387.0,6.0
2021-03-18,51.0,400.0,373.0,400.0,14086.0,5395970.0,393.0,7.0
2021-03-21,9.0,420.0,383.0,400.0,280.0,112290.0,400.0,0.0
2021-03-22,35.0,401.0,380.0,385.0,15172.0,5843644.0,400.0,-15.0
2021-03-23,23.0,400.0,366.0,400.0,1830.0,705364.0,385.0,15.0
2021-03-24,13.0,408.0,380.0,394.0,756.0,294512.0,400.0,-6.0
2021-03-25,29.0,389.0,373.0,389.0,6212.0,2356264.0,394.0,-5.0
2021-03-29,19.0,390.0,376.0,390.0,7760.0,2985916.0,389.0,1.0
2021-03-30,19.0,404.0,383.0,390.0,7043.0,2735101.0,390.0,0.0
2021-03-31,46.0,428.0,390.0,400.0,10454.0,4156870.0,390.0,10.0
2021-04-01,56.0,424.0,388.0,398.0,14287.0,5732300.0,400.0,-2.0
2021-04-04,39.0,417.0,402.0,405.0,10231.0,4206769.0,398.0,7.0
2021-04-05,37.0,409.0,399.0,405.0,7210.0,2908542.0,405.0,0.0
2021-04-06,22.0,405.0,387.0,394.0,2714.0,1059060.0,405.0,-11.0
2021-04-07,27.0,400.0,383.0,400.0,8046.0,3138057.0,394.0,6.0
2021-04-08,14.0,405.0,386.0,393.0,2066.0,806756.0,400.0,-7.0
2021-04-12,19.0,393.0,386.0,393.0,2250.0,871540.0,393.0,0.0
2021-04-13,9.0,395.0,380.0,394.0,2761.0,1072824.0,393.0,1.0
2021-04-15,31.0,400.0,375.0,385.0,4480.0,1701460.0,394.0,-9.0
2021-04-18,21.0,385.0,375.0,375.0,6404.0,2409552.0,385.0,-10.0
2021-04-19,12.0,375.0,372.0,372.0,3220.0,1200680.0,375.0,-3.0
2021-04-20,24.0,382.0,366.0,379.0,6092.0,2287178.0,372.0,7.0
2021-04-21,20.0,385.0,369.0,380.0,6714.0,2542648.0,379.0,1.0
2021-04-22,12.0,385.0,375.0,376.0,2458.0,928620.0,380.0,-4.0
2021-04-25,13.0,370.0,362.0,362.0,3832.0,1400894.0,376.0,-14.0
2021-04-26,21.0,355.0,345.0,350.0,5118.0,1784773.0,362.0,-12.0
2021-04-27,17.0,379.0,353.0,378.0,3500.0,1272072.0,350.0,28.0
2021-04-28,2.0,383.0,376.0,376.0,110.0,41430.0,378.0,-2.0
2021-04-29,40.0,403.0,380.0,392.0,20880.0,8136223.0,376.0,16.0
2021-05-02,7.0,390.0,379.0,390.0,1640.0,625550.0,392.0,-2.0
2021-05-03,20.0,397.0,383.0,383.0,7789.0,3007179.0,390.0,-7.0
2021-05-04,6.0,397.0,385.0,385.0,330.0,127270.0,383.0,2.0
2021-05-05,21.0,392.0,378.0,384.0,8239.0,3129286.0,385.0,-1.0
2021-05-06,13.0,390.0,371.0,379.0,1031.0,390581.0,384.0,-5.0
2021-05-09,13.0,385.0,365.0,365.0,3384.0,1244754.0,379.0,-14.0
2021-05-10,16.0,379.0,366.0,379.0,4114.0,1543450.0,365.0,14.0
2021-05-11,30.0,392.0,370.0,385.0,8230.0,3131610.0,379.0,6.0
2021-05-12,43.0,378.0,363.0,370.0,8772.0,3208418.0,385.0,-15.0
2021-05-13,6.0,377.0,363.0,370.0,332.0,121916.0,370.0,0.0
2021-05-16,5.0,383.0,370.0,383.0,774.0,288778.0,370.0,13.0
2021-05-17,2.0,390.0,383.0,383.0,20.0,7730.0,383.0,0.0
2021-05-18,18.0,390.0,364.0,383.0,3141.0,1180774.0,383.0,0.0
2021-05-19,8.0,380.0,364.0,380.0,1445.0,544390.0,383.0,-3.0
2021-05-20,16.0,376.0,361.0,376.0,2008.0,742754.0,380.0,-4.0
2021-05-23,46.0,394.0,373.0,390.0,16066.0,6162083.0,376.0,14.0
2021-05-24,27.0,409.0,377.0,379.0,8230.0,3184650.0,390.0,-11.0
2021-05-25,32.0,394.0,361.0,384.0,11816.0,4535658.0,379.0,5.0
2021-05-27,22.0,391.0,377.0,389.0,7285.0,2825591.0,384.0,5.0
2021-05-30,20.0,396.0,382.0,390.0,7126.0,2747620.0,389.0,1.0
2021-05-31,23.0,409.0,374.0,386.0,8878.0,3386414.0,390.0,-4.0
2021-06-01,22.0,391.0,374.0,381.0,31266.0,11927824.0,386.0,-5.0
2021-06-02,12.0,391.0,362.0,376.0,7292.0,2722872.0,381.0,-5.0
2021-06-03,17.0,396.0,375.0,378.0,5129.0,1955937.0,376.0,2.0
2021-06-06,16.0,385.0,378.0,385.0,6091.0,2322937.0,378.0,7.0
2021-06-07,21.0,390.0,378.0,382.0,7432.0,2840644.0,385.0,-3.0
2021-06-08,62.0,408.0,376.0,407.0,17241.0,6767633.0,382.0,25.0
2021-06-09,47.0,423.0,392.0,393.0,17304.0,7021210.0,407.0,-14.0
2021-06-10,22.0,400.0,386.0,399.0,5606.0,2218718.0,393.0,6.0
2021-06-13,35.0,422.0,391.0,398.0,11750.0,4762944.0,399.0,-1.0
2021-06-14,13.0,413.0,395.0,404.0,2142.0,854930.0,398.0,6.0
2021-06-15,71.0,432.0,402.0,416.0,24041.0,10036606.0,404.0,12.0
2021-06-16,17.0,436.0,396.0,405.0,1940.0,778330.0,416.0,-11.0
2021-06-17,26.0,425.0,390.0,401.0,9850.0,3889932.0,405.0,-4.0
2021-06-20,31.0,405.0,389.0,405.0,20124.0,7897711.0,401.0,4.0
2021-06-21,13.0,410.0,385.0,393.0,5170.0,2007370.0,405.0,-12.0
2021-06-22,24.0,408.0,381.0,381.0,8088.0,3189766.0,393.0,-12.0
2021-06-23,38.0,402.0,362.0,390.0,17132.0,6765564.0,381.0,9.0
2021-06-24,43.0,400.0,385.0,393.0,19061.0,7497281.0,390.0,3.0
2021-06-27,34.0,402.0,388.0,400.0,8516.0,3393694.0,393.0,7.0
2021-06-28,40.0,410.0,400.0,405.0,16542.0,6694613.0,400.0,5.0
2021-06-29,13.0,404.0,390.0,404.0,3011.0,1191161.0,405.0,-1.0
2021-07-01,33.0,403.0,389.0,403.0,20508.0,8064458.0,404.0,-1.0
2021-07-04,35.0,408.0,395.0,408.0,16872.0,6772260.0,403.0,5.0
2021-07-05,7.0,406.0,392.0,406.0,1109.0,436820.0,408.0,-2.0
2021-07-06,5.0,400.0,395.0,400.0,3154.0,1247000.0,406.0,-6.0
2021-07-07,50.0,418.0,393.0,410.0,18769.0,7596538.0,400.0,10.0
2021-07-08,60.0,430.0,405.0,420.0,18151.0,7595070.0,410.0,10.0
2021-07-11,86.0,457.0,414.0,457.0,30354.0,13219473.0,420.0,37.0
2021-07-12,137.0,475.0,431.0,469.0,107898.0,48586895.0,457.0,12.0
2021-07-13,56.0,480.0,451.0,479.0,17429.0,8201570.0,469.0,10.0
