Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
2019-10-22,4.0,125.0,125.0,125.0,60000.0,7500000.0,0.0,125.0
2020-09-08,2.0,100.0,100.0,100.0,63434.0,6343400.0,100.0,0.0
